Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Bob Dylan,My Back Pages,Another Side of Bob Dylan,1964,"crimson flames tied through my ears. rolling high and mighty traps. pounced with fire on flaming roads. using ideas as my maps. “we'll meet on edges, soon,” said i. proud 'neath heated brow. . ah, but i was so much older then. i'm younger than that now. . half-wracked prejudice leaped forth. “rip down all hate,” i screamed. lies that life is black and white. spoke from my skull, i dreamed. romantic facts of musketeers. foundationed deep, somehow. . ah, but i was so much older then. i'm younger than that now. . girls' faces formed the forward path. from phony jealousy. to memorizing politics. of ancient history. flung down by corpse evangelists. un-thought of, though, somehow. . ah, but i was so much older then. i'm younger than that now. . a self-ordained professor's tongue. too serious to fool. spouted out that liberty. is just equality in school. “equality,” i spoke the word. as if a wedding vow. . ah, but i was so much older then. i'm younger than that now. . in a soldier's stance, i aimed my hand. at the mongrel dogs who teach. fearing not that i'd become my enemy. in the instant that i preach. my existence led by confusion boats. mutiny from stern to bow. . ah, but i was so much older then. i'm younger than that now. . yes, my guard stood hard when abstract threats. too noble to neglect. deceived me into thinking. i had something to protect. good and bad, i define these terms. quite clear, no doubt, somehow. . ah, but i was so much older then. i'm younger than that now",https://genius.com/Bob-dylan-my-back-pages-lyrics,0.108,0.692,0.2,0.8,0.454
Bob Dylan,"It Ain't Me, Babe",Another Side of Bob Dylan,1964,"go away from my window. leave at your own chosen speed. i'm not the one you want, babe. i'm not the one you need. you say you're looking for someone. who's never weak but always strong. to protect you and defend you. whether you are right or wrong. someone to open each and every door. . but it ain't me, babe. no, no, no, it ain't me, babe. it ain't me you're looking for, babe. . go lightly from the ledge, babe. go lightly on the ground. i'm not the one you want, babe. i will only let you down. you say you're looking for someone. who will promise never to part. someone to close his eyes for you. someone to close his heart. someone who will die for you and more. . but it ain't me, babe. no, no, no, it ain't me, babe. it ain't me you're looking for, babe. . go melt back in the night. everything inside is made of stone. there's nothing in here moving. and anyway i'm not alone. you say you're lookin' for someone. who'll pick you up each time you fall. to gather flowers constantly. and to come each time you call. a lover for your life and nothing more. . but it ain't me, babe. no, no, no, it ain't me, babe. it ain't me you're looking for, babe",https://genius.com/Bob-dylan-it-aint-me-babe-lyrics,0.17,0.788,0.042,0.958,0.564
Bob Dylan,Chimes of Freedom,Another Side of Bob Dylan,1964,"far between sundown's finish and midnight's broken toll. we ducked inside the doorways, thunder went crashing. as majestic bells of bolts struck shadows in the sounds. seemin' to be the chimes of freedom flashing. flashing for the warriors whose strength is not to fight. flashing for the refugees on the unarmed road of flight. and for each and every underdog soldier in the night. and we gazed upon the chimes of freedom flashing. . through the city's melted furnace, unexpectedly we watched. with faces hidden as the walls were tightening. as the echo of the wedding bells before the blowin' rain. dissolved into the bells of the lightning. tolling for the rebel, tolling for the rake. tolling for the luckless, they abandoned and forsaked. tolling for the outcast, burning constantly at stake. and we gazed upon the chimes of freedom flashing. . through the mad mystic hammering of the wild ripping hail. the sky cracked it's poems in naked wonder. that the clinging of the church bells blew far into the breeze. leavin' only bells of lightning and it's thunder. striking for the gentle, striking for the kind. striking for the guardians and protectors of the mind. and the poet and the painter far behind his rightful time. and we gazed upon the chimes of freedom flashing. . and the wild cathedral evening the rain unraveled tales. for disrobed faceless forms of no position. tolling for the tongues with no place to bring their thoughts. all down in taken-for-granted situations. tolling for the deaf and blind, tolling for the mute. for the mistreated, mateless mother, the mistitled prostitute. for the misdemeanor outlaw, chained and cheated by pursuit. and we gazed upon the chimes of freedom flashing. . even though a cloud's white curtain in a far-off corner flared. and the hypnotic splattered mist was slowly lifting. electric light still struck like arrows, fired but for the ones. condemned to drift or else be kept from driftin'. tolling for the searching ones, on their speechless, seeking trail. for the lonesome-hearted lovers with too personal a tale. and for each unharmful, gentle soul misplaced inside a jail. and we gazed upon the chimes of freedom flashing. . starry-eyed and laughing as i recall when we were caught. trapped by no track of hours for they hanged suspended. as we listened one last time and we watched with one last look. spellbound and swallowed 'til the tolling ended. tolling for the aching whose wounds cannot be nursed. for the countless confused, accused, misused, strung-out ones and worse. and for every hung-up person in the whole wide universe. and we gazed upon the chimes of freedom flashin'",https://genius.com/Bob-dylan-chimes-of-freedom-lyrics,0.097,0.802,0.101,0.899,0.498
Bob Dylan,To Ramona,Another Side of Bob Dylan,1964,"ramona. come closer. shut softly your watery eyes. the pangs of your sadness. will pass as your senses will rise. oh the flowers of the city. though breath-like. get death-like at times. and there's no use in trying. to deal with the dying. though i cannot explain that in lines. . your cracked country lips. i still wish to kiss. as to be by the strength of your skin. your magnetic movements. still capture the minutes i'm in. but it grieves my heart, love. to see you trying to be a part of. a world that just don't exist. it's all just a dream, babe. a vacuum, a scheme, babe. that sucks you into feelin' like this. . i can see that your head. has been twisted and fed. with the worthless foam from the mouth. i can tell you are torn. between staying and returning. back to the south. you've been fooled into thinking. that the finishing end is at hand. yet there's no one to beat you. no one to defeat you. 'cept the thoughts of yourself feeling bad. . i've heard you say many times. that you're better than no one. and no one is better than you. if you really believe that. you know you have nothing to win and nothing to lose. from fixtures and forces and friends. your sorrow does stem. that hype you and type you. making you feel. that you gotta' be just like them. . i'd forever talk to you. but soon my words. would turn into a meaningless ring. for deep in my heart. i know there's no help i can bring. everything passes. everything changes. just do what you think you should do. and someday maybe. who knows, baby. i'll come and be crying to you",https://genius.com/Bob-dylan-to-ramona-lyrics,0.127,0.703,0.17,0.83,0.4785
Bob Dylan,All I Really Want to Do,Another Side of Bob Dylan,1964,"i ain't lookin' to compete with you. beat or cheat or mistreat you. simplify you, classify you. deny, defy or crucify you. all i really want to do. is, baby, be friends with you. . no, and i ain't lookin' to fight with you. frighten you or uptighten you. drag you down or drain you down. chain you down or bring you down. all i really want to do. is, baby, be friends with you. . i ain't lookin' to block you up. shock or knock or lock you up. analyze you, categorize you. finalize you or advertise you. all i really want to do. is, baby, be friends with you. . i don't wanta' straight-face you. race or chase you, track or trace you. or disgrace you or displace you. or define you or confine you. all i really want to do. is, baby, be friends with you. . i don't wanta' meet your kin. make you spin or do you in. or select you or dissect you. or inspect you or reject you. all i really want to do. is, baby, be friends with you. . i don't wanta' fake you out. take or shake or forsake you out. i ain't lookin' for you to feel like me. see like me or be like me. all i really want to do. is, baby, be friends with you",https://genius.com/Bob-dylan-all-i-really-want-to-do-lyrics,0.161,0.738,0.101,0.899,0.53
Bob Dylan,Motorpsycho Nightmare,Another Side of Bob Dylan,1964,"i pounded on a farmhouse. looking for a place to stay. i was mighty, mighty tired. i'd come a long, long way. i said, “hey, hey, in there. is there anybody home?”. i was standin' on the steps. feeling most alone. when out comes a farmer. he must've thought that i was nuts. he immediate looked at me. and stuck a gun into my guts. . i fell down. to my bended knees. saying, “i dig farmers. don't shoot me, please!”. he cocked his rifle. and begin to shout. “are you that travelin' salesman. that i have heard about”. i said, “no! no! no!. i'm a doctor and it's true. i'm a clean-cut kid. and i been to college, too”. . then in comes his daughter. whose name was rita. she looked like she stepped out of. la dolce vita. i immediately tried to cool it. with her dad. and told him what a. nice, pretty farm he had. he said, “what do doctors. know about farms, pray tell?”. i said, “i's born. at the bottom of a wishing well”. . well, by the dirt 'neath my nails. i guess he knew i wouldn't lie. he said “i guess you're tired”. he said it kind of sly. i said, “yes, ten thousand miles. today i drove”. he said, “i got a bed for you. underneath the stove. just one condition. you can go to sleep right now. that you don't touch my daughter. and in the morning, milk the cows”. . i was sleeping like a rat. when i heard something jerkin'. there stood rita. looking just like tony perkins. she said, “would you like to take a shower?. i'll show you up to the door”. i said, “oh, no! no!. i've been through this movie before”. i knew i had to split. but i did not know how. when she said. “would you like to take that shower, now?”. . well, i couldn't leave. unless the old man chased me out. because i'd already promised. that i'd milk his cows. i had to say somethin'. to strike him very weird. so i yelled out. “i like fidel castro and his beard”. rita looked offended. but she got out of the way. as he came charging down the stairs. sayin', “what's that i heard you say?”. . i said, “i like fidel castro. i think you heard me right”. and i ducked as he swung. at me with all his might. rita mumbled somethin'. 'bout her mother on the hill. as his fist it hit the icebox. he said he's gonna kill me. if i don't get out the door. in two seconds flat. “you unpatriotic. rotten doctor commie rat”. . well, he threw a reader's digest. at my head and i did run. i did a somersault. as i seen him get his gun. and crashed through the window. at a hundred miles an hour. and landed fully blast. in his garden flowers. rita said, “come back!”. as he started to load. the sun was coming up. and i was running down the road. . well, i don't figure i'll be back. there for a spell. even though rita moved away. and got a job in a motel. he still waits for me. constant, on the sly. he wants to turn me in. to the f.b.i. me, i romp and stomping. thankful as i romp. without freedom of speech. i might be in the swamp",https://genius.com/Bob-dylan-motorpsycho-nightmare-lyrics,0.086,0.841,0.073,0.927,0.5065
Bob Dylan,I Shall Be Free No. 10,Another Side of Bob Dylan,1964,"i'm just average, common too. i'm just like him, and the same as you. i'm everybody's brother and son. i ain't different than anyone. ain't no use a-talk to me. it's just the same as talkin' to you. . i was shadow boxing early in the day. i figured i was ready for cassius clay. i said “fee, fie, fo, fum, cassius clay, here i come. 26, 27, 28, 29, i'm gonna' make your face look just like mine. five, four, three, two, one, cassius clay you'd better run. 99, 100, 101, 102, your ma won't even recognize you. 14, 15, 16, 17, 18, 19, gonna knock him clean right out of his spleen”. . well, i don't know, but i've been told. the streets of heaven are lined with gold. i ask ya' how things could get much worse. if the russians happen to get up there first. wowee! pretty scary!. . now, i'm liberal, but to a degree. i want everybody to be free. but if you think i'll let barry goldwater. move in next door and marry my daughter. you must think i'm crazy!. i wouldn't let him do it for all the farms in cuba. . well, i set my monkey on the log. and ordered him to do the dog. he wagged his tail and shook his head. and he went and did the cat instead. he's a weird monkey, very funky. . i sat with my high-heeled sneakers on. waitin' to play tennis in the noonday sun. i had my white shorts rolled up past my waist. and my wig-hat was fallin' in my face. but they wouldn't let me on the tennis court. . i got a woman, she's so mean. she sticks my boots in the washing machine. sticks me with buckshot when i'm nude. puts bubblegum in my food. she's funny, wants my money, calls me “honey”. . now i got a friend who spends his life. stabbin' my picture with a bowie knife. dreams of stranglin' me with a scarf. when my name comes up he pretends to barf. i got a million friends!. . now they asked me to read a poem. at the sorority sisters home. ah got knocked down and my head was swimmin'. i wound up with the dean of women. yippee! i'm a poet, and i know it. hope i don't blow it. . i'm gonna grow my hair down to my feet so strange. so i look like a walking mountain range. and i'm gonna' ride into omaha on a horse. out to the country club and the golf course. carryin' the new york times, shoot a few holes, blow their minds. . now you're probably wonderin' by now. just what this song is all about. what's probably got you baffled more. is what this thing here is for:. (plays song's riff). it's nothin'. it's sumpin' i learned over in england!",https://genius.com/Bob-dylan-i-shall-be-free-no-10-lyrics,0.107,0.857,0.036,0.964,0.5355
Bob Dylan,Ballad in Plain D,Another Side of Bob Dylan,1964,"i once loved a girl, her skin it was bronze. with the innocence of a lamb, she was gentle like a fawn. i courted her proudly but now she is gone. gone as the season she's taken. . in a young summer's youth, i stole her away. from her mother and sister, though close did they stay. each one of them suffering from the failures of their day. with strings of guilt they tried hard to guide us. . of the two sisters, i loved the young. with sensitive instincts, she was the creative one. their constant scrapegoat, she was easily undone. by the jealousy of others around her. . for her parasite sister, i had no respect. bound by her boredom, her pride to protect. countless visions of the other she'd reflect. as a crutch for her scenes and her society. . myself, for what i did, i cannot be excused. the changes i was going through can't even be used. for the lies that i told her in hope not to lose. the could-be dream-lover of my lifetime. . with unseen consciousness, i possessed in my grip. a magnificent mantelpiece, though its heart being chipped. noticing not that i'd already slipped. to the sin of love's false security. . from silhouetted anger to manufactured peace. answers of emptiness voice vacancies. 'til the tombstones of damage read no questions but please. what's wrong, what's exactly the matter?. . and so it did happen like it could have been foreseen. the timeless explosion of fantasy's dream. at the peak of the night, the king and the queen. tumbled all down into pieces. . ""the tragic figure"" her sister did shout. ""leave her alone, god damn you, get out"". and i in my armor, turning about. and nailing her in the ruins of her pettiness. . beneath a bare light bulb the plaster did pound. her sister and i in a screaming battleground. and she in between, the victim of sound. soon shattered as a child to the shadows. . all is gone, all is gone, admit it, take flight. i gagged in contradiction, tears blinding my sight. my mind it was mangled, i ran into the night. leaving all of love's ashes behind me. . the wind knocks my window, the room it is wet. the words to say i'm sorry, i haven't found yet. i think of her often and hope whoever she's met. will be fully aware of how precious she is. . ah, my friends from the prison, they ask unto me. ""how good, how good does it feel to be free?"". and i answer them most mysteriously. ""are birds free from the chains of the skyway?""",https://genius.com/Bob-dylan-ballad-in-plain-d-lyrics,0.17,0.658,0.172,0.828,0.499
Bob Dylan,Spanish Harlem Incident,Another Side of Bob Dylan,1964,"gypsy gal, the hands of harlem. cannot hold you to its heat. your temperature is too hot for taming. your flaming feet are burning up the street. i'm homeless, come and take me. to the reach of your rattlin' drums. let me know, babe, all about my fortune. down along my restless palms. . gypsy gal, you got me swallowed. i have fallen far beneath. your pearly eyes, so fast and slashing. and your flashing diamond teeth. the night is pitch black, come an' make my. pale face fit into place, ah, please!. let me know, babe, i'm nearly drowning. if it's you my lifelines trace. . i been wondering all about me. ever since i seen you there. on the cliffs of your wildcat charms i'm riding. i know i'm around you but i don't know where. you have slayed me, you have made me. i got to laugh half ways off my heels. i got to know, babe, yeah will you surround me?. so i can know if i'm really real",https://genius.com/Bob-dylan-spanish-harlem-incident-lyrics,0.083,0.888,0.029,0.971,0.527
Bob Dylan,I Don't Believe You (She Acts Like We Never Have Met),Another Side of Bob Dylan,1964,"i can't understand. she let go of my hand. and left me here facing the wall. i'd sure like to know. why she'd go. but i can't get close to her at all. though we kissed through the wild blazing nighttime. she said she would never forget. but now morning's clear. it's like i ain't here. she acts like we never met. . it's all new to me. like some mystery. it could even be like a myth. but it's hard to think on. that she's the same one. that last night i was with. from darkness, dreams are deserted. am i still dreaming yet?. i wish she'd unlock. her voice once and talk. 'stead of actin' like we never have met. . if she ain't feelin' well. then why don't she tell. 'stead of turnin' her back to my face?. without any doubt. she seems too far out. for me to return to or chase. well her skirt it swayed. as the guitar played. her mouth was watery and wet. but now something has changed. for she ain't the same. she just acts like we never have met. . if i didn't have to guess. i'd gladly confess. to anything i might've tried. if i was with her too long. or have done something wrong. i'd wish she'd tell me what it is, i'll run and hide. though the night ran swirling and whirling. i remember her whispering yet. but evidently she don't. evidently she won't. she just acts like we never have met. . i'm leavin' today. i'll be on my way. of this i can't say very much. but if you want me to. i can be just like you. and pretend that we never have touched. and if anybody asks me. “is it easy to forget?”. i'll say, “it's easily done. you just pick anyone. and pretend that you never have met!”",https://genius.com/Bob-dylan-i-dont-believe-you-she-acts-like-we-never-have-met-lyrics,0.195,0.755,0.051,0.949,0.572
