Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Bruce Springsteen,The Promise,The Promise,1978,"johnny works in a factory. and billy works downtown. terry works in a rock and roll band. looking for that million dollar sound. and i got a little job down in darlington. but some nights i don't go. some nights i go to the drive-in. or some nights i stay home. i followed that dream. just like those guys do up on the screen. and i drove a challenger down route 9. through the dead ends and all the bad scenes. and when the promise was broken. i cashed in a few of my dreams. well now i built that challenger by myself. but i needed money and so i sold it. i lived a secret i shoulda kept to myself. but i got drunk one night and i told it. all my life, i fought this fight. the fight that no man can ever win. every day it just gets harder to live. the dream i'm believing in. . thunder road. oh baby, you were so right. thunder road. there's something dying down on the highway tonight. . i won big once and i hit the coast. oh, but somehow i paid the big cost. inside i felt like i was carrying the broken spirits. of all the other ones who lost. when the promise is broken. you go on living, but it steals something from down in your soul. like when the truth is spoken, and it don't make no difference. something in your heart turns cold. . thunder road. is for the lost lovers and all the fixed games. thunder road. for the tires rushing by in the rain. thunder road. me and billy we'd always sing. thunder road. we were gonna take it all and throw it all away",https://genius.com/Bruce-springsteen-the-promise-lyrics,0.143,0.699,0.158,0.842,0.4925
Bruce Springsteen,A Good Man Is Hard To Find (Pittsburgh),Tracks,1980,"it's cloudy out in pittsburgh. it's raining in saigon. snow's fallin' all across the michigan line. well she sits by the lights of the christmas tree. with the radio softly on. thinkin' how a good man is so hard to find. . well once she had a fella. once she was somebody's girl. and she gave all she had that one last time. now there's a little girl asleep in the back room. she's gonna have to tell about the meanness in this world. and how a good man is so hard to find. . well there's pictures on the table by her bed. him in his dress greens and her in her wedding white. she remembers how the world was the day he left. and now how that world is dead. and a good man is so hard to find. . she got time now for casanovas. yeah those days are gone. she don't want that anymore, she's made up her mind. just somebody told her. as the nights get on. when a good man is so hard to find. . well she shuts off the tv. and without a word. into bed she climbs. well she thinks how it was all so wasted. and how expendable their dreams all were. when a good man was so hard to find",https://genius.com/Bruce-springsteen-a-good-man-is-hard-to-find-pittsburgh-lyrics,0.126,0.795,0.08,0.92,0.523
Bruce Springsteen,I'll Stand by You,Others,2019,"you meet me in the night. with tears falling down. come let me dry them for you. i wish i could tell a story. chase away all those ghosts. you got inside of you. a story of heroes who fight on at any cost. of a kingdom of love. to be won or lost. we'll fight here together. 'til victory is won. come take my hand 'til morning comes. just close your eyes. . i'll stand by you always, always, always. i'll stand by you always, always, always. . i know that here in the dark. tomorrow can seem so very far away. here the ghosts and the goblins. can rise from your dreams. to steal your heart away. together we'll chase those thieves. that won't leave you alone. out from under the bed. out from over our home. and when the light comes we'll laugh, my love. at the things that the night. had us so frightened of. and until then. . i'll stand by you always, always, always. i'll stand by you always, always, always. . now i know it can feel like you're slipping away. at night you'll get lost in that deep dark place. we'll let the night come and do what it may. together we'll find the courage, we'll find faith. until you awake. . i'll stand by you always, always, always. i'll stand by you always, always, always. . i'll stand by you always. i'll stand by you always. . i'll stand by you always, always, always. i'll stand by you always, always, always. . i'll stand by you always, always, always. i'll stand by you always, always, always",https://genius.com/Bruce-springsteen-ill-stand-by-you-lyrics,0.141,0.782,0.078,0.922,0.5315
Bruce Springsteen,Born in the U.S.A.,Born in the U.S.A.,1984,"born down in a dead man's town. the first kick i took was when i hit the ground. you end up like a dog that's been beat too much. 'til you spend half your life just coverin' up. . born in the u.s.a. i was born in the u.s.a. i was born in the u.s.a. born in the u.s.a. . got in a little hometown jam. so they put a rifle in my hand. sent me off to a foreign land. to go and kill the yellow man. . born in the u.s.a. i was born in the u.s.a. i was born in the u.s.a. i was born in the u.s.a. . come back home to the refinery. hiring man says, ""son if it was up to me"". went down to see my v.a. man. he said, ""son, don't you understand"". . i had a brother at khe sanh. fighting off the viet cong. they're still there, he's all gone. he had a woman he loved in saigon. i got a picture of him in her arms now. . down in the shadow of the penitentiary. out by the gas fires of the refinery. i'm ten years burning down the road. nowhere to run ain't got nowhere to go. . born in the u.s.a. i was born in the u.s.a. now. born in the u.s.a. i'm a long gone daddy in the u.s.a. now. born in the u.s.a. born in the u.s.a. born in the u.s.a. i'm a cool rockin' daddy in the u.s.a. now",https://genius.com/Bruce-springsteen-born-in-the-usa-lyrics,0.049,0.904,0.047,0.953,0.501
Bruce Springsteen,Dancing in the Dark,Born in the U.S.A.,1984,"i get up in the evening. and i ain't got nothing to say. i come home in the morning. i go to bed feeling the same way. i ain't nothing but tired. man, i'm just tired and bored with myself. hey there baby, i could use just a little help. . you can't start a fire. you can't start a fire without a spark. this gun's for hire. even if we're just dancing in the dark. . message keeps getting clearer. radio's on and i'm moving 'round the place. i check my look in the mirror. i wanna change my clothes, my hair, my face. man, i ain't getting nowhere. i'm just living in a dump like this. there's something happening somewhere. baby, i just know that there is. . you can't start a fire. you can't start a fire without a spark. this gun's for hire. even if we're just dancing in the dark. . you sit around getting older. there's a joke here somewhere and it's on me. i'll shake this world off my shoulders. come on, baby, the laugh's on me. . stay on the streets of this town. and they'll be carving you up all right. they say you gotta stay hungry. hey, baby, i'm just about starving tonight. i'm dying for some action. i'm sick of sitting 'round here trying to write this book. i need a love reaction. come on now, baby, gimme just one look. . you can't start a fire. sitting 'round crying over a broken heart. this gun's for hire. even if we're just dancing in the dark. you can't start a fire. worrying about your little world falling apart. this gun's for hire. even if we're just dancing in the dark. . even if we're just dancing in the dark. even if we're just dancing in the dark. even if we're just dancing in the dark. hey, baby",https://genius.com/Bruce-springsteen-dancing-in-the-dark-lyrics,0.103,0.792,0.106,0.894,0.4985
Bruce Springsteen,I'm on Fire,Born in the U.S.A.,1984,"hey, little girl, is your daddy home?. did he go away and leave you all alone?. i got a bad desire. . oh, oh, oh. i'm on fire. . tell me now, baby, is he good to you?. and can he do to you the things that i do?. oh no, i can take you higher. . oh, oh, oh. i'm on fire. . sometimes it's like someone took a knife, baby, edgy and dull. and cut a six-inch valley through the middle of my skull. at night, i wake up with the sheets soakin' wet. and a freight train runnin' through the middle of my head. only you can cool my desire. . oh, oh, oh. i'm on fire. oh, oh, oh. i'm on fire. oh, oh, oh. i'm on fire. . ooh-ooh, ooh. ooh-ooh, ooh-ooh. ooh-ooh-ooh, ooh-ooh. ooh, ooh, ooh, ooh-ooh. ooh-ooh-ooh, ooh-ooh",https://genius.com/Bruce-springsteen-im-on-fire-lyrics,0.085,0.754,0.16,0.84,0.4625
Bruce Springsteen,Glory Days,Born in the U.S.A.,1985,"yeah. uh. wooh. huh. . i had a friend was a big baseball player. back in high school. he could throw that speedball by you. make you look like a fool boy. saw him the other night at this roadside bar. i was walking in, he was walking out. we went back inside sat down had a few drinks. but all he kept talking about was. . glory days, well they'll pass you by. glory days, in the wink of a young girl's eye. glory days, glory days. . well there's a girl that lives up the block. back in school she could turn all the boy's heads. sometimes on a friday i'll stop by. and have a few drinks after she put her kids to bed. her and her husband bobby well they split up. i guess it's two years gone by now. we just sit around talking about the old times. she says when she feels like crying. she starts laughing thinking bout. . glory days, well they'll pass you by. glory days, in the wink of a young girl's eye. glory days, glory days. . my old man worked 20 years on the line. and they let him go. now everywhere he goes out looking for work. they just tell him that he's too old. i was 9 nine years old and he was working at the. metuchen ford plant assembly line. now he just sits on a stool down at the legion hall. but i can tell what's on his mind. . glory days yeah goin back. glory days aw he ain't never had. glory days, glory days. . in fact i think i'm going down to the well tonight. and i'm gonna drink till i get my fill. and i hope when i get old i don't sit around thinking about it. but i probably will. yeah, just sitting back trying to recapture. a little of the glory yeah. well time slips away and leaves you with nothing, mister, but. boring stories of. . glory days, well they'll pass you by. glory days, in the wink of a young girl's eye. glory days, glory days",https://genius.com/Bruce-springsteen-glory-days-lyrics,0.294,0.677,0.03,0.97,0.632
Bruce Springsteen,I'm Goin' Down,Born in the U.S.A.,1985,"we sit in the car outside your house you're quiet. i can feel the heat coming around. i go to put my arm around you. and you give me a look like i'm way out of bounds. well, you let out one of your bored sighs. well, lately when i look into your eyes. . i'm goin' down, down, down, down. i'm goin' down, down, down, down. i'm goin' down, down, down, down. i'm goin' down, down, down, down. . we get dressed up, and we go out, baby, for the night. we come home early burning, burning in some fire fight. i'm sick and tired of you setting me up, yeah. setting me up just to knock-a knock-a knock-a me down. down, down, down. . i'm goin' down, down, down, down. i'm goin' down, down, down, down. i'm goin' down, down, down, down. i'm goin' down, down, down, down. . i pull you close now, baby, but when we kiss, i can feel a doubt. i remember back when we started. my kisses used to turn you inside out. i used to drive you to work in the morning. friday night i'd drive you all around. you used to love to drive me wild, yeah. but lately girl you get your kicks from just driving me down. down, down, down. . i'm goin' down, down, down, down. i'm goin' down, down, down, down. i'm goin' down, down, down, down. i'm goin' down, down, down, down",https://genius.com/Bruce-springsteen-im-goin-down-lyrics,0.091,0.86,0.049,0.951,0.521
Bruce Springsteen,My Hometown,Born in the U.S.A.,1985,"i was eight years old and running with a dime in my hand. into the bus stop to pick up a paper for my old man. i'd sit on his lap in that big old buick. and steer as we drove through town. he'd tousle my hair and say ""son, take a good look around. this is your hometown."". this is your hometown. this is your hometown. this is your hometown. in '65 tension was running high at my high school. there was a lot of fights 'tween the black and white. there was nothing you could do. two cars at a light on a saturday night. in the back seat there was a gun. words were passed, then a shotgun blast. troubled times had come to my hometown. to my hometown. to my hometown. to my hometown. now main street's whitewashed windows and vacant stores. seems like there ain't nobody wants to come down here no more. they're closing down the textile mill across the railroad tracks. foreman says ""these jobs are going, boys. and they ain't coming back. to your hometown."". to your hometown. to your hometown. to your hometown. last night me and kate, we laid in bed. talking about getting out. packing up our bags maybe heading south. i'm thirty-five, we got a boy of our own now. last night i sat him up behind the wheel, and said. ""son take a good look around. this is your hometown."". songwriter:  bruce springsteen",https://genius.com/Bruce-springsteen-my-hometown-lyrics,0.046,0.895,0.059,0.941,0.4935
Bruce Springsteen,No Surrender,Born in the U.S.A.,1984,"well, we busted out of class. had to get away from those fools. we learned more from a three-minute record, baby. than we ever learned in school. tonight i hear the neighborhood drummer sound. i can feel my heart begin to pound. you say you're tired and you just want to close your eyes. and follow your dreams down. . well we made a promise we swore we'd always remember. no retreat, baby, no surrender. like soldiers in the winter's night with a vow to defend. no retreat, baby, no surrender. . well, now young faces grow sad and old. and hearts of fire grow cold. we swore blood brothers against the wind. i'm ready to grow young again. and hear your sister's voice calling us home. across the open yards. well maybe we'll cut someplace of our own. with these drums and these guitars. . well we made a promise we swore we'd always remember. no retreat, baby, no surrender. like soldiers in the winter's night with a vow to defend. no retreat, baby, no surrender. . now on the street tonight the lights grow dim. the walls of my room are closing in. there's a war outside still raging. you say it ain't ours anymore to win. i want to sleep beneath. peaceful skies in my lover's bed. with a wide open country in my eyes. and these romantic dreams in my head. . well we made a promise we swore we'd always remember. no retreat, baby, no surrender. like soldiers in the winter's night with a vow to defend. no retreat, baby, no surrender",https://genius.com/Bruce-springsteen-no-surrender-lyrics,0.187,0.66,0.153,0.847,0.517
