Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Silver Jews,People,American Water,1998,"moments can be monuments to you. if your life is interesting and true. it's just the same for a man or a girl. the meaning of the world lies outside the world. people love people and they understand. if you want to renovate your background mind. a federal woman needs municipal man. people gotta synchronize to animal time. . you can't change the feeling. but you can change your feeling about the feelings in a second or two, uh huh. people always come around. i'm studying the ceiling on a little afternoon. and when i paint my dining room, uh huh. people gonna come around. . i love to see a rainbow from a garden hose. lit up like the blood of a centerfold. i love the city and the city rain. suburban kids with biblical names. people ask people to watch their scotch. people send people up to the moon. when they return, well, there isn't much. people be careful not to crest too soon. . the drums march along at the clip of an i.v. drip. like sparks from a muffler dragged down the strip, uh huh. i really hope you'll come around. it's sunny and 75. it feels so good to be alive. come on, baby, don't stay inside. everybody's coming out tonight",https://genius.com/Silver-jews-people-lyrics,0.193,0.781,0.025,0.975,0.584
Silver Jews,The Wild Kindness,American Water,1998,"i wrote a letter to a wildflower. on a classic nitrogen afternoon. some power that hardly looked like power. said i'm perfect in an empty room. four dogs in the distance. each stands for a kindness, yeah. bluebirds lodged in an evergreen altar. i'm gonna shine out in the wild silence. i'm gonna shine out in the wild silence. i'm gonna shine out in the wild silence. and spurn the sin of giving in. oil paintings of x-rated picnics. behind the walls of medication, i'm free. every leaf in a compact mirror. hits a target that we can't see. grass grows in the icebox. the year ends in the next room. it is autumn and my camouflage is dying. instead of time, there will be lateness. instead of time, there will be lateness. instead of time, there will be lateness. and let forever be delayed. i dyed my hair in a motel void. met the coroner at the dreamgate frontier. he took my hand, and said, ""i'll help you, boy. if you really want to disappear"". four dogs in the distance. each stands for a silence, yeah. bluebirds lodged in an evergreen altar. i'm gonna shine out in the wild kindness. i'm gonna shine out in the wild kindness. i'm gonna shine out in the wild kindness. and hold the world to its word",https://genius.com/Silver-jews-the-wild-kindness-lyrics,0.147,0.822,0.03,0.97,0.5585
Silver Jews,Federal Dust,American Water,1998,"they don't walk. they don't talk in malibu. they don't vote. they don't even smoke, i know you're blue. i know you're blue. i know you're blue. they don't cream. and they don't dream in kansas city. they don't cry. they don't, they never act, i know you're ready. i know you're ready. i know you're ready. they don't cry. and they don't die in south dakota, just like a seagull. they don't mash. they don't hatch in south dakota. in south dakota. here comes the coda. not much water coming over the hill. not much, not much, not much. not much water coming over the hill. not much, not much, not much. not much water coming over the hill. not much, not much, not much. not much water coming over the hill. not much, not much, not much",https://genius.com/Silver-jews-federal-dust-lyrics,0.127,0.861,0.012,0.988,0.5575
Silver Jews,We Are Real,American Water,1998,"up the hill past 694, at the stone wall make a left. and i will see you soon, my friend. if these old directions still direct, oh yeah. if these old directions still direct. is the problem that we can't see, or is it that the problem is beautiful to me?. birds of virginia are flying within you. like background singers, they all come in threes. like background singers, they all come in threes. won't soul music change now that our souls have turned strange?. once a day, twice a day. when on and off collide. we'll set our souls aside and walk away. we've been raised on replicas. of fake and winding roads. and day after day, up on this beautiful stage. we've been playing tambourine for minimum wage. but we are real, real. i know we are real. repair is the dream of the broken thing. like a message broadcast on an overpass. all my favorite singers couldn't sing. all my favorite singers couldn't sing. my ski vest has buttons like convenience store mirrors. and they help me see. that everything in this room right now is a part of me, oh yeah. is a part of me. won't soul music change now that our souls have turned strange?. once a day, twice a day. when on and off collide. we'll set our souls aside and walk away. realizing is how it feels. inside when it happens to you. so i took a shot of sugar like snow dumped into the blood. and children wander off into the ultra-economic. but we're real. we are real. i know we are real. i know we are real. i know we are real, real, real, real, real",https://genius.com/Silver-jews-we-are-real-lyrics,0.133,0.815,0.053,0.947,0.54
Silver Jews,Honk If You're Lonely,American Water,1998,"radio's on, feeling all right. cruising the strip on a saturday night. i smile and i wave and i hide all my pain. but the sign on my bumper gives me away. honk if you're lonely tonight. if you need a friend to get through the night. a toot on your horn, a flash of your brights. honk if you're lonely tonight. i know a honky tonk where we can go. a booth in the back with the lights way down low. the jukebox is playing a sad melody. for heartbroken lovers just like you and me. we'll laugh and we'll flirt and we'll dance every dance. and before the night's over, we'll make romance. the morning will find us with a smile on our face. and we'll be together in a lovers' embrace. honk if you're lonely tonight. if you need a friend to get through the night. a toot on your horn, a flash of your brights. honk if you're lonely tonight. i know it seems sad to be so damn blue. but there's always a chance that you'll meet someone new. i know that somewhere waiting for me. is a sad, lonely lover with a bumper that reads. honk if you're lonely tonight. if you need a friend to get through the night. a toot on your horn, a flash of your brights. honk if you're lonely tonight (i am so)",https://genius.com/Silver-jews-honk-if-youre-lonely-lyrics,0.205,0.614,0.181,0.819,0.512
Silver Jews,Like Like the the the Death,American Water,1998,"like, like the, the, the death. air crickets, air crickets, air crickets, air crickets, air. mother and child with magazine. into a story, into a dream. why is there something instead of nothing?. and how is the asking built into the hunting?. do you believe in mgm endings?. everybody's coming back to christmas for texas. folks who've watched their mother kill an animal know that their home is surrounded by places to go. and the west has made a deal with the sun. my life at home every day. drinking coke in a kitchen with a dog who doesn't know his name. oh, right, it could have been anyone. grass rabbits, grass rabbits, grass rabbits, grass rabbits, grass. nobody cares about a dead hooker. looking like one, standing for many. life finds a limit at the edge of our bodies. a stranger begins wherever i see 'em. let's live where the indoors and the outdoors meet. all the kids in the commonwealth are free. every morning you forgive me, every evening you relive me and the thing itself is what you give me. and the morning has cut a deal with the east. like, like the, the, the death. air crickets, air crickets, air crickets, air crickets, air",https://genius.com/Silver-jews-like-like-the-the-the-death-lyrics,0.104,0.813,0.084,0.916,0.51
Silver Jews,Smith & Jones Forever,American Water,1998,"are you honest when no one's looking?. can you summon honey from a telephone?. they sat there with their hooks in the water. and their mustaches caked with airplane glue. o come let us adore them. california overboard. when the sun sets on the ghetto. all the broken stuff gets cold. smith and jones forever!. smith and jones forever!. smith and jones forever, together forever and ever. build a stage for autumn's bitch. they walk the alleys in duct tape shoes. they see the things they need through the windows of a hatchback. the alleys are the footnotes of the avenues. o come let us adore them. california overboard. holding up their trousers with extension cords. smith and jones forever!. smith and jones forever!. smith and jones forever, together forever and ever. i've got two tickets to a midnight execution. we'll hitchhike our way from odessa to houston. and when they turn on the chair. something's added to the air. when they turn on the chair. something's added to the air forever. smith and jones forever!. smith and jones forever!. smith and jones forever, together forever and ever",https://genius.com/Silver-jews-smith-and-jones-forever-lyrics,0.061,0.893,0.046,0.954,0.5075
Silver Jews,Blue Arrangements,American Water,1998,"i see you gracefully swimming with the country club women. in the greenwood southside society pool. i love your amethyst eyes and your protestant thighs. you're a shimmering socialite jewel. from the carbon dioxide riding academy. to the children's crusade marching through the downtown. well, i think i'd die, see, if you just said hi to me. when something breaks, it makes a beautiful sound. sometimes i feel like i'm watching the world. and the world isn't watching me back. but when i see you, i'm in it too. the waves come in and the waves go back. and the kids in the corner all covered in dirt. caught trespassing under the moon. my father came in from wherever he'd been. and kicked my shit all over the room. all over the room. all over the room. the room is dark and heavy with what i want to say. i see murals in the radio static and on your blue blue jeans. what would you say if i asked you to run away?. it's been done so many times, i hardly know what it means. i took these blue arrangements and threw them in the sea. when older waves from older caves brought them back to me. i took these blue arrangements and stored them on a shelf. with coins on the mantle and time in a candle, in the end a boy raises himself",https://genius.com/Silver-jews-blue-arrangements-lyrics,0.059,0.896,0.045,0.955,0.507
Silver Jews,Random Rules,American Water,1998,"in 1984, i was hospitalized for approaching perfection. slowly screwing my way across europe, they had to make a correction. broken and smokin' where the infrared deer plunge in the digital snake. i tell you, they make it so you can't shake hands when they make your hands shake. . i know you like to line dance. everything so democratic and cool. but, baby, there's no guidance when random rules. . i know that a lot of what i say has been lifted off of men's room walls. maybe i've crossed the wrong rivers and walked down all the wrong halls. but nothing can change the fact that we used to share a bed. and that's why it scared me so when you turned to me and said:. . ""yeah, you look like someone. yeah, you look like someone who up and left me low. boy, you look like someone i used to know"". . i know you'd like to line dance. with everything so democratic and cool. but, baby, there's no guidance when random rules. . i asked the painter why the roads are colored black. he said, ""steve, it's because people leave. and no highway will bring them back"". so if you don't want me, i promise not to linger. but before i go, i've gotta ask you, dear, about that tan line on your ring finger. . no one should have two lives. now you know my middle names are wrong and right. honey, we've got two lives to give tonight. to give tonight. to give tonight. oh, oh, oh, oh, oh",https://genius.com/Silver-jews-random-rules-lyrics,0.117,0.751,0.133,0.867,0.492
Silver Jews,Send in the Clouds,American Water,1998,"send in the clouds. and bring down the rain. shut all the blinds, and turn out the lights. i feel insane when you get in my bed. i am the trick my mother played on the world. seventeen doctors couldn't decide. whether i should be allowed in the game. why can't monsters get along with other monsters?. soi disantra. soi disantra. soi disantra. i know a puppy who walked from kentucky. made it to east virginia by dawn. he had seventeen ideas in his head. windex tears flow down the robot's face. he'd never felt a mother's embrace. my momma named me after a king. i'm gonna bury my name in you. why can't monsters get along with other monsters?. soi disantra. soi disantra. they don't want t'ah. why can't monsters get along with other monsters?. soi disantra. soi disantra, yeah. soi disantra. soi disantra. soi disantra. whoa, soi disantra. soi disantra. whoa, whoa",https://genius.com/Silver-jews-send-in-the-clouds-lyrics,0.03,0.908,0.062,0.938,0.484
