Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Elvis Costello,All This Useless Beauty,All This Useless Beauty ,1996,"it's at times such as this she'd be tempted to spit. if she wasn't so ladylike. she imagines how she might have lived. back when legends and history collide. so she looks to her prince finding he's so charmingly. slumped at her side. those days are recalled on the gallery wall. and she's waiting for passion or humour to strike. . what shall we do, what shall we do with all this useless beauty?. all this useless beauty. . good friday arrived, the sky darkened on time. 'till he almost began to negotiate. she held his head like a baby and said ""it's okay if you cry"". now he wants her to dress as if you couldn't guess. he desires to impress his associates. but he's part ugly beast and hellenic deceased. so she finds that the mixture is hard to deny. . . she won't practice the looks from the great tragic books. that were later disgraced to face celluloid. it won't even make sense but you can bet. if she isn't a sweetheart or plaything or pet. the film turns her into an unveiled threat. nonsense prevails, modesty fails. grace and virtue turn into stupidity. while the calendar fades almost all barricades to a pale compromise. and our leaders have feasts on the backsides of beasts. they still think they're the gods of antiquity. if something you missed didn't even exist. it was just an ideal -- is it such a surprise?",https://genius.com/Elvis-costello-all-this-useless-beauty-lyrics,0.125,0.713,0.162,0.838,0.4815
Elvis Costello,Complicated Shadows,All This Useless Beauty ,1996,"well you know your time has come and you're sorry for what you've done. you should've never have been playing with a gun. in those complicated shadows. well there's a line that you must toe. and it'll soon be time to go. but it's darker than you know in those complicated shadows. all you gangsters and rude clowns. who were shooting up the town. when you should have found someone to put the blame on. though the fury's hot and hard. i still see that cold graveyard. there's a solitary stone that's got your name on. you don't have to take it from me. but i know what i spake. you think you're like iron and steel. but iron and steel will bend and break. in those complicated shadows. go!. sometimes justice you will find. is just dumb not colour-blind. and your poor shattered mind can't take it all in. all those phantoms and those shades. should jump up on judgement day. and say to the almighty ""i'm still stinking of sin"". but the jury was dismissed. took his neck and they give it a twist. so you see you won't be missed in those complicated shadows. you can say just what you like in a voice like a john ford film. take the law into your hands. you will soon get tired of killing. in those complicated shadows. complicated shadows. complicated shadows. complicated shadows. go!",https://genius.com/Elvis-costello-complicated-shadows-lyrics,0.073,0.766,0.161,0.839,0.456
Elvis Costello,My Dark Life,All This Useless Beauty ,1996,"she says nobody wants to believe. you're the same as everyone. what makes me unique?. my dark life. there was a kink in the world. sent that statue tumbling. an invitation east. so we can watch it all crumbling. she came off like light. and so softly she spoke. ""you don't know, no you don't know about my dark life"". and you think you're a guest, you're a tourist at best. peering into the corners of my dark life. now that you tear your dreams from consumptive ballerinas. she'd stand on tiptoes for you. in a grey and tattered tutu. she stays where she is because of voyeurs like these. with an accusative look that says. my dark life. robber men await you then in each beguiling alley. to shake you and to pierce you and remind you of. my dark life. enter the pious elite, in their preening finery. and bang the tambourine. they're dining on rice paper scenery. see how the villain attracts envious glances from everyone. she's waitress by day. it doesn't bring in much money now. and his strong concealed arms set off bells and alarms. in the strangest locations of. my dark life. but the fantasy slipped as he tipped her in cigarettes. she tries to smile very graciously when she wants to kill him. now the victory is sweet, you'll get down on your knees. it's the perfect position for kissing western leather. so they came from ugly texas and from nameless tennessee. from peculiar missouri and from places closer to me. all the cream of heartless england, cheered the carnival is over. there are remnants of red army bandsmen. played ""america the beautiful""",https://genius.com/Elvis-costello-my-dark-life-lyrics,0.161,0.764,0.074,0.926,0.5435
Elvis Costello,The Other End (Of The Telescope),All This Useless Beauty ,1996,"shall we agree that just this once. i'm gonna change my life. until it's just as tiny or important as you like?. and in time we won't even recall that we spoke. words that turned out to be as big as smoke. as smoke that disappears in the air. there's always something that's smoldering somewhere. . i know it don't make a difference to you. but oh! it sure made a difference to me. you'll see me off in the distance, i hope. at the other end. at the other end of the telescope. . the promise of indulgence in my confidential voice. approached immortal danger but you'll never know how close. then down the hall i overheard such a heavenly choir. they interrupted my evil designs. one day you are up in the clouds. the next thing you're down with the sweet adelines. . . lie down baby now don't say a word. there there baby your vision is blurred. your head is so sore from all of that thinking. i don't want to hurt you now. but i think you're shrinking. you're half-naked ambition and you're half out of your wits. or several tiny fractions that this portrait still omits. and it's so hard to pick the receiver up when i call. i never noticed you could be so small. the answer was under your nose but the question never arose. i know it don't make a difference to you. but oh! it sure made a difference to me. cause late in the evening as i sit here moping. with a bamboo needle on a shellac of chopin. and the cast-iron heart that you failed to tear open. . at the other end. at the other end of the telescope",https://genius.com/Elvis-costello-the-other-end-of-the-telescope-lyrics,0.11,0.794,0.096,0.904,0.507
Elvis Costello,Little Atoms,All This Useless Beauty ,1996,"i arose and marigold lay down with curious iris. cherry gave to victor her prudence and her virus. for the sake of purity i can recall the time and place. between wisdom and murder she gave up her immaculate face. . my poor belated chastity fell foul of grown up games. with false and lovely modesty. i can recall the names i'll miss. in the particle of me that cares for this. i betrayed those little atoms with a kiss. . patience has her virtue still. but every grace must have its price. i through some felicity may spin a tale of constant vice. i took my better nature out, drowned it in the babbling stream. took the blossom of my youth and blew it all to smithereens. . . and if you still don't like my song then you can just go to hell. i don't care if i'm right or wrong or if my typewriter can spell. but i cannot promise you i've said ""goodbye"" to childish things. there's still some pretty insults left and such sport in threatening. . . and for the sake of clarity. they are ""faith"", ""hope"", and ""charity"". in the particle of me that cares for this. i betrayed those little atoms with a kiss",https://genius.com/Elvis-costello-little-atoms-lyrics,0.137,0.666,0.197,0.803,0.47
Elvis Costello,Poor Fractured Atlas,All This Useless Beauty ,1996,"he's out in the woods with his squirrel gun. to try to recapture his anger. he's screaming some words at the top of his lungs. until he begins to feel younger. but back at his desk in the city we find. our trembling punch-drunken fighter. who can't find the strength now to punish the length. of the ribbon in his little typewriter. . poor fractured atlas. threw himself across the mattress. waving his withering pencil. as if it were a pirate's cutlass. i'm almost certain he's trying to increase his burden. he said ""that's how the child in me planned it;. a woman wouldn't understand it"". . i believe there was something that i wanted to say. before i conclude this epistle. but you would forgive me for holding my tongue. 'cause man made the blade and the pistol. yes man made the waterfall over the dam. to temper his tantrum with magic. now you can't be sure of that tent of azure. since he punched a hole in the fabric. . . a woman wouldn't understand it ",https://genius.com/Elvis-costello-poor-fractured-atlas-lyrics,0.074,0.753,0.174,0.826,0.45
Elvis Costello,I Want To Vanish,All This Useless Beauty ,1996,i want to vanish. this is my fondest wish. to go where i cannot be captured. laid on a decorated dish. even in splendor this curious fate. is more than i care to surrender. now it's too late. . whether in wonder or indecent haste. you arrange the mirrors and the spools. to snare the rare and precious jewels. that were only made of paste. . if you should stumble upon my last remark. i'm crying in the wilderness. i'm trying my best to make it dark. how can i tell you i'm rarer than most. i'm certain as a lost dog. pondering a sign post. . . i want to vanish. this is my last request. i've given you the awful truth. now give me my rest,https://genius.com/Elvis-costello-i-want-to-vanish-lyrics,0.219,0.721,0.059,0.941,0.58
Elvis Costello,Distorted Angel,All This Useless Beauty ,1996,"strange things seem to occur, somewhere behind the nursery door. though i was just a bit of a kid, it was the bit that she was looking for. now i don't know where to begin confessing. the way she's making me feel it can't be a sin. i was taught to believe you were looking down on everyone. and your benevolent face is beautiful to gaze upon. now i just don't know who to tell to go to hell. who put the old devil in the distorted angel?. distorted angel. pure illuminated sweetness. frightening small children is just about your only weakness. i thought that you would tell me what i'm living for. but i can't see you anymore. i don't know what we did but i'm sorry if it made you cry. and if there's any justice at all i'd be punished for it i'd surmise. it will mark the spot very well where i fell. under the shadow of the distorted angel. beneath the shadow of the distorted angel. below the shadow of the distorted angel. angel. beneath the shadow of the distorted angel. below the shadow of the distorted angel. angel",https://genius.com/Elvis-costello-distorted-angel-lyrics,0.076,0.74,0.184,0.816,0.446
Elvis Costello,You Bowed Down,All This Useless Beauty ,1996,"i expect you're entitled to know why i'm making contact. with acquaintances scattered all over the land. i'd promise you now and again that i'd honour the contract. if it hadn't crumbled away in my hand. so we broke that vow independently now. but i don't know why you absolutely deny. you bowed down (you bowed down, you bowed down). you bowed down (you bowed down, you bowed down). when you first looked away i might say it was really a kindness. it must have hurt you to see how dreams sour. now they say that justice and love are the next things to blindness. well you're getting plenty of both of them now. and so you parade where appointments are made. and never meant to be kept. unless you accept. you bowed down (you bowed down, you bowed down). you bowed down (you bowed down, you bowed down). you value the burnt amber of falling leaves. and you long to delay. as you feel their breath as they whisper. ""it won't hurt you now to betray. if you just bow down"". and now every time that we meet on the edge of hysteria. you're helping them sell off some new party line. i remember a time when you would have seemed so superior. now you say ""will you please meet this good friend of mine?"". so you're in demand as long as you kiss their hand. but all the applause is for their name not yours. you bowed down (you bowed down, you bowed down). you bowed down (you bowed down, you bowed down). you bowed down (you bowed down, you bowed down). you bowed down (you bowed down, you bowed down). you bowed down. you bowed down. you bowed down. you bowed down",https://genius.com/Elvis-costello-you-bowed-down-lyrics,0.193,0.72,0.087,0.913,0.553
Elvis Costello,The Bridge I Burned,All This Useless Beauty ,1996,"i'm walking down times square in the electric daylight. the sailors on shore leave stand out in their perfect white. i'm up here with my spying glass at the window up above. for better or for worse it's a perverse universe, my love. . now i know, i should have never walked over the bridge i burned. now i know, somehow i don't feel so alone. . and remember to free far away from the unbridled, and the impudent. the malicious, and the unlucky. for these being full of bad demons or rays are maleficent. and like lepers and people stricken with plague. they harm not only by touch but even by proximity and by sight, dig it!. quote from marsilio ficino, italian philosopher. you mutter underneath your breath, it echoes around the world. everybody comes from nowhere. there is hope, it loops up in the air. . . you said i used to be handsome if you screwed up your eyes. professors and vampires drank up all the tears i cried. now there's a bird at my window, he feeds upon the pane pain. and sometimes he sings to me - a mocking bird in the twilight of infamy. . . now i know, i should have never walked over the bridge i burned. now i know, they've burned one sinner and the others are sadly following. . now i know",https://genius.com/Elvis-costello-the-bridge-i-burned-lyrics,0.062,0.781,0.156,0.844,0.453
