Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Gregory Alan Isakov,San Luis,Evening Machines,2018,"weightlessness, no gravity. were we somewhere in-between?. i'm a ghost of you, you're a ghost of me. a bird's-eye view of san luis. . oh, highway boys all sleeping in. with their dirty mouths and broken strings. oh, their eyes are shining like the sea. for you, the queen of san luis. i'm a ghost of you, you're a ghost of me. a bird's-eye view of san luis. . cutting through the avenues. i'd always find my way to you. beside the hook, the hammer lies. fumbling round in the smoke. spending time chasing ghosts. hold me down, hold me down, child. hold me down, hold me down, child. . california called you queen. with your golden hair and magazine. were you somewhere in-between?. fast asleep, a flying dream. . i'm a ghost of you, you're a ghost of me. a bird's-eye view of san luis. i'm a ghost of you, you're a ghost of me. a bird's-eye view of san luis. i'm a ghost of you, you're a ghost of me. a bird's-eye view of san luis. i'm a ghost of you, you're a ghost of me. a bird's-eye view of san luis",https://genius.com/Gregory-alan-isakov-san-luis-lyrics,0.023,0.772,0.205,0.795,0.409
Gregory Alan Isakov,Chemicals,Evening Machines,2018,"coffee burns, the stomach churns. chemicals and caffeine. you saw her bathing in the creek. now you're jealous of the water. now you're jealous of the water. . now babe, if it's alright i call you that. i've been running solo, but it ain't all that. they say it's the take and give. but emptiness knows just where i live. and emptiness knows me. . was it just chemicals in my head?. chemicals in my head?. . tell me why all these pages are flying round in the yard. how my hands can't seem to find your hands in the dark. tell me, tell me how the hell did we get all the way up here. how gravity's gone, gravity's gone. how gravity's gone",https://genius.com/Gregory-alan-isakov-chemicals-lyrics,0.011,0.85,0.139,0.861,0.436
Gregory Alan Isakov,Berth,Evening Machines,2018,"silver winged, broken english, boys they smoke. talk and joke above the water. new york lady, holding in her heavy hand. sacred lantern, guiding dawn. . quit all that, quit all that, quit all that looking back. quit all that, quit all that, quit all that. quit all that, quit all that, quit all that looking back. quit all that, quit all that, quit all that. . casting glances backwards, but it's not your fault. turned to salt for wondering. in your braids and heavy pages, we were folded. kiss the cold and dirty ground. . quit all that, quit all that, quit all that looking back. quit all that, quit all that, quit all that. quit all that, quit all that, quit all that looking back. quit all that, quit all that, quit all that. . seasons wake with sleeping birds now flying south. covered mouth, we watch in awe. fallen pines to shape the skyline, take me there. beneath the barren colored moon. (quit all that, quit all that, quit all that looking back. quit all that, quit all that, quit all that). . greeting all the masses. from their teeming shores. she was born with open hands. (her color, color, color is coming back. color, color, color). . quit all that, quit all that, quit all that looking back. quit all that, quit all that, quit all that looking back. quit all that, quit all that, quit all that looking back. quit all that, quit all that, quit all that looking back. quit all that, quit all that, quit all that looking back. mmmm, mmmm",https://genius.com/Gregory-alan-isakov-berth-lyrics,0.049,0.918,0.033,0.967,0.508
Gregory Alan Isakov,Caves,Evening Machines,2018,you go ahead. there's something i forgot. walk slow and i'll catch up. let's hear the stars do their talking. i used to love caves. stumble out into that pink sky. remember that bright hollow moon. it showed our insides on our outsides. . this town closes down the same time every day. put out the smoke in your mind. let's put all these words away. let's put all these words away. . now i think i like birds. see them fly from st. paul. and i go running when the night aches. i hear her every time she calls. did i hear something break?. was that your heart or my heart?. like when the earth shakes. then the silence that follows. . this town closes down the same time every day. put out the smoke in your mind. let's put all these words away. let's put all these words away. let's put all these words away. . let's put all these words away. let's put all these words away. let's put all these words away. let's put all these words away. let's put all these words away. let's put all these words away. let's put all these words away,https://genius.com/Gregory-alan-isakov-caves-lyrics,0.063,0.927,0.01,0.99,0.5265
Gregory Alan Isakov,"Dark, Dark, Dark",Evening Machines,2018,"maria's on the hill. she was all “side of her eyes”. a five-dollar wine as a blanket inside. lay up the pages on a traveling bed. watch the blood of christ mountains, oh they all turn red. . howl at the half moon, radio queen. she's all smoke, she's all nicotine. the songs in my pocket just crumble apart. won't you sing me something for the dark?. . maria's got wings, she's got legs for the sea. a captain's coat and a note for me. wake up marie, 'fore the season turns. set your dash for the coast, watch the sangres burn. . howl at the half moon, radio queen. she's all smoke, she's all nicotine. the songs in my pocket just crumble apart. won't you sing me something for the dark, dark, dark?. . oooh, oooh. oooh, oooh. won't you sing me something for the dark, dark, dark?. won't you sing me something for the dark, dark, dark?. won't you sing me something for the dark, dark, dark?. won't you sing me something for the dark?. won't you sing me something for the dark, dark, dark?",https://genius.com/Gregory-alan-isakov-dark-dark-dark-lyrics,0,1,0,1,0.5
Gregory Alan Isakov,Southern Star,Evening Machines,2018,"oh my drunken southern star. how you tried to hide in darkness. slipped from orbit. now you're dangerously close. . come out, come out. from all your hiding out. we'll dig in our heels. salute the battlefields. where our broken hearts were born, oh. . and the storm clouds are thirsty. i can see them bursting, watch them gathering light. and the walls in the bedroom now are pounding out. were we broken open baby, maybe just a crack. swore i heard you whisper that you preferred us like that, oh. . my broken open child. were we thirsty, thorned with wild eyes. still, we are slaves to the sirens of the salty sea. oh, oh, oh, oh",https://genius.com/Gregory-alan-isakov-southern-star-lyrics,0.02,0.82,0.16,0.84,0.43
Gregory Alan Isakov,Bullet Holes,Evening Machines,2018,"wither and bloom. like we all do soon enough. cover me up with your love. scratches from the branches. we took our chances, sure enough. i am brambles. but i am tangled in your love. . bullet holes, bullet holes. all patched up and headed home. bullet holes, bullet holes. all patched up and headed home. . silver and gold. precious stones, so i'm told. ah, we're clutching, but there ain't nothing we can hold. . bullet holes, bullet holes. all patched up and headed home. bullet holes, bullet holes. all patched up and headed home. . drifting, passing through. until we all fall, we all do. in the meantime, come and cover me up. . i'm all patched up and headed home. (cover me up with your love) (bullet holes, bullet holes). i'm all patched up and headed home. bullet holes, bullet holes. i'm all patched up and headed home. (cover me up with your love). i'm all patched up and headed home",https://genius.com/Gregory-alan-isakov-bullet-holes-lyrics,0.108,0.892,0,1,0.554
Gregory Alan Isakov,Powder,Evening Machines,2018,"were we the hammer. were we the powder. were we the cold evening air. were we the wild geese. were we the tall trees. were we the shot in the air. . and the background noise. goes fading now. no sounds, just the quiver of a lip. even the moon's half holding back. . look, we're falling so easy. like the rain in the dirty south. justified for the fighting. were we living in the lion's mouth?. . and the background noise. goes fading out. no sounds, just the quiver of a lip. even the moon's half holding out",https://genius.com/Gregory-alan-isakov-powder-lyrics,0.086,0.807,0.107,0.893,0.4895
Gregory Alan Isakov,Where You Gonna Go,Evening Machines,2018,"where you gonna go like that?. with the holes in you, with the holes in you. where you gonna go like that?. with the holes in you, with the holes in you. . summer sun won't come. with the holes in you, with the holes in you. jump the gun. run, run, run. . where you gonna go like that?. with the holes in you, with the holes in you. where you gonna go like that?. with the holes in you, with the holes. where you gonna go like that?. with the holes in you, with the holes in you. where you gonna go like that?. with the holes in you, with the holes",https://genius.com/Gregory-alan-isakov-where-you-gonna-go-lyrics,0.129,0.851,0.019,0.981,0.555
Gregory Alan Isakov,Was I Just Another One,Evening Machines,2018,"did you ever find the garden, where the doves go to bathe?. did you open up your heart there, or were you quiet and afraid?. did you light up every lantern; your flame whipping against the wind?. or did you fall back to the alleys, with all your secrets to defend?. . between the cities and the temple. between the jury and the judge. gavel pounds down like thunder. that's inside of all of us. . were we kids out in the desert, or birds running 'cross the sun?. did i stumble through your darkness, or was i just another one?",https://genius.com/Gregory-alan-isakov-was-i-just-another-one-lyrics,0.034,0.946,0.02,0.98,0.507
Gregory Alan Isakov,Too Far Away,Evening Machines,2018,"hey, how have you been since you let in?. the clouds through your window as it rained. the last time we spoke. you were glued to that telescope. i heard you say it was too far away. was it too far away?. . me, i've been fine. i work most of the time. digging for secrets deep in the ground. a few days ago. they called for that big snow. man, i thought that i would never get warm. did you ever get warm?. . all inside the rain. we carry what we're able. among the sewer rats and angels. and all of us in between. . before i go, i'll leave you with this poem. about the galvanised moon and her rings in the rain",https://genius.com/Gregory-alan-isakov-too-far-away-lyrics,0.015,0.956,0.029,0.971,0.493
Gregory Alan Isakov,Wings in All Black,Evening Machines,2018,"she turns to water, she goes slippin' through the cracks. and all that you gave her, you'll never win back. you circled the sun, you wore your wings in all black. see, i been down, down, down, down, down, down, down, down. but now i'm back. . those bright crooked stars, man they're howlin' out. thought you read them all right, had them all figured out. learned every constellation, just to find where you're at. yeah, i been gone, gone, gone, gone, gone, gone, gone, gone. but now i'm back. . hope was a word, just a glimmer of the blade. man, how it sang like an old serenade. fill it up, fill it up, this cup's so clear. see, i've been down, down, down, down, down, down, down, down, down, down, down, down, down. i've been down, down, down, down, down, down, down, down, down, down, down, down. but now i'm here",https://genius.com/Gregory-alan-isakov-wings-in-all-black-lyrics,0.113,0.874,0.013,0.987,0.55
