Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Leonard Cohen,Got a Little Secret,Others,2015,"{intro}. i got a little secret. if you promise not to tell. i got a little secret. (i've got a little secret). if you promise not to tell. i made a date in heaven. but i've been keepin' it in hell. i'd like to love you baby. it just don't feel right. i'd like to love you baby. it just don't feel right. i've got this full length mirror. and it ain't a pretty sight. i'd like to hold you baby. but my arms are old and weak. i would, i'd like to hold you baby. but my arms are old and weak. i was listenin' to your story. but i guess i fell asleep. i got a little secret. if you promise not to tell. i say i got a little secret. if you promise not to tell. i made a date in heaven. but i've been keepin' it in hell. {bridge}. it's kinda chilly in your kitchen. it must be ten below. it's kinda chilly in your kitchen. it must be ten below. i bought a ticket to jamaica. i guess i lost it in the snow. i got a little secret (got a little secret...). if you promise not to tell. i say i got a little secret. you've got to promise not to tell. i made a date in heaven, oh lord. but i've been keepin' it in hell. i made a date in heaven, oh lord. but i've been keepin' it in hell",https://genius.com/Leonard-cohen-got-a-little-secret-lyrics,0.193,0.668,0.139,0.861,0.527
Leonard Cohen,Stages,Others,2015,"thank you for your generosity. this is a gesture of compassion to the elderly. you know, i was talking with some of the guys. some of the guys in this band are kind of. you know over the hill. and they were talking about the. various stages that a man goes through. in relation to his allure to the opposite sex. it was not a scientific evaluation. just something that arose over a cup of coffee. it went something like this:. you start off irresistible. and, then you become resistible. and then you become transparent. not exactly invisible, but as if you are seen. through old plastic. and then you actually do become invisible. and then, and this is the most amazing transformation. you become repulsive. but that's not, that's not the end of the story. after repulsive, you become a cute. and that's where i am. yeah, my friends have gone and my hair is grey. and i ache in the places where i used to play. and i'm crazy for love, but i'm not coming on. i'm just paying my rent every day. in the tower of song. i'm just paying my rent every day. in the tower of song. now, i said to hank williams: how lonely does it get?. oh, hank williams he hasn't answered yet. oh, but i hear him coughing all, all night long. yeah, a hundred floors above me. in the tower of song",https://genius.com/Leonard-cohen-stages-lyrics,0.149,0.814,0.037,0.963,0.556
Leonard Cohen,Choices,Others,2015,"i've had choices. since the day that i was born. there were voices. that told me right from wrong. if i had listened. i wouldn't be here today. living, dying. with the choices i made. i was tempted. by an early age i found. i liked drinking. i never turned it down. there were loved ones. but i chased them all away. now i'm living and dying. with the choices i made. i've had choices. since the day that i was born. i heard voices. that told me right from wrong. if i had listened. i wouldn't be here today. living and dying. with the choices i made. i'm still paying. for the things that i have done. if i could turn back. oh lord, i would run. i'm still losing. at this game of life i play. now i'm living and dying. with the choices i've made. i had choices. since the day that i was born. there were voices. that told me right from wrong. if i had listened. i wouldn't be here today. living and dying. with the choices i made. living and dying. with the choices that i made",https://genius.com/Leonard-cohen-choices-lyrics,0.041,0.884,0.075,0.925,0.483
Leonard Cohen,Dear Heather,Dear Heather,2004,dear heather. please walk by me again. with a drink in your hand. and your legs all white from the winter. your legs all white from the winter. and your legs all white from the winter. dear heather. please walk by me again. with a drink in your hand. and your legs all white from the winter. your legs all white from the winter. and your legs all w-h-i-t-e from the winter. dear heather. please walk by me again. with a drink in your hand. and your legs all white from the winter. your legs all white from the w-i-n-t-e-r. a-n-d-y-o-u-r legs all w-h-i-t-e from the winter. dear heather. please walk by me again. with a drink in your hand. and your legs all white from the winter. your legs all white from the w-i-n-t-e-r. a-n-d-y-o-u-r legs all w-h-i-t-e from the winter,https://genius.com/Leonard-cohen-dear-heather-lyrics,0.205,0.795,0,1,0.6025
Leonard Cohen,The Letters,Dear Heather,2004,"you never liked to get. the letters that i sent. but now you've got the gist. of what my letters meant. you're reading them again. the ones you didn't burn. you press them to your lips. my pages of concern. i said there'd been a flood. i said there's nothing left. i hoped that you would come. i gave you my address. your story was so long. the plot was so intense. it took you years to cross. the lines of self-defense. the wounded forms appear:. the loss, the full extent;. and simple kindness here. the solitude of strength. i said there'd been a flood. i said there's nothing left. i hoped that you would come. i gave you my address. you walk into my room. you stand there at my desk. begin your letter to. the one who's coming next. begin your letter to. the one who's coming next. you never liked to get. the letters that i sent. but now you've got the gist. of what my letters meant. you're reading them again. the ones you didn't burn. you press them to your lips. my pages of concern. i said there'd been a flood. i said there's nothing left. i hoped that you would come. i gave you my address. your story was so long. the plot was so intense. took you years to cross. the lines of self-defense. the wounded forms appear:. the loss, the full extent;. and simple kindness here. the solitude of strength",https://genius.com/Leonard-cohen-the-letters-lyrics,0.081,0.846,0.073,0.927,0.504
Leonard Cohen,Villanelle for Our Time,Dear Heather,2004,"from bitter searching of the heart. quickened with passion and with pain. we rise to play a greater part. this is the faith from which we start:. men shall know commonwealth again. from bitter searching of the heart. we loved the easy and the smart. but now, with keener hand and brain. we rise to play a greater part. the lesser loyalties depart. and neither race nor creed remain. from bitter searching of the heart. not steering by the venal chart. that tricked the mass for private gain. we rise to play a greater part. reshaping narrow law and art. whose symbols are the millions slain. from bitter searching of the heart. we rise to play a greater part. this is the faith from which we start:. men shall know commonwealth again. from bitter searching of the heart. we rise to play a greater part. the lesser loyalties depart. and neither race nor creed remain. from bitter searching of the heart. we rise to play a greater part. reshaping narrow law and art. whose symbols are the millions slain. from bitter searching of the heart. we rise to play a greater part. this is the faith from which we start:. men shall know commonwealth again. from bitter searching of the heart. we rise to play a greater part. this is the faith from which we start:. men shall know commonwealth again. from bitter searching of the heart. we rise to play a greater part. not steering by the venal chart. that tricked the mass for private gain. we rise, we rise to play a greater part. reshaping narrow law and art. whose symbols are the millions slain. from bitter searching of the heart. we rise to play a greater part",https://genius.com/Leonard-cohen-villanelle-for-our-time-lyrics,0.292,0.604,0.103,0.897,0.5945
Leonard Cohen,The Faith,Dear Heather,2004,"the sea so deep and blind. the sun, the wild regret. the club, the wheel, the mind. o love, aren't you tired yet?. the blood, the soil, the faith. these words you can't forget. your vow, your holy place. o love, aren't you tired yet?. the blood, the soil, the faith. o love, aren't you tired yet?. a cross on every hill. a star, a minaret. so many graves to fill. o love, aren't you tired yet?. so many graves to fill. o love, aren't you tired yet?. the sea so deep and blind. where still the sun must set. and time itself unwind. o love, aren't you tired yet?. and time itself unwind. o love, aren't you tired yet?",https://genius.com/Leonard-cohen-the-faith-lyrics,0.349,0.564,0.088,0.912,0.6305
Leonard Cohen,Because Of,Dear Heather,2004,"because of a few songs. wherein i spoke of their mystery. women have been. exceptionally kind. to my old age. they make a secret place. in their busy lives. and they take me there. they become naked. in their different ways. and they say:. ""look at me, leonard!. look at me one last time!"". then they bend over the bed. and cover me up. like a baby that is shivering. like a baby (like a baby). because of a few songs. wherein i spoke of their mystery. women have been. exceptionally kind. to my old age. they make a secret place. in their busy lives. and they take me there. they become naked. in their different ways. and they say:. ""look at me, leonard!. look at me, leonard!. look at me one last time!"". look at me, leonard!. look at me, leonard!. look at me one last time!. one last time!. look at me, leonard, one last time!. look at me, leonard, one last time!. look at me, leonard!. look at me, leonard!. look at me, leonard, one last time!. one last time!""",https://genius.com/Leonard-cohen-because-of-lyrics,0.074,0.926,0,1,0.537
Leonard Cohen,Go No More A-Roving,Dear Heather,2004,"so we'll go no more, no more. so we'll go no more, no more. so we'll go no more a-roving. so late into the night. though the heart be still as loving. and the moon be still as bright. for the sword outwears its sheath. and the soul outwears the breast. and the heart must pause to breathe. and love itself have rest. though the night was made for loving. and the day returns too soon. yet we'll go no more a-roving. by the light of the moon. by the light of the moon. for the sword outwears its sheath. and the soul outwears the breast. and love itself have rest. love have rest. though the night was made for loving. and the day returns too soon. yet we'll go no more a-roving. by the light of the moon. we'll go no more a-roving. we'll go no more a-roving. we'll go no more a-roving. by the light of the moon. so we'll go no more, no more",https://genius.com/Leonard-cohen-go-no-more-a-roving-lyrics,0.133,0.723,0.144,0.856,0.4945
Leonard Cohen,Nightingale,Dear Heather,2004,"i built my house beside the wood. so i could hear you singing. and it was sweet and it was good. and love was all beginning. fare thee well, my nightingale. 'twas long ago i found you. now all your songs of beauty fail. the forest closes 'round you. the sun goes down behind a veil. ‘tis now that you would call me. so rest in peace my nightingale. beneath your branch of holly. fare thee well, my nightingale. i lived but to be near you. tho' you are singing somewhere still. i can no longer hear you",https://genius.com/Leonard-cohen-nightingale-lyrics,0.141,0.81,0.049,0.951,0.546
