Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Sun Kil Moon,Alesund,Admiral Fell Promises,2010,"no this is not my guitar. i'm bringing it to a friend. and no i don't sing. i'm only humming along. up here in the air. i'm just mumbling at the clouds. wanting to be known. while i pass the lonely hours. i came down from the room. i saw you in the rain. laughing with some people. hair dripping down your face. your calm hypnotic eyes. the scandinavian glow. i felt them like a flame. candle in my cold bones. tonight you were my muse. as i belted and i strummed. trying not to drown. in the helicopter drone. alesund. alesund. from the crowd i heard. you sing a pretty line. was it: ""there's so much love -. that i wanna cry"". i thought about it long. had you repeat it in my ear. i couldn't place it though. but lord, you being so close. i should've played it then. from the intro to the end. when they offered me the stage. at the bar we landed in. but i turned and walked. away from all the fun. and back into the black. seaside night of alesund. alesund. alesund. alesund. alesund",https://genius.com/Sun-kil-moon-alesund-lyrics,0.117,0.857,0.026,0.974,0.5455
Sun Kil Moon,Third and Seneca,Admiral Fell Promises,2010,"in my room at third and seneca. see the pigeons peck on tall roof tops. homeless on the corners, they carouse. ferries float out in the puget sound. scenesters with their beards and tennis shoes. skinny girls and pudgy ugly dudes. lift their amplifiers from the ditches. southern doormen brood in barroom witches. seattle black, alaska blue. oregon grey, raincloud vancouver. dead in denver, drowsy idaho. just dreams away from your love, san francisco. in my room at laurel and beverly. your mind blossoms, mine is withering. i'm retiring and you're aspiring. you're dream-chasing, i'm only escaping. blood orange la, blood red arizona. lonestar sante fe, lone palm la pomona. old soul san antonio, dry grass of el paso. lifetimes away from your love, i know. from my view at 32nd street. winter throws its snow down heavily. empty halls of friends who've come and gone. i'm awoken, rushed, and dragged along. new york, new york, new haven, hoboken. the skylines appear spinning past in fast motion. the words we shared dissolved as they're spoken. all the worlds away from my love",https://genius.com/Sun-kil-moon-third-and-seneca-lyrics,0.129,0.81,0.062,0.938,0.5335
Sun Kil Moon,Half Moon Bay,Admiral Fell Promises,2010,"the saddest eyes she wore. so longing and forlorn. that made me love you. more and more. the bluest heart she owns. as she gets more and more alone. as the deepest cello drones. the oldest yard-cat sings. her mournful bellowing. from branches in the trees. the stillest star shines red. with them bring havoc and death. upon the land they'll sweep. the painful midnight cries. when one leaves a world behind. leaves a world be, leaves a world behind. and here in half moon bay. hear the hum of the highway. hum of the high, hum of the highway. highway 1. grey clouds, muted suns. down by the footbridge stream. i am walking in a dream. wailing in my dreams. cuz winter-time was through. i could not be there for you. i couldn't care for you. and hear the traffic come. down the old highway 1. down the devil's sleighted run. and nothing clears these stains. not the january rains. rising in the stream. down by the bay-leaf tree. our lonely bird eyes meet. lonely bird eyes, lonely bird eyes meet. under the blue moonbeams. i am wandering in my dream. walking in my, wandering in a dream. highway 1. grey clouds, muted suns. highway 1. grey clouds, muted suns",https://genius.com/Sun-kil-moon-half-moon-bay-lyrics,0.071,0.777,0.152,0.848,0.4595
Sun Kil Moon,You Are My Sun,Admiral Fell Promises,2010,"you are my light. dark cities, you fill the loss. of the day. you are my love. radiant and pretty, over seas. you find ways of bringing hope. the lonely hours, gloom of night. empty mornings. you are a stem, of wild flowers. rollin' hills, 'round the bay. you are a gap. in the meadow, soaring low. in this way, you are my friend. in the shadows, there to bring. when i need. you are the suites. of the cellos. there to mend, if i bleed. you are a swing. sleepy porches, the warm light. on my face. you are a charge, of wild horses. you are the sun. you are my sun. seeping over, spilling out. over the mountains. you are my sun. leona, leona, leona. leona, leona, leona. your fingers. breathe with grace and ease. a gentle wave. of guitars playing. leona, leona, leona. leona, leona, leona. does sense of stares. light as air. verses sound, everywhere. leona, leona, leona",https://genius.com/Sun-kil-moon-you-are-my-sun-lyrics,0.158,0.774,0.068,0.932,0.545
Sun Kil Moon,Admiral Fell Promises,Admiral Fell Promises,2010,"come out from the burning fire, butterfly. let me lock you in my room and keep you for a while. could you be the answer to my every prayer?. could you be the one for who i care?. come into my arms and let your worries die. come out from the web of all your tangled lies. but be true to me and i'll be true to you. judge me not for what i've done but what i'll do. a million nights have led. to this one that we are spending. and i know it's better here. than anywhere i've been going. with every morning grew. a void more wide and endless. come out from the burning fire butterfly. let me lock you in my room and keep you for a while. you watch over me and i'll watch over you. and if you go tomorrow, choke me till i'm blue. a thousand days have passed. in this house, she and i were sharing. and i hate myself for it. but i have stopped caring. the maryland sky tonight. is so black and blue and beautiful",https://genius.com/Sun-kil-moon-admiral-fell-promises-lyrics,0.119,0.774,0.107,0.893,0.506
Sun Kil Moon,Sam Wong Hotel,Admiral Fell Promises,2010,"there by the blue, blue sea. on my morning walks. seagulls dip and sway. over the mossy rocks. oh feel the wind blowing in. cool summer days. boats in the bay. sailing along. under a lone palm tree. on my easy rest. centered in my gaze. her pretty yellow dress. oh, katherine drifts again. into my mind. freezing the time. she visits me still. oh, marina. pastel hues. which one tomorrow. of your many moons?. coast guard city light. my late evening walks. down the port's mouth square. pass sam wong hotel. oh, chinatown. closing down. ghostly moon mist. eerily dressed. oh harp player. on grant avenue. which one tomorrow. of your haunting tunes?",https://genius.com/Sun-kil-moon-sam-wong-hotel-lyrics,0.092,0.863,0.046,0.954,0.523
Sun Kil Moon,The Leaning Tree,Admiral Fell Promises,2010,"scattered relics of your love just lyin 'round your dusty room. bearing old souls, old men, old scars, dissonant wallow of guitars. burnin' off indian sun on the water barges hung. through the bay window panes, covers maginify and brings. sleepy poet's perfect dream, pastel homes along the sea. this i would, this i will: leave to join you in the hills. for you i would, for you i will leave this for the auburn hills. find your old peeling house, find you out there…. hear the owl call from the trees, smell the midnight forest breeze. shield you from this dark and night, wake you in the morning. you came to me in a dream walking down the path by the cold, icy stream. the white of the snow, coating the past, in the sierra when a time you disappeared. you left me alone. and the old master room in my mountain home. and i called for you so many times and longed for one more day with you in my life. and i longed for one more day with you in my life. i see you there in my dreams, your poise is perfect, that of a statue as queen. your beautiful hair, your ocean blue eyes; you bear the depth of your losses inside and i begged of you so many times, forgive me once and for all for all of my lies, to forgive me once and for all for all of my lies. oh mommy, the leaning tree like a diamond. as we pass the long dead grass, thirsty in the sun. memories rest beyond the broken fence. let their spirits be. the birds have left their mother's nest on the roses' thorns. there they swing over the bleach-white grain, sprawled over the hill",https://genius.com/Sun-kil-moon-the-leaning-tree-lyrics,0.106,0.826,0.068,0.932,0.519
Sun Kil Moon,Church of the Pines,Admiral Fell Promises,2010,"spring, spring.. flowers blossom and bloom. squirrel, squirrel.. jump down onto my roof. sparrow, cardinal, hummingbird. redwood, holly tree, juniper.... the service moves slowly through the hills. faint sound of the highway. night sets on the church of pines. ending the day, they laid down to rest. from my room, i look at the street. and see the youths passing along. while i unwind, head in a song. and in my bed, i play the guitar. i loosen the strings 'til i find a tone. and if it don't come... then i put it down. howl, howl.. dogs of the neighborhood. moon glow, over the gravestones. dense vines, strangle the black oaks. the lamp light, the fallen fence posts. the sun rises over the tree line..... with welcoming morning light. day sets on the church of pines. one day we'll all.. be laid to rest. from the hills i look up at stars. and feel the darkness swell like a bruise. and in my head, i'm playing with words. i scramble and strain to find the right ones. sometimes there are none. sometimes they don't come",https://genius.com/Sun-kil-moon-church-of-the-pines-lyrics,0.052,0.909,0.039,0.961,0.5065
Sun Kil Moon,Australian Winter,Admiral Fell Promises,2010,"up through the ashes you rose. leaving her forever purer than before. all of her goodness enclosed. with an ever-burning red volcanic glow. from your honest eyes, i stole. and i've forsaken you, and i amount to nothing. still up these rivers we'll row. far away along, fish in flow forever. i fly around the earth. fluttering along, humming like a swallow. i sing their long eyes to sleep. but their applause leaves me blank and hollow. the ocean beneath me is loneliness. the cities all are one. repeating and repeating. the haunted rustling of leaves. screeching 'cross the porch. raindrops pluck the windows. i pull myself underneath. her warm soft blankets. this australian winter",https://genius.com/Sun-kil-moon-australian-winter-lyrics,0.098,0.837,0.064,0.936,0.517
Sun Kil Moon,Bay of Skulls,Admiral Fell Promises,2010,"had i known, had i been warned. the hawks will hover, buzzards swarm. the rattlers strike, scorpions sting. their tiny drops can slay a king. you have told so many lies. said them right into my eyes. used your powers to hurt them. crashed into your open sun. the bay of skulls have found you. the bay of skulls have found you. the moon has settled for the night. the days pass faster than i'd like. for i have traveled many miles. have been met with many smiles. and every april, gray winged doves. build their nests and guard their young. from my garden window view. hear their early morning coo",https://genius.com/Sun-kil-moon-bay-of-skulls-lyrics,0.048,0.866,0.086,0.914,0.481
