Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Morrissey,Jack the Ripper,Beethoven Was Deaf,,"oh, you look so tired. mouth slack and wide. ill-housed and ill-advised. your face is as mean. as your life has been. . crash into my arms. i want you. you don't agree. but you don't refuse. i know you. . and i know a place. where no-one is likely to pass. oh, you don't care if it's late. and you don't care if you're lost. and oh, you look so tired. but tonight you've presumed too much. too much, too much. and if it's the last thing i ever do. i'm gonna get you. . crash into my arms. i want you. you don't agree. but you don't refuse. i know you. . crash into my arms. i want you. you don't agree. but you don't refuse. i know you. . and no one knows a thing about my life. i can come and go as i please. if i want to i can stay. or if i want to i can leave. nobody knows me, nobody knows me. nobody knows me, nobody knows me. aah, aah, nobody knows me. aah, aah, nobody knows me. aah, aah, nobody knows me",https://genius.com/Morrissey-jack-the-ripper-lyrics,0.084,0.732,0.184,0.816,0.45
Morrissey,Sister I'm a Poet,Beethoven Was Deaf,1988,"all over this town. yes a low wind may blow. and i can see through everybodys clothes. with no reason to hide these words i feel. and no reason to talk about the books i read but still i do. that's 'cause i'm a. sister, i'm a. all over this town. along this way outside the prison gates. i love the romance of crime and i wonder. does anybody feel the same way i do. and is evil just something you are. or something you do. sister, i'm a. sister, i'm a. all over this town. all over this town they pull over. in their citroen vans not to shake your hand. with meths on their breaths. and you with youth on your side. a plastic bag stranded at the light. this once was me. but now i'm a. sister, i'm a. all over this town",https://genius.com/Morrissey-sister-im-a-poet-lyrics,0.113,0.757,0.13,0.87,0.4915
Morrissey,Disappointed,Bona Drag,1988,"our unsleepable friend. gets the message on an ill-wind. all your friends and your foes. would rather die than have to touch you. to say the least, truly disappointed. truly, truly, truly ah-ha-ha. . drank too much. and i've said too much. and there's nowhere to go, but down. young boy, i wanna help you. see these lines? truly disappointed. truly, truly, truly ah-ha-ha. . don't talk to me now. about people who are nice. 'cause i have spent my whole life in ruins. because of people who were nice. oh, this world may lack style, i know. each bud must blossom and grow. . young girl one day you will be old. but the thing is, i love you now. this is the last song i will ever sing (yeah). no, i've changed my mind again (ooooh). goodnight and thank you",https://genius.com/Morrissey-disappointed-lyrics,0.137,0.638,0.225,0.775,0.456
Morrissey,Hairdresser on Fire,Bona Drag,1988,"here is london, giddy of london. is it home of the free. or what?. . can you squeeze me. into an empty page of your diary. and psychologically save me. i've got faith in you. i sense the power. within the fingers. within an hour the power. could totally destroy me. (or, it could save my life). . oh, here is london. ""home of the brash, outrageous and free"". you are repressed. but you're remarkably dressed. is it real?. and you're always busy. . really busy. busy, busy. oh, hairdresser on fire. all around sloane square. and you're just so busy. busy, busy. busy scissors, uh. oh, hairdresser on fire. (only the other day). . was a client, over-cautious. he made you nervous. and when he said. ""i'm gonna sue you"". oh, i really felt for you. so can you squeeze me. into an empty page of your diary. and supernaturally change me?. change me, change. . oh, here in london. ""home of the brash, outrageous and free"". you are repressed. but you're remarkably dressed. is it real?. and you're always busy. . really busy. busy clippers, uh. oh, hairdresser on fire. all around sloane square. and you're just too busy. to see me. busy clippers, uh. oh, hairdresser on fire. (only the other day)",https://genius.com/Morrissey-hairdresser-on-fire-lyrics,0.036,0.818,0.147,0.853,0.4445
Morrissey,He Knows I'd Love To See Him,Bona Drag,1990,"he knows, he knows. or, i think he does. . 'cause when i lived. in the arse of the world. he knows, he knows. he knows i'd love. to see him happy. or as close as is allowed. . oh, 'cause when i lived. in the arse of the world. he knows, he knows. he knows i'd love. to see him happy. or as close as possible. as close as possible. as close as is allowed. oh, oooh. . oh, my name still conjures up deadly deeds. and a bad taste in the mouth. and the police - they actually know me. they said: ""you're just another person in the world. you're just another fool with radical views. you're just another who has maddening views. you want to turn it on its head. by staying in bed!"". i said: ""i know i do"". i said: ""i know i do"". (i said: ""i know i do""). he doesn't know...",https://genius.com/Morrissey-he-knows-id-love-to-see-him-lyrics,0.106,0.835,0.059,0.941,0.5235
Morrissey,Interesting Drug,Bona Drag,1989,"there are some bad people on the right. there are some bad people on the right. they're saving their own skins by. ruining people's lives. bad, bad people on the right. . young married couple in debt. ever felt had?. young married couple in debt. ever felt had?. . on a government scheme. designed to kill your dream. oh mum, oh dad. once poor, always poor. la la la la. . interesting drug. the one that you took. tell the truth, it really helped you. an interesting drug. the one that you took. god, it really, really helped you. . you wonder why we're only half-ashamed?. because enough is too much. and look around -. can you blame us?. can you blame us?. . on a government scheme. designed to kill your dream. oh mum, oh dad. once poor, always poor. la la la la. . interesting drug. the one that you took. tell the truth, it really helped you. an interesting drug. the one that you took. god, it really, really helped you. . you wonder why we're only half-ashamed?. because enough is too much. and look around -. can you blame us?. can you blame us?",https://genius.com/Morrissey-interesting-drug-lyrics,0.099,0.678,0.223,0.777,0.438
Morrissey,November Spawned A Monster,Bona Drag,1990,"sleep on and dream of love. because it's the closest you will get to love. poor, twisted child, so ugly, so ugly. poor, twisted child, oh hug me, oh hug me. . one november spawned a monster. in the shape of this child, who later cried. ""but jesus made me, so jesus save me. from pity, sympathy, and people discussing me. a frame of useless limbs what can make good. all the bad that's been done?"". . and if the lights were out. could you even bear to kiss her full on the mouth (or anywhere?). poor, twisted child, so ugly, so ugly. poor, twisted child, oh hug me, oh hug me. . one november spawned a monster. in the shape of this child who must remain. a hostage to kindness and the wheels underneath her. a hostage to kindness and the wheels underneath her. a symbol of where mad, mad lovers must pause and draw the line. . . so sleep and dream of love. because it's the closest you will get to love. . that november is a time which i must put out of my mind. oh, one fine day, let it be soon. she won't be rich or beautiful. but she'll be walking your streets. in the clothes that she went out and chose for herself",https://genius.com/Morrissey-november-spawned-a-monster-lyrics,0.234,0.581,0.185,0.815,0.5245
Morrissey,"Ouija Board, Ouija Board",Bona Drag,1989,"ouija board. would you work for me?. i have got to say ""hello"". to an old friend. ouija board, ouija board, ouija board. would you work for me?. i have got to get through. to a good friend. . well, she has now gone. from this unhappy planet. with all the carnivores. and the destructors on it. . ouija board, ouija board, ouija board. would you help me?. because i still do feel. so horribly lonely. would you, ouija board. would you, ouija board. would you help me?. and i just can't find. my place in this world. . well, she has now gone. from this unhappy planet. with all the carnivores. and the destructors on it. . oh, hear my voice (hear my voice). oh, hear my voice (hear my voice). hear my voice (hear my voice). hear my voice (hear my voice). . the table is rumbling. the table is rumbling. the glass is moving. ""no, i was not pushing that time"". it spells: s.t.e.v.e.n. the table is rumbling. the glass is moving. ""no, i was not pushing that time"". p.u.s.h.o. double f. . well, she has now gone. from this unhappy planet. with all the carnivores. and the destructors on it",https://genius.com/Morrissey-ouija-board-ouija-board-lyrics,0.101,0.821,0.078,0.922,0.5115
Morrissey,Piccadilly Palare,Bona Drag,1990,"off the rails i was and. off the rails. i was happy to stay. get out of my way. on the rack i was. easy meat, and a reasonably good buy. a reasonably good buy. . the piccadilly palare. was just silly slang. between me and the boys in my gang. ""so bona to vada, oh you. your lovely eek and. your lovely riah"". . we plied an ancient trade. where we threw all life's. instructions away. exchanging lies and digs (my way). 'cause in a belted coat. oh, i secretly knew. that i hadn't a clue. (no, no. no, no, no. you can't get there that way. follow me...). . the piccadilly palare. was just silly slang. between me and the boys in my gang. exchanging palare. you wouldn't understand. good sons like you. never do. . a cold-water room. it's not much, i know. but for now it's where i belong. am i really doing wrong?. around the center of town. is where i belong. am i really doing wrong?”. . so why do you smile. when you think about earl's court ?. but you cry when you think of all. the battles you've fought and lost. it may all end tomorrow. or it could go on forever. in which case i'm doomed. it could go on forever. in which case i'm doomed. . bona drag, bona drag, bona drag, bona drag...",https://genius.com/Morrissey-piccadilly-palare-lyrics,0.112,0.754,0.135,0.865,0.4885
Morrissey,Such a Little Thing Makes Such a Big Difference,Bona Drag,1990,"such a little thing. such a little thing. but the difference it made was grave. there you go. wielding a bicycle chain. oh, why won't you change?. change and be nice, oh.... . such a little thing. a gentle tone of kindness. or written words on paper - can you write?. how i love all of. the very simple things of life. god's good air. how i love all of. the very simple things of life. . such a little thing. a fumbling politeness, oh.... oh, the difference saved me. wielding a bicycle chain. why won't you change?. ""i will not change. and i will not be nice"". most people keep their brains. between their legs. (don't you find?). . leave me alone, i was only singing. leave me alone, because i was only singing. leave me alone, i was only singing. leave me alone, you have just proved again. most people keep their brains. between their legs",https://genius.com/Morrissey-such-a-little-thing-makes-such-a-big-difference-lyrics,0.208,0.715,0.077,0.923,0.5655
