Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Neil Young,Southern Man,After the Gold Rush,1970,"southern man better keep your head. don't forget what your good book said. southern change gonna come at last. now your crosses are burning fast. southern man. . i saw cotton and i saw black. tall white mansions and little shacks. southern man, when will you pay them back?. . i heard screaming and bullwhips cracking. how long? how long?. . . southern man better keep your head. don't forget what your good book said. southern change gonna come at last. now your crosses are burning fast. southern man. . lily belle, your hair is golden brown. i've seen your black man coming 'round. swear by god, i'm gonna cut him down!. . i heard screaming and bullwhips cracking. how long? how long?",https://genius.com/Neil-young-southern-man-lyrics,0.142,0.782,0.077,0.923,0.5325
Neil Young,After the Gold Rush,After the Gold Rush,1970,"well i dreamed i saw the knights in armor comin'. sayin' something about a queen. there were peasants singin' and drummers drummin'. and the archer split the tree. there was a fanfare blowin' to the sun. that was floating on the breeze. look at mother nature on the run. in the 1970s. look at mother nature on the run. in the 1970s. . i was lyin' in a burned out basement. with the full moon in my eyes. i was hopin' for replacement. when the sun burst though the sky. there was a band playin' in my head. and i felt like getting high. i was thinkin' about what a friend had said. i was hopin' it was a lie. thinkin' about what a friend had said. i was hopin' it was a lie. . well, i dreamed i saw the silver space ships flyin'. in the yellow haze of the sun. there were children cryin' and colors flyin'. all around the chosen ones. all in a dream, all in a dream. the loadin' had begun. flying mother nature's silver seed. to a new home in the sun. flying mother nature's silver seed. to a new home",https://genius.com/Neil-young-after-the-gold-rush-lyrics,0.093,0.907,0,1,0.5465
Neil Young,Only Love Can Break Your Heart,After the Gold Rush,1970,"when you were young and on your own. how did it feel to be alone?. . i was always thinking of games that i was playing. trying to make the best of my time. . but only love can break your heart. try to be sure right from the start. yes, only love can break your heart. what if your world should fall apart?. . i have a friend i've never seen. he hides his head inside a dream. . someone should call him and see if he can come out. try to lose the down that he's found. . but only love can break your heart. try to be sure right from the start. yes, only love can break your heart. what if your world should fall apart?. . i have a friend i've never seen. he hides his head inside a dream. . yes, only love can break your heart. yes, only love can break your heart. yes, only love can break your heart. yes, only love can break your heart. yes, only love can break your heart",https://genius.com/Neil-young-only-love-can-break-your-heart-lyrics,0.425,0.561,0.014,0.986,0.7055
Neil Young,Don't Let It Bring You Down,After the Gold Rush,1970,old man lying by the side of the road. with the lorries rolling by. blue moon sinking from the weight of the load. and the buildings scrape the sky. cold wind ripping down the alley at dawn. and the morning paper flies. dead man lying by the side of the road. with the daylight in his eyes. . don't let it bring you down. it's only castles burning. find someone who's turning. and you will come around. . blind man running through the light of the night. with an answer in his hand. come on down to the river of sight. and you can really understand. red lights flashing through the window in the rain. can you hear the sirens moan?. white cane lying in a gutter in the lane. if you're walking home alone. . don't let it bring you down. it's only castles burning. find someone who's turning. and you will come around. . don't let it bring you down. it's only castles burning. just find someone who's turning. and you will come around,https://genius.com/Neil-young-dont-let-it-bring-you-down-lyrics,0.017,0.88,0.103,0.897,0.457
Neil Young,Tell Me Why,After the Gold Rush,1970,"sailin' hardships through broken harbors. out on the waves in the night. still the searcher must ride the dark horse. racing alone in his fright. . tell me why. tell me why. . is it hard to make arrangements with yourself. when you're old enough to repay but young enough to sell?. . tell me lies later, come and see me. i'll be around for a while. i am lonely but you can free me. all in the way that you smile. . tell me why. tell me why. . is it hard to make arrangements with yourself. when you're old enough to repay, but young enough to sell?. . tell me why. tell me why. . is it hard to make arrangements with yourself. when you're old enough to repay, but young enough to sell?",https://genius.com/Neil-young-tell-me-why-lyrics,0.054,0.824,0.121,0.879,0.4665
Neil Young,Birds,After the Gold Rush,1970,"lover, there will be another one. who'll hover over you beneath the sun. tomorrow, see the things that never come today. . when you see me. fly away without you. shadow on the things you know. feathers fall around you. and show you the way to go. it's over, it's over. . nestled in your wings, my little one. this special morning brings another sun. tomorrow, see the things that never come today. . when you see me. fly away without you. shadow on the things you know. feathers fall around you. and show you the way to go. it's over, it's over",https://genius.com/Neil-young-birds-lyrics,0.063,0.937,0,1,0.5315
Neil Young,I Believe in You,After the Gold Rush,1970,"now that you found yourself. losing your mind. are you here again?. finding that what you once. thought was real. is gone, and changing?. . now that you made yourself love me. do you think. i can change it in a day?. how can i place you above me?. am i lying to you when i say. that i believe in you?. i believe in you. i believe in you. . coming to you at night. i see my questions. i feel my doubts. wishing that maybe. in a year or two. we could laugh. and let it all out. . now that you made yourself love me. do you think. i can change it in a day?. how can i place you above me?. am i lying to you when i say. that i believe in you?. i believe in you. i believe in you",https://genius.com/Neil-young-i-believe-in-you-lyrics,0.104,0.814,0.081,0.919,0.5115
Neil Young,Cripple Creek Ferry,After the Gold Rush,1970,"hey, hey. cripple creek ferry. butting through. the overhanging trees. make way. for the cripple creek ferry. the waters going down. it's a mighty tight squeeze. . all alone the captain stands. hasn't heard. from his deck hands. the gambler tips his hat. and walks towards the door. it's the second half. of the cruise. and you know he hates to lose. . hey, hey. cripple creek ferry. butting through. the overhanging trees. make way. for the cripple creek ferry. the waters going down. it's a mighty tight squeeze",https://genius.com/Neil-young-cripple-creek-ferry-lyrics,0,0.915,0.085,0.915,0.4575
Neil Young,When You Dance I Can Really Love,After the Gold Rush,1970,"when you dance do your senses tingle then take a chance?. in a trance, while the lonely mingle with circumstance?. i got something to tell you, you made it show. let me come over, i know you know. when you dance, ooh ooh, i can really love. . i can love, i can really love, i can really love. i can love, i can really love, i can really love. like a mountain that's growing, a river that rolls. let me come over, i know you know. when you dance, ooh ooh, i can really love. . when you dance do your senses tingle then take a chance?. in a trance, while the lonely mingle with circumstance?. i got something to tell you, you made it show. let me come over, i know you know. when you dance, ooh ooh, i can really love",https://genius.com/Neil-young-when-you-dance-i-can-really-love-lyrics,0.287,0.682,0.031,0.969,0.628
Neil Young,"Oh, Lonesome Me",After the Gold Rush,1970,"everybody's going out and having fun. i'm a fool for staying home and having none. i can't get over how she set me free. oh, lonesome me. there must be some way that i can lose these lonesome blues. forget about my past, find someone new. i've thought of everything from a to z. oh, lonesome me. i'll bet she's not like me. she's out and fancy free. flirting with the boys with all her charms. but i still love her so. and brother, don't you know. i'd welcome her right back here in my arms. there must be some way that i can lose these lonesome blues. forget about my past, find someone new. i can't get over how she set me free. oh, lonesome me",https://genius.com/Neil-young-oh-lonesome-me-lyrics,0.161,0.676,0.164,0.836,0.4985
Neil Young,Till the Morning Comes,After the Gold Rush,1970,i'm going to give you till the morning comes. till the morning comes. till the morning comes. i'm only waiting till the morning comes. till the morning comes. till the morning comes. . i'm going to give you till the morning comes. till the morning comes. till the morning comes. i'm only waiting till the morning comes. till the morning comes. till the morning comes,https://genius.com/Neil-young-till-the-morning-comes-lyrics,0,1,0,1,0.5
Neil Young,Hey Babe,American Stars & Bars,1977,"hey babe. say you're mine, all mine. i need it oh so bad. hey babe, hey babe. i know that all things pass. let's try to make this last. . oh, can you see. my love shining for you?. oh, can you see. my love shining for you?. . hey babe, can i count on you. to see me through?. hey babe, hey babe. all i need is your love. and the stars above. . . . . hey babe. i know that all things pass. let's try to make this last",https://genius.com/Neil-young-hey-babe-lyrics,0.139,0.814,0.047,0.953,0.546
Neil Young,Old Country Waltz,American Stars & Bars,1977,"they were playing that old country waltz. in this empty bar, echoing off the wall. when i first got the bad news that you set me free. the band played the old country waltz to me. well, i loved and i lost, and i cried. the day that the two of us died. ain't got no excuses, i just want to ride. while the band plays the old country waltz. out the window the moon shines on the roofs of the cars. while i knock down tequila and salt. and the band plays the old country waltz. and we're playing that old country waltz. in this empty bar, echoing off the wall. ain't got no excuses, we just want to play. that good old country waltz. i ain't got no excuses, i just want to play. that good old country waltz. that good old country waltz",https://genius.com/Neil-young-old-country-waltz-lyrics,0.247,0.659,0.093,0.907,0.577
Neil Young,Will To Love,American Stars & Bars,1977,"it has often been my dream. to live with one who wasn't there. like an ocean fish who swam upstream. through nets, by hooks, and hungry bears. when the water grew less deep. my fins were aching from the strain. i'm swimming in my sleep. i know i can't go back again. got the will to love. got the will to love. i'll never lose it. never lose the will to love. never lose the will. it's like something from up above. i can be like a fire in the night. always warm and giving off light. but there comes a time when i shine too bright. oh, i'm just a fire in the night. and now my fins are in the air. and my belly is scraping on the rocks. i still think someone really cares. and i'll keep swimming 'til i stop. got the will to love. got the will to love. it's like something from up above. never lose the will to love. never lose the will. i'm like a singer on the stage. with the golden lights and liquid rage. down from the mountains to the sea. cool running love keeps cleansing me. it keeps my gills from getting dry. but it distorts things in my eyes. sometimes i see what really isn't there. like my true lover, and i care. but i'll never lose. got the will to love. got the will to love. never lose the will to love. it's like something from up above. sometimes i ramble on and on. and i repeat myself 'til all my friends are gone. and get lost in snow and drown in rain. and never feel the same again. i remember the ocean from where i came. just one of millions all the same. but somewhere someone calls my name. i'm a harpoon dodger and i can't, won't be tamed. but i'll never lose the will to love. never lose the will to love. got the will to love. got the will to love. it's like something from up above. i'm not gonna lose the will to love. baby, if i see boredom in your eyes. i'll know my river has run dry. but i won't turn back with that lonely tide. i bought that ticket and i'll take that ride. if we meet along the way, please sway beside me. let us sway together, our tails together. and our fins and mind will leave this water. and let our scales shine. in the sun above and the sky below. so all the water and earth will know. it has often been my dream. to live with one who wasn't there",https://genius.com/Neil-young-will-to-love-lyrics,0.252,0.654,0.093,0.907,0.5795
Neil Young,Homegrown,American Stars & Bars,1977,"homegrown's. all right with me. homegrown. is the way it should be. homegrown. is a good thing. plant that bell. and let it ring. . the sun comes up. in the morning. shines that light around. one day, without no warning. things start jumping up. from the ground",https://genius.com/Neil-young-homegrown-lyrics,0.137,0.863,0,1,0.5685
Neil Young,Saddle Up The Palomino,American Stars & Bars,1977,"oh, oh, carmelina, the daughter of the wealthy banker. since she came to town, all my friends are gone. and i'm stuck out here with melody. saddle up the palomino. the sun is going down. the way i feel. this must be real. if you can't cut it, don't pick up the knife. there's no reward in your conscience stored. when you're sleeping with another man's wife. saddle up the palomino. the sun is going down. the way i feel. this must be real. i want to lick the platter, the gravy doesn't matter. it's a cold bowl of chili when love lets you down. but it's the neighbor's wife i'm after. saddle up the palomino. the sun is going down. the way i feel. this must be real",https://genius.com/Neil-young-saddle-up-the-palomino-lyrics,0.087,0.882,0.032,0.968,0.5275
Neil Young,Bite The Bullet,American Stars & Bars,1977,"there's a bar hall queen down in charlotte town. i'd sure like to see her when the sun goes down. i swear her hair is midnight black. and i can't wait 'til i get back. carolina queen, she's a walking love machine. i'd like to make her scream when i bite the bullet. bite the bullet. born and raised at the top of the south. you know she knows what it's all about. good old boys are coming from miles around. want to watch that bullet lay 'em down. carolina queen, she's a walking love machine. i'd like to make her scream when i bite the bullet. bite the bullet. bite the bullet. bite the bullet. there's a bar hall queen down in charlotte town. i'd sure like to see her when the sun goes down. good old boys are coming from miles around. want to watch that bullet lay 'em down. carolina queen, she's a walking love machine. i'd like to make her scream when i bite the bullet. bite the bullet. bite the bullet. bite the bullet",https://genius.com/Neil-young-bite-the-bullet-lyrics,0.201,0.752,0.047,0.953,0.577
Neil Young,Hold Back The Tears,American Stars & Bars,1977,"hello, my old friend, it's good to see you smiling. you've been around so long, you must be strong. and single life really has its fine points. like friends to help you out when things go wrong. hold back the tears that you've been crying. push off the fears when they come around. hold back the tears and keep on trying. just around the next corner may be waiting your true love. two lying fools and then four crying eyes. counting on one another to survive. crazy love must surely have this pain. if getting up means going down again. hold back the tears that you've been crying. push off the fears when they come around. hold back the tears and keep on trying. just around the next corner may be waiting your true love. hold back the tears that you've been crying. push off the fears when they come around. hold back the tears and keep on trying. just around the next corner may be waiting your true love. hold back the tears that you've been crying. push off the fears when they come around. hold back the tears and keep on trying. just around the next corner may be waiting...",https://genius.com/Neil-young-hold-back-the-tears-lyrics,0.187,0.603,0.211,0.789,0.488
Neil Young,Let's Roll,Are You Passionate?,2002,"i know i said i love you. i know you know it's true. i've got to put the phone down. and do what we got to do. one's standing in the aisleway. two more at the door. we've got to get inside there. before they kill. time is running out, let's roll. no time for indecision. we've got to make a move. i hope that we're forgiven. for what we got to. how this all got started. i'll never understand. i hope someone can fly this thing. and get us back to land. time is running out, let's roll. no one has the answer. but one thing is true. you've got to turn on evil. when it's coming after you. you've got to face it down. and when it tries to hide. you've got to go in after it. and never be denied. time is running out, let's roll. let's roll for freedom. let's roll for love. we're going after satan. on the wings of a dove. let's roll for justice. let's roll for truth. let's not let our children. grow up fearful in their youth. time is running out, let's roll",https://genius.com/Neil-young-lets-roll-lyrics,0.163,0.748,0.09,0.91,0.5365
Neil Young,When I Hold You In My Arms,Are You Passionate?,2002,when i hold you in my arms. it's a breath of fresh air. when i hold you in my arms. i forget what's out there. all those people with their faces. walking up the street. they don't have to say a thing. just look around and you see. . new buildings going up. old buildings coming down. new signs going up. old signs coming down. you got to hold onto something in this life. . well the older generation. they got something to say. but they better say it fast. or get out of the way. all those gangsters with their crimes. they make it look so good. we've been blowing up the planet. just like the old neighbourhood. . . if i only had a heart. it would beat all night for you. if i only had a heart. i would cry the whole day through. when i hold you in my arms. it's like a breath of fresh air. when i hold you in my arms. i forget what's out there. . old heart's going up. old heart's coming down. my feelings going up. my feelings coming down. you got to hold onto someone in this life. . when i hold you in my arms. it's a breath of fresh air. when i hold you in my arms. i forget what's out there,https://genius.com/Neil-young-when-i-hold-you-in-my-arms-lyrics,0.11,0.844,0.046,0.954,0.532
