Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Nick Cave and the Bad Seeds,O Children,Abattoir Blues / The Lyre of Orpheus,2004,"pass me that lovely little gun. my dear, my darling one. the cleaners are coming, one by one. you don't even want to let them start. they are knocking now upon your door. they measure the room, they know the score. they're mopping up the butcher's floor. of your broken little hearts. ooh-ooh-ooh, children. forgive us now for what we've done. it started out as a bit of fun. here, take these before we run away. the keys to the gulag. . o children. lift up your voice, lift up your voice. children. rejoice, rejoice. come on, come on, come on, come on. . here comes frank and poor old jim. they're gathering round with all my friends. we're older now, the light is dim. and you are only just beginning. ooh-ooh-ooh, children. we have the answer to all your fears. it's short, it's simple, it's crystal clear. it's round about and it's somewhere here. lost amongst our winnings. . o children. lift up your voice, lift up your voice. children. rejoice, rejoice. . the cleaners have done their job on you. they're hip to it, man, they're in the groove. they've hosed you down, you're good as new. and they're lining up to inspect you. ooh-ooh-ooh, children. poor old jim's white as a ghost. he's found the answer that we lost. we're all weeping now, weeping because. there ain't nothing we can do to protect you. . o children. lift up your voice, lift up your voice. children. rejoice, rejoice. . hey, little train, we are all jumping on. the train that goes to the kingdom. we're happy, ma, we're having fun. and the train ain't even left the station. hey, little train, wait for me!. i once was blind, but now i see. have you left a seat for me?. is that such a stretch of the imagination?. hey little train, wait for me!. i was held in chains, but now i'm free. i'm hanging in there, don't you see?. in this process of elimination. hey little train, we are all jumping on. the train that goes to the kingdom. we're happy, ma, we're having fun. it's beyond my wildest expectation. hey little train, we are all jumping on. the train that goes to the kingdom. we're happy, ma, we're having fun. and the train ain't even left the station",https://genius.com/Nick-cave-and-the-bad-seeds-o-children-lyrics,0.144,0.806,0.051,0.949,0.5465
Nick Cave and the Bad Seeds,"There She Goes, My Beautiful World",Abattoir Blues / The Lyre of Orpheus,2004,"the wintergreen, the juniper. the cornflower and the chicory. all the words you said to me. still vibrating in the air. the elm, the ash and the linden tree. the dark and deep, enchanted sea. the trembling moon and the stars unfurled. there she goes, my beautiful world. there she goes, my beautiful world. there she goes, my beautiful world. there she goes, my beautiful world. there she goes again. john wilmot penned his poetry. riddled with the pox. nabokov wrote on index cards. at a lectern, in his socks. st. john of the cross did his best stuff. imprisoned in a box. and johnny thunders was half alive. when he wrote chinese rocks. well, me, i'm lying here, with nothing in my ears. me, i'm lying here, with nothing in my ears. me, i'm lying here, for what seems years. i'm just lying on my bed with nothing in my head. send that stuff on down to me. send that stuff on down to me. send that stuff on down to me. send that stuff on down to me. there she goes, my beautiful world. there she goes, my beautiful world. there she goes, my beautiful world. there she goes again. karl marx squeezed his carbuncles. while writing das kapital. and gauguin, he buggered off, man. and went all tropical. while philip larkin stuck it out. in a library in hull. and dylan thomas died drunk in. st. vincent's hospital. i will kneel at your feet. i will lie at your door. i will rock you to sleep. i will roll on the floor. and i'll ask for nothing. nothing in this life. i'll ask for nothing. give me everlasting life. i just want to move the world. i just want to move the world. i just want to move the world. i just want to move. there she goes, my beautiful world. there she goes, my beautiful world. there she goes, my beautiful world. there she goes again. so if you got a trumpet, get on your feet. brother, and blow it. if you've got a field, that don't yield. well get up and hoe it. i look at you and you look at me and. deep in our hearts know it. that you weren't much of a muse. but then i weren't much of a poet. i will be your slave, i will peel you grapes. up on your pedestal with your ivory and apes. with your book of ideas with your alchemy. o come on send that stuff on down to me. send that stuff on down to me. send that stuff on down to me. send that stuff on down to me. send that stuff on down to me. send it all around the world. cause here she comes, my beautiful girl. there she goes, my beautiful world. there she goes, my beautiful world. there she goes, my beautiful world. there she goes again",https://genius.com/Nick-cave-and-the-bad-seeds-there-she-goes-my-beautiful-world-lyrics,0.116,0.849,0.035,0.965,0.5405
Nick Cave and the Bad Seeds,Breathless,Abattoir Blues / The Lyre of Orpheus,2004,"it's up in the morning and on the downs. little white clouds like gambolling lambs. and i am breathless over you. and the red-breasted robin beats his wings. his throat it trembles when he sings. for he is helpless before you. the happy hooded bluebells bow. and bend their heads all a-down. heavied by the early morning dew. at the whispering stream, at the bubbling brook. the fishes leap up to take a look. for they are breathless over you. . still your hands. and still your heart. for still your face comes shining through. and all the morning glows anew. still your mind. still your soul. for still, the fire of love is true. and i am breathless without you. . the wind circles among the trees. and it bangs about the new-made leaves. for it is breathless without you. the fox chases the rabbit round. the rabbit hides beneath the ground. for he is defenceless without you. the sky of daytime dies away. and all the earthly things they stop to play. for we are all breathless without you. i listen to my juddering bones. the blood in my veins and the wind in my lungs. and i am breathless without you. . still your hands. and still your heart. for still your face comes shining through. and all the morning glows anew. still your soul. still your mind. still, the fire of love is true. and i am breathless without you",https://genius.com/Nick-cave-and-the-bad-seeds-breathless-lyrics,0.087,0.863,0.05,0.95,0.5185
Nick Cave and the Bad Seeds,Abattoir Blues,Abattoir Blues / The Lyre of Orpheus,2004,"the sun is high up in the sky and i'm in my car. drifting down into the abattoir. do you see what i see, dear?. the air grows heavy. i listen to your breath. entwined together in this culture of death. do you see what i see, dear?. . slide on over here, let me give you a squeeze. to avert this unholy evolutionary trajectory. can you hear what i hear, babe?. does it make you feel afraid?. everything's dissolving, babe, according to plan. the sky is on fire, the dead are heaped across the land. i went to bed last night and my. moral code got jammed. i woke up this morning with a frappucino in my hand. . i kissed you once. i kissed you again. my heart it tumbled like the stock exchange. do you feel what i feel, dear?. mass extinction, darling, hypocrisy. these things are not good for me. do you see what i see, dear?. the line the god throws down to you and me. makes a pleasing geometry. shall we leave this place now, dear?. is there someway out of here?. . i wake with the sparrows and i hurry off to work. the need for validation, babe, gone completely. berserk. i wanted to be your superman but i turned out such a. jerk. i got the abattoir blues. i got the abattoir blues. i got the abattoir blues. right down to my shoes",https://genius.com/Nick-cave-and-the-bad-seeds-abattoir-blues-lyrics,0.058,0.877,0.065,0.935,0.4965
Nick Cave and the Bad Seeds,The Lyre of Orpheus,Abattoir Blues / The Lyre of Orpheus,2004,"orpheus sat gloomy in his garden shed. wondering what to do. with a lump of wood, a piece of wire. and a little pot of glue. o mama o mama. . he sawed at the wood with half a heart. and glued it top to bottom. he strung a wire in between. he was feeling something rotten. o mama o mama. . orpheus looked at his instrument. and he gave the wire a pluck. he heard a sound so beautiful. he gasped and said o my god. o mama o mama. . he rushed inside to tell his wife. he went racing down the halls. eurydice was still asleep in bed. like a sack of cannonballs. o mama o mama. . look what i've made, cried orpheus. and he plucked a gentle note. eurydice's eyes popped from their sockets. and her tongue burst through her throat. o mama o mama. . o god, what have i done, he said. as her blood pooled in the sheets. but in his heart he felt a bliss. with which nothing could compete. o mama o mama. . orpheus went leaping through the fields. strumming as hard as he did please. birdies detonated in the sky. bunnies dashed their brains out on the trees. o mama o mama. . orpheus strummed till his fingers bled. he hit a g minor 7. he woke up god from a deep, deep sleep. god was a major player in heaven. o mama o mama. . god picked up a giant hammer. and he threw it with an thunderous yell. it smashed down hard on orpheus' head. and knocked him down a well. o mama o mama. . the well went down very deep. very deep went down the well. the well went down so very deep. well, the well went down to hell. o mama o mama. . poor orpheus woke up with a start. all amongst the rotting dead. his lyre tacked safe under his arm. his brains all down his head. o mama o mama. . eurydice appeared brindled in blood. and she said to orpheus. if you play that fucking thing down here. i'll stick it up your orifice!. o mama o mama. . this lyre lark is for the birds, said orpheus. it's enough to send you bats. let's stay down here, eurydice, dear. and we'll have a bunch of screaming brats. o mama o mama. . orpheus picked up his lyre for the last time. he was on a real low down bummer. and stared deep into the abyss and said. this one is for mama. o mama o mama. o mama o mama. o mama o mama. o mama o mama. o mama o mama. o mama o mama",https://genius.com/Nick-cave-and-the-bad-seeds-the-lyre-of-orpheus-lyrics,0.133,0.79,0.077,0.923,0.528
Nick Cave and the Bad Seeds,"Babe, You Turn Me On",Abattoir Blues / The Lyre of Orpheus,2004,"stay by me, stay by me. you are the one, my only true love. the butcherbird makes its noise. and asks you to agree. with its brutal nesting habits. and its pointless savagery. now, the nightingale sings to you. and raises up the ante. i put one hand on your round ripe heart. and the other down your panties. . everything is falling, dear. everything is wrong. it's just history repeating itself. and babe, you turn me on. like a light bulb, babe. like a song. . you race naked through the wilderness. you torment the birds and the bees. you leapt into the abyss, but find. it only goes up to your knees. i move stealthily from tree to tree. i shadow you for hours. i make like i'm a little deer. grazing on the flowers. . everything is collapsing, dear. all moral sense has gone. it's just history repeating itself. and babe, you turn me on. like an idea, babe. like an atom bomb. . we stand awed inside a clearing. we do not make a sound. the crimson snow falls all about. carpeting the ground. . everything is falling, dear. all rhyme and reason gone. it's just history repeating itself. and, babe, you turn me on",https://genius.com/Nick-cave-and-the-bad-seeds-babe-you-turn-me-on-lyrics,0.134,0.789,0.077,0.923,0.5285
Nick Cave and the Bad Seeds,Nature Boy,Abattoir Blues / The Lyre of Orpheus,2004,"i was just a boy when i sat down. to watch the news on tv. i saw some ordinary slaughter. i saw some routine atrocity. my father said, don't look away. you got to be strong, you got to be bold, now. he said, that in the end it is beauty. that is going to save the world, now. . and she moves among the sparrows. and she floats upon the breeze. she moves among the flowers. she moves something deep inside of me. . i was walking around the flower show like a leper. coming down with some kind of nervous hysteria. when i saw you standing there, green eyes, black hair. up against the pink and purple wisteria. you said, hey, nature boy, are you looking at me. with some unrighteous intention?. my knees went weak. i couldn't speak, i was having thoughts. that were not in my best interests to mention. . and she moves among the flowers. and she floats upon the smoke. she moves among the shadows. she moves me with just one little look. . you took me back to your place. and dressed me up in a deep sea diver's suit. you played the patriot, you raised the flag. and i stood at full salute. later on we smoked a pipe that struck me dumb. and made it impossible to speak. as you closed in, in slow motion. quoting sappho, in the original greek. . she moves among the shadows. she floats upon the breeze. she moves among the candles. and we moved through the days. and through the years. . years passed by, we were walking by the sea. half delirious. you smiled at me and said, babe. i think this thing is getting kind of serious. you pointed at something and said. have you ever seen such a beautiful thing?. it was then that i broke down. it was then that you lifted me up again. . she moves among the sparrows. and she walks across the sea. she moves among the flowers. and she moves something deep inside of me. she moves among the sparrows. and she floats upon the breeze. she moves among the flowers. and she moves right up close to me",https://genius.com/Nick-cave-and-the-bad-seeds-nature-boy-lyrics,0.078,0.867,0.055,0.945,0.5115
Nick Cave and the Bad Seeds,Easy Money,Abattoir Blues / The Lyre of Orpheus,2004,"it's difficult. it's very tough. i said to the man who'd been sleeping rough. to sit within a fragrant breeze. all among the nodding trees. that hang heavy with the stuff. he threw his arms around my neck. he brushed the tear from my cheek. and held my soft white hand. he was an understanding man. he did not even barely hardly speak. . easy money. rain it down on the wife and the kids. rain it down on the house where we live. rain until you got nothing left to give. and rain that ever-loving stuff down on me. . all the things for which my heart yearns. gives joy in diminishing returns. he kissed me on the mouth. his hands they headed south. and my cheek it burned. money, man, it is a bitch. the poor, they spoil it for the rich. with my face pressed in the clover. i wondered when this would be over. and at home we are all so guilty-sad. . easy money. pour it down the open drain. pour it all through my veins. pour it down, yeah, let it rain. and pour that ever-loving stuff down on me. . now, i'm sitting pretty down on the bank. life shuffles past at a low interest rate. in the money-coloured meadows. and all the interesting shadows. they leap up, then dissipate. . easy money. easy money. easy money. rain it down on the wife and the kids. rain it down on the house where we live. rain it down until you got nothing left to give. and rain that ever-loving stuff down on me",https://genius.com/Nick-cave-and-the-bad-seeds-easy-money-lyrics,0.124,0.831,0.046,0.954,0.539
Nick Cave and the Bad Seeds,Hiding All Away,Abattoir Blues / The Lyre of Orpheus,2004,"you went looking for me dear?. down by the sea. you found some little silver fish. but you didn't find me. i was hiding, dear, hiding all way. i was hiding, dear, hiding all way. . you went to the museum. you climbed a spiral stair. you searched for me all among. the knowledgeable air. i was hidden, babe, hiding all away. i was hidden, dear, hiding all away. . you entered the cathedral. when you heard the solemn knell. i was not sitting with the gargoyles. i was not swinging from the bells. i was hiding, dear, i was hiding all away. i was hiding, dear, i was hiding all away. . you asked an electrician. if he'd seen me round his place. he touched you with his fingers. sent sparks zapping out your face. i was hidden, dear, hiding all away. i was not there, dear, hiding all away. . you went and asked your doctor. to get some advice. he shot you full of pethadine. and then he billed you twice. but i was hiding, dear, hiding all away. but i was hiding, dear, hiding all away. . you approached a high court judge. you thought he'd be on the level. he wrapped a rag around your face. and beat you with his gavel. i was hiding, babe, hiding all away. i was hidden, dear, hiding all away. . you asked at the local constabulary. they said, he's up to his same old tricks. they leered at you with their baby blues. and rubbed jelly on their sticks. i had to get out of there, babe, hiding all away. i had to get out of there, dear, hiding all away. . you searched through all my poets. from sappho through to auden. i saw the book fall from your hands. as you slowly died of boredom. i had been there, dear. but i was not there anymore. i had been there, now i'm hiding all way. . you walked into the ball of fame. and approached my imitators. some were stuffing their faces with caviar. some were eating cold potatoes. i was hiding, dear, hiding all away. i was hiding, dear, hiding all away. . you asked a famous cook if he'd seen me. he opened his oven wide. he basted you with butter, babe. and made you crawl inside. i was not in there, dear, hiding all away. i was not in there, dear, hiding all away. . you asked the butcher. who lifted up his cleaver. stuck his fist up your dress. said he must've been mad to leave you. but i had to get away, dear, hiding all away. i had to get away, dear, i was hidden all away. . some of us we hide away. some of us we don't. some will live to love another day. and some of us won't. but we all know there is a law. and that law, it is love. and we all know there's a war coming. coming from above. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming. there is a war coming",https://genius.com/Nick-cave-and-the-bad-seeds-hiding-all-away-lyrics,0.108,0.627,0.265,0.735,0.4215
Nick Cave and the Bad Seeds,Cannibal's Hymn,Abattoir Blues / The Lyre of Orpheus,2004,"you have a heart and i have a key. lie back and let me unlock you. those heathens you hang with down by the sea. all they want to do is defrock you. i know a river, where we can dream. it will swell up, burst it's banks. babe, and rock you. but if you're gonna dine with them cannibals. sooner or later, darling, you're gonna get eaten. but i'm glad you've come around. here with your animals. and your heart that is bruised but unbeaten. and beating like a drum. . i will sit like a bird on a fence. sing you songs with a happy ending. swoop down and tell you that it don't make much sense. to attack the very thing you're defending. didn't i just buy that dress for you?. that pink paper pinafore that you keep mending. well, if you're gonna dine with the cannibals. sooner or later, darling, you're gonna get eaten. but i'm glad you've come around. here with your animals. and your heart that is banging and beating. and banging like a gong. . i can see that they've hurt you, dear. here is some moonlight to cloak us. and i will never desert you here. unpetaled among the crocus. allow me, my love, to allay your fear. as i swim, in and out of focus. but if you're gonna dine with the cannibals. sooner or later, darling, you're gonna get eaten. but i'm glad you've come around. here with your animals. and your heart that is bruised but bleating. and bleeding like a lamb. banging like a gong. beating like a drum",https://genius.com/Nick-cave-and-the-bad-seeds-cannibals-hymn-lyrics,0.216,0.706,0.078,0.922,0.569
