Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
PJ Harvey,Hardly Wait,4-Track Demos,1993,"i can hardly wait. i can hardly wait. i can hardly wait. i can hardly wait. it's been so long. i've lost my taste. say angel come. say lick my face. let fall your dress. i'll play the part. i'll open this mouth wide. eat your heart. i can hardly wait. i can hardly wait. i can hardly wait. i can hardly wait. lips cracked dry. toungue blue burst. say angel come. say lick my thirst. it's been so long. i've lost my taste. here romeo. make my world as great. in my glass coffin, i'm waiting. in my glass coffin, i'm waiting. in my glass coffin, i'm waiting. in my glass coffin, i'm waiting. in my glass coffin, i'm waiting. in my glass coffin, i'm waiting. in my glass coffin",https://genius.com/Pj-harvey-hardly-wait-lyrics,0.05,0.911,0.039,0.961,0.5055
PJ Harvey,Goodnight,4-Track Demos,1993,"here i am. prairieland. got it all, got. gun in hand. here i sleep. dungarees. they're all my husband. put on me. we have the stars. we have the trees. we have everything. we need to feed. i'll make babes. you'll make chairs. we'll sell them at. the county fair. we'll walk on. we'll walk tall. we'll dance once a week. the union hall. we'll have the stars. we'll have the trees. we'll have everything. we need to feed. here i am. prairieland. i got it all, got. gun in hand. i'll sweep the porch. i dust his room. we'll sleep together. on our chair at noon. we have the stars. we have the trees. we have everything. we need to feed. we have the stars. we have the trees. we have everything. we need to feed",https://genius.com/Pj-harvey-goodnight-lyrics,0.062,0.903,0.034,0.966,0.514
PJ Harvey,M-Bike,4-Track Demos,1993,his m-bike's clean. you polish that thing. he looks her over more than me. but i won't let it get to me. yeah he can play with. his machine. night or day. wind or shine. looks at her shape. not at mine. but i'm not complaining. no i think it's neat. yeah he can play with. his machine. but all he's speaking. and all he sees. is just his motor-bike not me. i won't let it get to me. can't stop thinking his god damn machine. motor x4. take that lady. coast her west. ride his motor. over the edge. yeah i could break her. break her break me. but get rid of that. god damn machine. yeah i could break her {motor}. break her break me {motor}. but get rid of that {motor}. god damn machine {motor}. yes i'm gonna break her {motor}. think what you like {motor}. i fucking hate {motor}. his motorbike {motor),https://genius.com/Pj-harvey-m-bike-lyrics,0.234,0.682,0.085,0.915,0.5745
PJ Harvey,Easy,4-Track Demos,1993,"oyster pearl, you easy girls. you're flapping in, you're shouting. you're dead good. all the men say. legs wide hips swinging like a doorway. easy, easy, easy. i'm ranting. i'm raving. i'm taking in just everything. you're giving me no leeway. i open once and you call me devil's gateway. easy, easy, easy, easy. and i deserve it ; i asked for it. have to admit it ; we dress like targets. yeah i deserve it ; give me no leeway. i give you fine times. you can call me devil's gateway. oh!. easy, easy, easy, easy, easy, easy, easy, easy. easy {and i deserve it...and i deserve it} (x3 )",https://genius.com/Pj-harvey-easy-lyrics,0.449,0.492,0.059,0.941,0.695
PJ Harvey,Driving,4-Track Demos,1993,"tell him i'm driving, it's alright. turn on this wheel. turn on headlights. a hundred different bibles by my side. in my white gown. i go flying down. oh my eyes, it cannot be,; he said no, it cannot be. all that time, it cannot be,; easy said, it cannot be. the ghosts fly their asses off tonight. i'm just driving till it dies. tell him i'm driving, it's alright. you tell him that i had a skin full. you tell him that i couldn't sit still. imagine your whole self is filled with light. your voice ringing out. through the whole fucking town. oh my eyes, it cannot be ; he said no, it cannot be. all that time, it cannot be ; oh my eyes, it cannot be. you tell him i'm driving ( x4 )",https://genius.com/Pj-harvey-driving-lyrics,0.03,0.92,0.05,0.95,0.49
PJ Harvey,I'll Be Waiting,Others,2017,"they swept across the land. they did not leave a thing. they did not leave a person. a stone or a tree. they did not leave anything. they did not leave anything. all it's left is sand. all it's left is sand. i remember, father. i remember him. every minute i remember. every moment. now i hate everyone. now i hate everyone. before, i used to love. before, i used to love. . one day, thorns shall grow. one day, thorns shall grow. from their graves. when they return. throns will grow. over their graves. i will be waiting. . and when they return. i will be waiting. i will not leave a person. standing. i will not leave anything. i will not leave anything. all i'll leave is sand. all i'll leave is sand. . and then thorns shall grow. and then thorns shall grow. from their graves. when they return. throns shall grow. over their graves. i will be waiting. when they return. throns shall grow. over their graves. i will be waiting",https://genius.com/Pj-harvey-ill-be-waiting-lyrics,0.109,0.784,0.107,0.893,0.501
PJ Harvey,A Dog Called Money,Others,2017,"the kids, they're rolling dice for change. sitting on the backyard steps. calling money's name. old guy walking to the store. chewing on a cocktail stick. starts to tell us what is what. . he says. “everything is staged. that's how it is. people are just paid to work. and i'm tired of it. what you gonna do to change it?. everything is staged. that's what's going on”. . the kids rolling dice again. the sun is beating down. i asked the old guy's name. he smiles. the pitbull runs our way. the kids call out for him. “money, money”. . he says. “everything is staged. that's how it is. people are just paid to work. and i'm tired of it. what you gonna do to change it?. it's all about money. that's what's going on”",https://genius.com/Pj-harvey-a-dog-called-money-lyrics,0.022,0.912,0.066,0.934,0.478
PJ Harvey,Black Hearted Love,A Woman a Man Walked By,2009,"i think i saw you in the shadows. i move in closer beneath your windows. who would suspect me of this rapture?. . and who but my black hearted love . in the rain, in the evening i will come again. . when you call out my name in rapture. i volunteer my soul for murder. i wish this moment here forever. . . i'd like to take you. i'd like to take you to a place i know. my black hearted. i'd like to take you. i'd like to take you to a place i know. my black hearted. i'd like to take you. i'd like to take you to a place i know. my black hearted. i'd like to take you. i'd like to take you to a place i know. my black hearted",https://genius.com/Pj-harvey-black-hearted-love-lyrics,0.249,0.696,0.055,0.945,0.597
PJ Harvey,A Woman A Man Walked By / The Crow Knows Where All The Little Children Go,A Woman a Man Walked By,2009,"i went to you, a woman-man. a courageous friend, i thought. but turned out so wrong was i. when we were up against the wall. . he had chicken-liver balls. he had chicken-liver spleen. he had chicken-liver heart. made of chicken-liver parts. lily-livered little parts. lily-livered little parts. prematurely going bald. any passion long gone cold. but i wanted to explore the. damp alley ways of his soul. all the times he tried to help. he spit in my face and laughed. that woman-man, i want his fucking ass. i want his fucking ass. i want your fucking ass. my friend-itey, he's looking likey. crammed in a taxi, i see you too clearly. sucking on a little pea, sucking on a little pea. my my, a little toy. he's just a mommy's boy. where's your liver, where's your heart?. where's all your woman parts?. now it's my turn to laugh. . you stick it up your fucking ass ",https://genius.com/Pj-harvey-a-woman-a-man-walked-by-the-crow-knows-where-all-the-little-children-go-lyrics,0.159,0.697,0.144,0.856,0.5075
PJ Harvey,April,A Woman a Man Walked By,2009,"april, how could. i not have seen. april, you coming. april how could i've. worn inappropriate clothing?. april, all that careful stepping. rounding of my soul. and now your rain. . april, i feel you leaving. i don't know what silence means. it could mean anything. . april, won't you answer me?. these days just seem to crush me. hatching, collapsing, tumbling down. april, what if i drown?. i drown?. . . i dream . april, april. did i want you?. did i want change?. april, your rain overcomes me",https://genius.com/Pj-harvey-april-lyrics,0.086,0.842,0.072,0.928,0.507
