Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Pavement,Shady Lane/J vs. S,Brighten the Corners ,1997,"blind date with the chancer. we had oysters and dry lancers. and the check when it arrived we went dutch, dutch, dutch, dutch. a redder shade of neck on a whiter shade of trash. and this emory board is giving me a rash. i'm flat out. you're so beautiful to look at when you cry. freeze, don't move. you've been chosen as an extra in the movie adaptation of the sequel to your life. . a shady lane, everybody wants one. a shady lane, everybody needs one. oh my god, oh my god, oh my god, oh my god. oh my god, oh your god, oh his god, oh her god. it's everybody's god, it's everybody's god, it's everybody's god, it's everybody's god. the worlds collide, but all that we want is a shady lane. . glance, don't stare. soon you're being told to recognize your heirs. no, not me. i'm an island of such great complexity. stress surrounds in the muddy peaceful center of this town. tell me off in the hotel lobby right in front of all the bellboys and the over-friendly concierge. . a shady lane, everybody wants one. a shady lane, everybody needs one. oh my god, oh my god, oh my god, oh my god. oh my god, oh your god, oh his god, oh her god. it's everybody's god, it's everybody's god, it's everybody's god, it's everybody's god. the worlds collide, but all that i want is a shady lane",https://genius.com/Pavement-shady-lane-j-vs-s-lyrics,0.251,0.695,0.053,0.947,0.599
Pavement,Stereo,Brighten the Corners ,1997,"pigs, they tend to wiggle when they walk. the infrastructure rots. and the owners hate the jocks. with their agents and their dates. if the signatures are checked. (you'll just have to wait). and we're counting up the instants that we save. tired nation so depraved. from the cheap seats see us. wave to the camera. it took a giant ramrod. to raze the demon settlement. but high-ho silver, ride. high-ho silver, ride. take another ride to see me home. listen to me!. i'm on the stereo stereo. oh my baby baby baby baby babe. gave me malaria hysteria. what about the voice of geddy lee. how did it get so high?. i wonder if he speaks like an ordinary guy?. (i know him and he does!). and you're my fact-checkin' cuz. (aww...). well focus on the quasar in the mist. the kaiser has a cyst. and i'm a blank want list. the qualms you have and if they stick. they will drown you in a crick. in the neck of a woods. that was populated by. tired nation on the fly. everybody knows advice. that was given out for free. lots of details to discern. lots of details. but high-ho silver ride. high-ho silver ride. takes another ride to make me. oh, get off the air. i'm on the stereo stereo. oh my baby baby baby baby baby babe. gave me malaria hysteria",https://genius.com/Pavement-stereo-lyrics,0.051,0.862,0.087,0.913,0.482
Pavement,Embassy Row,Brighten the Corners ,1997,"old intuition on your dock we're fishin'. come on now, give us a grade. a for effort and a b for delivery. c for devotion when the world starts encroaching on your plans. where is the savoir? where is the savoir?. he's not here right now. where is the savoir? where is the savoir-faire?. . embassy row, the fumes they lay low. on lanes that are wide where the limousines glide. on the wrought-iron gates and the bone china plates. and don't forget your manners where the anthems play. . in a netherworld of foreign feeds. in a netherworld of foreign feeds. in a netherworld of foreign feeds. i'm gonna take the crown, i'm gonna take the crown. i'm gonna take the crown, i'm gonna take a crown. . maids, they are frisked and asses are kissed. i needed a visa, i bought off a geezer. political favors could make you a savior. in an open corner where the news is late. . . i need to get born, i need to get dead. i'm sick of the forms, i'm sick of being misread. by men in dashikis and their leftist weeklies. colonized wrath, their shining new path. the converted castle of moorish design. if you want to stay the weekend, well, we wouldn't mind. the plots they are hatching, the surface is scratching. in the open corner where the news is late. . in a netherland of foreign beads. in a netherland of foreign beads. in a netherland of foreign beads. i'm gonna take you down, i'm gonna take the crown. i'm gonna take the crown, i'm gonna take a crown. i'm gonna take the crown, i'm gonna take the crown. i'm gonna take the crown, i'm gonna take a crown",https://genius.com/Pavement-embassy-row-lyrics,0.053,0.887,0.06,0.94,0.4965
Pavement,Starlings of the Slipstream,Brighten the Corners ,1997,"i heard what you said, the leaders are dead. they're robbing the skies, i can hear their followers cry. starlings in the slipstream. starlings in the slipstream. starlings in the slipstream. starlings in the slipstream. the language of influence is cluttered with hard, hard cs. and i put a spy cam in a sorority. darlings on the split-screen. darlings on the split-screen. darlings on the split-screen. darlings on the split-screen. there's no women in alaska. there's no creoles in vermont. there's no coast of nebraska. my mother, i forgot. slavic princess with a rose in her teeth. do you suppose she would bite you if she could?. insane cobra split the wood. trader of the lowland breed. call a jittney, drive away. in the slipstream we will stay. stay away, away, away, away, away, away, away, away, away",https://genius.com/Pavement-starlings-of-the-slipstream-lyrics,0.085,0.778,0.137,0.863,0.474
Pavement,Transport Is Arranged,Brighten the Corners ,1997,"you better find your way out. you better learn how to run. you better walk away and leave the angles for the shills. well, i've been thinking for days about the means and the ways. that i could hate all i touch. i know you're my lady. but i could trickle, i could flood. a voice coach taught me to sing. he couldn't teach me to love. all the above. . easy-talking border-blocking. transport is arranged. . praise the grammar police. set me up with your niece. walk to baltimore. and keep the language off the street. well, i'm of several minds. i am the worst of my kind. i wanna cremate the crutch. i know you're my lady. but phone calls could corrupt the morning. i heed the surgeon's warning, pillars of eights. . . i swung my fiery sword. i vent my spleen at the lord. he is abstract and bored. too much milk and honey. well, i'll waltz through the wilderness. with nothing but a compass and a canteen. setting the scenes. . easy-walking border-blocking. transport is arranged",https://genius.com/Pavement-transport-is-arranged-lyrics,0.145,0.762,0.093,0.907,0.526
Pavement,Date With IKEA,Brighten the Corners ,1997,the actress is always breaking things. the things you made and she took you for. and i'm so tired i'd be lying. i hope the prairie buys you more. . the fitness coast is growing near. the shores they don't stay blond this year. that's why the marble lawns stay clear. and warm in time. . i want to stay but my time is wasting. the magic lands call my name. they want to fire a missile launcher. but i know i need to stay. . we all know that by staying here. it'll be a good high this year. so what's the use to staying there. if you've got no use for time. . the fitness coast is growing near. the shores they don't stay blond all year. the continent moves with growing fears. it's all for expensive lawn. . . i know i need to stay and fight the day ,https://genius.com/Pavement-date-with-ikea-lyrics,0.135,0.742,0.123,0.877,0.506
Pavement,Type Slowly,Brighten the Corners ,1997,"sherri, you smell different. get up early in the bed, for you morning comes so easy. spells have been cast and the urge has been lost. snipers posted bills, as they should, of our midnight vacation. . back on the planet now. i'm beginning to see just how. echelon your dreams and they'll come true. type slowly. . one of us is a cigar stand. and one of us is a lovely blue incandescent guillotine. the edge of creation is blurred and blushed. not a lot of room to grow inside this leather terrarium. . people of the bay. it is excruciatingly gray. face the front when he comes for you. type slowly. . . cherish your memorized weakness. fashioned from a manifesto. lady, i am no futurist, i'm my only critic, i. trolls in the glen are consorting again. the liberals say they don't exist but i know that they do. . reinforce your literal ass. hit it on the first or second pass. frozen images, respected few. type slowly",https://genius.com/Pavement-type-slowly-lyrics,0.091,0.83,0.079,0.921,0.506
Pavement,Old to Begin,Brighten the Corners ,1997,"embrace the senile genius. watch him reinvent the wheel. i don't need your summary acts. summary acts to give into the narrative age. . old to begin. i will set you back, set you back, set you. old to begin. i will set you back, set you back, set you. . you get to feeling like a fixture. set in 1966. time came that we drifted apart. drifted apart; find an unidentical twin. . old to begin. i will set you back, set you back, set you. old to begin. i will set you back, set you back, fella. . searching for latent cause. blame it on menopause. or perhaps stress and strain. credit cards, lumbar pain. but i've seen your double dares. everything extraordinaire. i know the things you do are gonna come back",https://genius.com/Pavement-old-to-begin-lyrics,0.05,0.897,0.053,0.947,0.4985
Pavement,Blue Hawaiian,Brighten the Corners ,1997,"a welcome to my friends. this house is a home and a home's where i belong. where the feelings are warm and the foundations are strong. if my soul has a shape, well, then it is an ellipse. and this slap is a gift. . cause your cheeks have lost their lustre. you know, your cheeks have lost their lustre. you know, your cheeks have lost their lustre. you know, your cheeks have lost their lustre, lustre, lustre, lustre. take it back. . send return out of time. tape machine needs to be aligned. . aloha means goodbye, and also hello; it's in how you inflect. put the bark in the dog, and you've got a guardian. when the capital's s, it is followed by a t; and it's probably me. . and the tones are grouped in clusters. you know, the tones are grouped in clusters. well, the tones are grouped in clusters. you know the tones are grouped in clusters, clusters, clusters, clusters. take it back. . kiss me into the past. lately never gonna last",https://genius.com/Pavement-blue-hawaiian-lyrics,0.125,0.825,0.05,0.95,0.5375
Pavement,Fin,Brighten the Corners ,1997,"open call for prison architects. send me your blueprints a.s.a.p. stack the walls such that i cannot breathe. man is breedin' forever, because of the weather. i hope soon to leave from the east. no more absolutes, no more absolutes. stick your penitentiary clothes inside the vent and run along, leigh. amateur sea salt gatherers colonized. they're good enough for conrad hilton, not good enough for my eyes. i trust you will tell me if i am making a fool of myself. man is breedin' forever, breedin' forever, they come out and blister the. sea, oh yeah",https://genius.com/Pavement-fin-lyrics,0.131,0.759,0.109,0.891,0.511
