Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Prince,1999,1999,1982,"don't worry, i won't hurt you.... i only want you to have some fun. . (i was dreamin' when i wrote this. forgive me if it goes astray). but when i woke up this morning. i could have sworn it was judgment day. the sky was all purple. there were people runnin' everywhere. (tryin' to run from the destruction. and you know i didn't even care). . 'cuz they say.... (2000 zero zero party over oops out of time. so tonight i'm gonna party like it's 1999). . (i was dreamin' when i wrote this. so sue me if i go too fast). but life is just a party. and parties weren't meant to last. war is all around us. my mind says prepare to fight. (so if i gotta die. i'm gonna listen to my body tonight). yeah. . 'cuz they say.... (2000 zero zero party over oops out of time. so tonight i'm gonna party like it's 1999). . lemme tell ya somethin'.... (if you didn't come to party. don't bother knockin' on my door). (i got a lion in my pocket. and baby he's ready to roar). everybody's got a bomb. we could all die any day, oh. (but before i'll let that happen. i'll dance my life away). . 'cuz they say.... (2000 zero zero party over oops out of time). we're runnin' outta time. (so tonight i'm gonna party like it's 1999). so tonight we gonna, we gonna...ow!. say it one more time. (2000 zero zero party over oops out of time). no, no.... (tonight i'm gonna party like it's 1999). so tonight we gonna, we gonna...woo!. . alright, it's 1999. you say it, 1999. 1999 ,1999. don't stop, don't stop, say it one more time!. (2000 zero zero party over oops out of time). yeah, yeah. (so tonight i'm gonna party like it's 1999). so tonight we gonna, we gonna, woo!. . yeah, 1999 1999. don'tcha wanna go? 1999. don'tcha wanna go? 1999. we could all die any day 1999. i don't wanna die. i'd rather dance my life away 1999. listen to what i'm tryin' to say.... everybody, everybody say party. c'mon now, you say party. that's right, everybody say (party). can't run from the revelation, no (party). sing it for your nation y'all (party). tell me what you're singin', baby say (party). telephone's a-ringin', mama (party). c'mon, c'mon, you say (party). everybody, two times (party). work it down to the ground, say (party). ooh, ooh, ooh, ooh (party). come on, (oh, take my body, baby) (party). that's right, c'mon, sing the song (party). (ohhh) (party). that's right (party). got a lion in my pocket mama, say (party). oh, and he's ready to roar (party). ahhhh.... . mommy, why does everybody have a bomb?. mommy, why does everybody have a bomb?",https://genius.com/Prince-1999-lyrics,0.191,0.717,0.092,0.908,0.5495
Prince,Little Red Corvette,1999,1983,"i guess i should've known by the way you parked your car sideways. that it wouldn't last. see, you're the kinda person that believes in makin' out once. love 'em and leave 'em fast. i guess i must be dumb 'cuz you had a pocket full of horses. trojan and some of them used. . but it was saturday night, i guess that makes it all right. and you say - ""what have i got to lose?"". . and honey, i say little red corvette. baby, you're much too fast (oh). little red corvette. you need a love that's gonna last. . i guess i should've closed my eyes when you drove me to the place. where your horses run free. 'cause i felt a little ill when i saw all the pictures. of the jockeys that were there before me. believe it or not, i started to worry. i wondered if i had enough class. . but it was saturday night, i guess that makes it all right. and you say - ""baby, have you got enough gas?"". oh yeah!. . little red corvette. baby, you're much too fast (yes you are). little red corvette. you need to find a love that's gonna last (oh, oh). . a body like yours oughta be in jail. 'cause it's on the verge of bein' obscene. move over, baby, gimme the keys. i'm gonna try to tame your little red love machine. . little red corvette. baby, you're much too fast. little red corvette. need to find a love that's gonna last, hey hey. . little red corvette. honey, you got to slow down (got to slow down). little red corvette. 'cause if you don't, you're gonna run your little red corvette right in the ground. (little red corvette). right down to the ground (honey, you got to slow down). you, you, you got to slow down. (little red corvette). you're movin' much too fast, too fast. need to find a love that's gonna last. . girl, you got an ass like i never seen, ow!. and the ride. i say the ride is so smooth, you must be a limousine. ow!. . baby, you're much too fast. little red corvette. you need a love, you need a love that's, uh, that's gonna last. (little red corvette). . babe, you got too slow down (you got too slow down). little red corvette. 'cause if you don't, 'cause if you don't. you're gonna run your body right into the ground (right into the ground). right into the ground (right into the ground). right into the ground (right into the ground). little red corvette!",https://genius.com/Prince-little-red-corvette-lyrics,0.128,0.836,0.036,0.964,0.546
Prince,International Lover,1999,1982,"may i have this dance?. . darling, it appears to me. that you could use a date tonight. a body that'll do you right. tell me - am i qualified?. (i say?) baby, i know it's hard to believe. but this body here is free tonight. your very own first class flight. my plane's parked right outside, baby. don't you want to go for a ride? (yeah). . i'm an international lover, yeah that's right. let me take you around the world. i'll buy you diamonds and pearls. only if you're good girl. . darling, i know it's been a long time. since you've been satisfied. i can tell by the look in your eyes. you need it real bad (real bad), you need. it so bad, so bad (real bad). baby, maybe if you're good girl. i'll introduce you to my ride. don't you want to come inside?. come on baby, i won't fly too fast, i've got so. (come on baby, i won't fly too fast, i've got so much class). . (international lover). that's right baby. let me take you around the world, yeah yeah. (i'll buy you diamonds and pearls). i will buy you diamonds and pearls, baby. (only if you're good girl). got to be good, you got to be good, yeah, yeah, please. . good evening. this is your pilot prince speaking. you are flying aboard the seduction 747. and this plane is fully equipped with anything. your body desires. if for any reason there is a loss in cabin pressure. i will automatically drop down to apply more. to activate the flow of excitement. extinguish all clothing materials and pull my body close to yours. place my lips over your mouth, and kiss, kiss, normally. in the event there is overexcitement. your seat cushion may be used as a flotation device. we ask that you please observe the ""no letting go"" sign. i anticipate a few turbulence along the way. we are now making our final approach to satisfaction. please bring your lips, your arms, your hips. into the upped and locked position. for landing - can you feel it? can you feel it?. yeah. . (let me take it around). (let it all hang out). yeah, yeah, yeah, yeah, yeah, yeah. welcome to satisfaction. please remain awake until the aircraft. has come to a complete stop. thank you for flying prince international. remember, next time you fly, fly the international lover",https://genius.com/Prince-international-lover-lyrics,0.251,0.684,0.065,0.935,0.593
Prince,Let's Pretend We're Married,1999,1983,"excuse me but i need a mouth like yours. to help me forget the girl that just walked out my door. funny but it seems that you're alone like me. if you are, go let's come see what we can see. . ooh, little darlin' if you're. free for a couple of hours (free for a couple of hours). if you ain't busy for the next seven years (next seven years). say, let's pretend we're married and go all night. there ain't nothin' wrong if it feels all right. i won't stop until the morning light. let's pretend we're married and go all night, tonight. . ooh-we-sha-sha-coo-coo-yeah. all the hippies sing together. excuse me but i need your chemistry. don't you wanna be my fantasy. my girl's gone and she don't care at all. and if she did -- so what. c'mon, baby, let's b-b-ball. . ooh, little darlin' if you're. free for a couple of hours (free for a couple of hours). if you ain't busy for the next seven years (next seven years). say, let's pretend we're married and go all night. there ain't nothin' wrong if it feels all right. i won't stop until the morning light. let's pretend we're married and go all night, tonight. . ooh-we-sha-sha-coo-coo-yeah. all the hippies sing together. let's just pretend we're married, tonight. excuse me but i need a mouth like yours. to help me forget the girl that just walked out my door. let's pretend we're married and do it all night. i won't stop until the morning light. . ooh, little darlin' if you're. free for a couple of hours (free for a couple of hours). if you ain't busy for the next seven years (next seven years). say, let's pretend we're married and go all night. there ain't nothin' wrong if it feels all right. i won't stop until the morning light. let's pretend we're married and go all night, tonight. (ooh-we-sha-sha-coo-coo-yeah). pretend we're married. let's pretend we're married. . ooh-we-sha-sha-coo-coo-yeah. all the hippies sing together. ooh-we-sha-sha-coo-coo-yeah. oh everybody yeah. ooh-we-sha-sha-coo-coo-yeah. all the hippies sing together. ooh-we-sha-sha-coo-coo-yeah. yeah, yeah. my girl's gone and she don't care at all. and if she did -- so what. c'mon, baby, let's ball. i wanna fuck you so bad it hurts, it hurts, it hurts. i wanna, i wanna, i wanna, i wanna, i wanna, i wanna, i wanna fuck you. yeah, i wanna, i wanna, i wanna wanna, i wanna fuck you. look here marsha, i'm not sayin' this just to be nasty. i sincerely wanna fuck the taste out of your mouth. can you relate?. my girl's gone and she don't care at all. and if she did -- i wouldn't care. let's ball. whatever you heard about me is true. i change the rules and do what i wanna do. i'm in love with god, he's the only way. 'cuz you and i know we gotta die some day. if you think i'm crazy, you're probably right. but i'm gonna have fun every motherfuckin' night. if you like to fight, you're a double-drag fool. i'm goin' to another life, how 'bout you",https://genius.com/Prince-lets-pretend-were-married-lyrics,0.151,0.693,0.156,0.844,0.4975
Prince,Free,1999,1982,"don't sleep until the sunrise, listen to the falling rain. don't worry about tomorrow, don't worry about your pain. don't cry unless you're happy, don't smile unless you're blue. never let that lonely monster take control of you. . be glad that you are free. free to change your mind. free to go most anywhere, anytime. be glad that you are free. there's many a man who's not. be glad for what you had, baby, what you've got. be glad for what you've got. . i know your heart is beating, my drummer tells me so. if you take your life for granted, your beating heart will go. so don't sleep until you're guilty, because sinners all are we. there's others doing far worse than us, so be glad that you are free. . be glad that you are free. free to change your mind. free to go most anywhere, anytime. be glad that you are free. there's many a man who's not. be glad for what you had, baby, what you've got. be glad for what you've got. . soldiers are a-marching, they're writing brand new laws. will we all fight together for the most important cause?. will we all fight for the right to be free?. . free. (be glad that you are free). free to change my mind. (free to change your mind). free to go most anywhere, anytime. (free to go most anywhere,anytime). i'm just glad, i'm just glad i'm free, yeah. (be glad that you are free). there's many a man who's not. (there's many a man who's not). glad for what i had, baby. (be glad for what you had and). glad for what i got, oh yeah. (for what you've got). oh i'm just glad, i'm just glad i'm free, yeah. (be glad that you are free). free to change my mind. (free to change your mind). free to go most anywhere, anytime. (free to go most anywhere, anytime). (be glad that you are free). (there's many a man who's not). i'm so.... (be glad for what you had and for). (what you've got)",https://genius.com/Prince-free-lyrics,0.314,0.632,0.054,0.946,0.63
Prince,D.M.S.R,1999,1983,"everybody. get on the floor. what the hell'd you come here for?. girl it ain't no use. you might as well get loose. work your body like a whore. say everybody -. get on the beat. we're gonna show you mothers how to scream. people everywhere, loosen up your hair. take a deeper breath and sing along with me, yes. are you ready?. . everybody everybody ooh (ooh). alright (alright). dance music sex romance. everybody everybody ooh (ooh). alright (alright). dance music sex romance. . everybody (everybody) - loosen up. shake it like you just don't care (shake it like you just don't care). never mind your friends. girl it ain't no sin. to strip right down to your underwear. i say everybody (everybody). screw the masses. we only want to have some fun (have some fun). i say do whatever we want. wear lingerie to a restaurant. police ain't got no gun. you don't have to run. . everybody everybody ooh (ooh). alright (alright). dance music sex romance. everybody everybody ooh (ooh). alright (alright). dance music sex romance. . everybody clap your hands now. all the white people clap your hands on the four now. one two three. one two three. one two three. one two three. listen to me. . i don't wanna be a poet. 'cuz i don't wanna blow it. i don't care to win awards. all i wanna do is dance. play music sex romance. and try my best to never get bored. if you feel all right lemme hear you scream. . somebody say. dance (dance). music (music). sex (sex). romance (romance). somebody say. dance (dance). music (music). sex (sex). romance (romance). somebody say. dance (dance). music (music). sex (sex). romance (romance). everybody say. dance (dance). music (music). oh say sex (sex). romance (romance). everybody dance (dance). music (music). everybody say sex (sex). romance (romance) ((d.m.s.r.)). everybody dance (dance). music (music). everybody say sex (sex). romance (romance) ((d.m.s.r.)). . alright. jamie starr's a thief. it's time to fix your clock. vanity 6 is so sweet. now you can all take a bite of my purple rock, can we stop?. . are you ready? (hey!). everybody sing this song now. ooh (ooh). alright (alright). dance music sex romance. everybody sing it. ooh (ooh). alright (alright). dance music sex romance. negroes say. ooh (ooh). alright (alright). dance music sex romance. puerto ricans say. ooh (ooh). alright (alright). dance music sex romance. everybody sing this song. ooh (ooh). alright (alright). dance music sex romance. all the white people in the house say ooh (ooh). alright (alright). dance music sex romance. japanese say one time. ooh (ooh). alright (alright). dance music sex romance. everybody sing together. ooh (ooh). alright (alright). dance music sex romance. somebody call the police (somebody call the police!). say ooh, ooh, yeah (help me! someone please help me! somebody help me)",https://genius.com/Prince-dmsr-lyrics,0.267,0.679,0.055,0.945,0.606
Prince,Lady Cab Driver,1999,1982,"taxi! taxi!. . lady cab driver, can you take me for a ride?. don't know where i'm going because i don't know where i've been. so just put your foot on the gas, let's drive. lady, don't ask questions. promise i'll tell you no lies. trouble winds are blowing, i'm growing cold. get me out of here, i feel i'm going to die. . lady cab driver, roll up your window fast. lately trouble winds are blowing hard, and i don't know if i can last. . lady, i'm so lonely. i know that's not the way to be. don't want isolation, but the air it makes me cold. drive it, baby, drive it, drive this demon out of me. take me to your mansion. honey, let's go everywhere. help me, girl, i'm drowning, mass confusion in my head. will you accept my tears to pay the fare?. . lady cab driver, roll up your window fast. lately trouble winds are blowing hard, and i don't know if i can last. . lady cab driver, can you take me for a ride?. . lady cab driver, roll up your window fast. lately trouble winds are blowing hard, and i don't know if i can last. . this is for the cab you have to drive for no money at all. this is for why i wasn't born like my brother, handsome and tall. this is for politicians who are bored and believe in war. this - yeah, that's for me, that's who that one's for. this is for discrimination and egotists who think supreme. and this is for whoever taught you how to kiss in designer jeans. that one's for- that one's for- for you have to live. this one's for the rich, not all of 'em, just the greedy -. the ones that don't know how to give. this one's for yosemite sam and the tourists at disneyland. and this one- ooh! yeah - that's the one. that's for- that's for the- the creator of man. this is for the sun, the moon, the stars, the tourists at disneyland. this is for the ocean, the sea, the shore. this is for- and that's for you, and that's who that one's for. this is for the women, so beautifully complex. this one's for love without sex. this is for the wind that blows no matter how fast or slow. not knowing where i'm going. this galaxy's better than not having a place to go. and now i know (i know). . . lady cab driver. lady cab driver. lady cab driver. lady cab driver. lady cab driver. lady cab driver. lady cab driver",https://genius.com/Prince-lady-cab-driver-lyrics,0.106,0.78,0.114,0.886,0.496
Prince,Delirious,1999,1983,"i get delirious whenever you're near. lose all self-control, baby just can't steer. wheels get locked in place. stupid look on my face. it comes to making a pass, pretty mama. i just can't win a race. . because i get delirious (delirious). delirious (delirious). delirious (delirious). . i get delirious when you hold my hand (delirious). body gets so weak i can hardly stand. my temperature's running hot. baby you got to stop. because if you don't i'm going to explode. and girl i got a lot. . . i get delirious whenever you're near (delirious). girl you gotta take control because i just can't steer. you're just too much to take. i can't stop i ain't got no brakes. girl you got to take me for a little ride up and down. in and out and around your lake. i'm delirious (delirious). you, you, you get me delirious (delirious). baby, lay me down. delirious (delirious). the room, the room, the room is spinning around (delirious). yeah, i'm delirious, yeah, oh i'm, oh i'm (delirious). yeah, delirious, yeah (delirious). it's got me in repair, everybody you got to (delirious). everybody, oh lord, oh yeah, i'm delirious (delirious). . yeah-yeah-yeah-yeah-yeah-yeah (delirious). (delirious). (delirious). (delirious). (delirious). (delirious). (delirious)",https://genius.com/Prince-delirious-lyrics,0.092,0.826,0.082,0.918,0.505
Prince,Something in the Water (Does Not Compute),1999,1982,"some people tell me i got great legs. can't figure out why you make me beg. does not compute (does not compute). don't not compute (don't not compute). you think you're special, well so do i. why do special women make me cry?. does not compute (does not compute). it don't not compute (don't not compute). . must be something in the water they drink. it's been the same with every girl i've had. must be something in the water they drink. because why else would a woman want to treat a man so bad?. . some people think i'm kind of cute. but that don't compute when it comes to y-o-u. it don't compute (don't not compute). something mama don't compute (don't not compute). what's the hangup? what's the scam?. guess you think i'm just another one, one of your fans. it don't compute (don't not compute). something honey don't compute (don't not compute). . must be something in the water they drink. it's been the same with every girl i've had. must be something in the water they drink. because why else would a woman want to treat a man so bad?. . i've got to get to you, baby. some people think i'm kind of smart. why must a fellow stop with you before he starts?. it don't compute, mama (does not compute). something don't compute (don't not compute). i'd buy you clothing, buy you fancy cars. but you got to talk to me, baby, tell me who you really are. . must be something in the water they drink. it's been the same with every girl i've had. must be something in the water they drink. because why else would a woman want to treat a man so bad?. . (must be something in the water you drink). (does not compute). (don't not compute). (don't not compute). (must be something in the water you drink). bitch, you think you're special? (must be something in the water you drink). so do i. (second coming) (must be something in the water you drink). why in god's name. do you want to make me cry?. why? why? (must be something in the water you drink). i'd do anything for you, anything (must be something in the water you drink). why don't you talk to me? (must be something in the water you drink). tell me who you are (must be something in the water you drink). don't do this to me (must be something in the water you drink). please don't do this (must be something in the water you drink). why? why?. i do love you. i do. or else i wouldn't go through all the things i do",https://genius.com/Prince-something-in-the-water-does-not-compute-lyrics,0.087,0.895,0.017,0.983,0.535
Prince,Automatic,1999,1982,"you ask me if i love you, it's automatic. because every time you leave me, i die, that's automatic too. you ask me to forgive you, when you know, i'm just an addict. so stop the music baby, you know, you're all i want to do. hey. . a-u-t-o-matic, just tell me what to do. a-u-t-o-matic, i'm so in love with you. . you ask me if i'll kiss you, it's automatic. and if you cry, me cry, boo-hoo, that's automatic too. i would never leave you, no matter what you do. stop the music baby, you know, i'm an automatic fool. hey. . a-u-t-o-matic, just tell me what to do. a-u-t-o-matic, i'm so in love with you. . i'll rub your back forever, it's automatic (a-u-t-o-matic). i'll look for a needle in a haystack, that's automatic too (a-u-t-o-matic). i'll go down on you all night long, it's automatic. (you will?, yes i will babe). and even when i'm right, i'll be wrong. that's automatic too (a-u-t-o-matic). hey. . a-u-t-o-matic, just tell me what to do. a-u-t-o-matic, i'm so in love with you. . hey. so in love with you, yeah (a-u-t-o-matic, just tell me what to do). tell me what to do babe (a-u-t-o-matic, so in love with you). hey. so in love with you, baby, yeah (a-u-t-o-matic, just tell me what to do). alright, alright. tell me what to do baby (a-u-t-o-matic, so in love with you). yeah yeah yeah. hey. . a-u-t-o-matic. a-u-t-o-matic. camon baby. a-u-t-o-matic, tell me what to do. a-u-t-o-matic, so in love with you. . don't say no man has ever tasted your ice cream. baby you're the purple star in the night supreme. you'll always be a virgin for no man deserves your love. i only pray that when you dream, i'm the 1 you dream of. i pray that when you dream, you dream of how we kissed. not with our lips but with our souls. stop me if i bore you. why is it that i think we'd be so good in bed?. can you hear me? why do i love you so much?. it's so strange, i'm more comfortable around u when i'm naked. can you hear me?. i wonder if you have any mercy, don't torture me. stop the music baby, automatic fool. when it comes to you i'm automatic baby. there's no 1 else like me. i'm the best you'll ever find. no 1 else could understand you, you're too complex. they say nothing's perfect, but they don't know you. that's automatic too. can you hear me? (a-u-t-o-matic). yes, i'm addicted to your pleasure. i'm addicted to your pain. it's automatic (a-u-t-o-matic). automatically insane. undress me (a-u-t-o-matic). . (a-u-t-o-matic). hey (a-u-t-o-matic). (a-u-t-o-matic). (a-u-t-o-matic). (a-u-t-o-matic). . hey. fasten your seat belts. prepare for take-off. (i remember how u kissed me). (not with your lips but with your soul). (with you i'm never bored, talk to me some more). (i can hear you, i'm going to have to torture you now)",https://genius.com/Prince-automatic-lyrics,0.214,0.714,0.073,0.927,0.5705
