Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
The Cure,Underneath the Stars,4:13 Dream,2008,"floating here like this with you. underneath the stars. alight for 13 billion years. the view is beautiful. and ours alone tonight. underneath the stars. . spinning round and round with you. watching shadows melt the light. soft shining from our eyes. into another space. is ours alone tonight. watching shadows melt. . and the waves break. and the waves break. . whisper in my ear a wish. ""we could drift away"". held tight. your voice inside of my head. the kiss is infinite. and ours alone tonight. ""we could drift away"". . flying here like this with you. underneath the stars. alight for 13 billion years. the view is beautiful. and ours alone tonight. underneath the stars. . and everything gone. and all still to come. as nothing to us. together as one. in each other's arms. so near and so far. forever as now. underneath the stars. . as the waves break",https://genius.com/The-cure-underneath-the-stars-lyrics,0.112,0.839,0.049,0.951,0.5315
The Cure,The Only One,4:13 Dream,2008,"oh i love, oh i love, oh i love. what you do to my head. when you pull me upstairs. and you push me to bed. i love what you do to my head. it's a mess out there!. oh i love, oh i love, oh i love. what you do to my heart. when you push me back down. and then pull me apart. i love what you do to my heart. it's the best, oh yeah. oh i love, oh i love, oh i love. what you do to my lips. when you suck me inside. and you blow me a kiss. i love what you do to my lips. it's so sweet in there. oh i love, love, love, love. what you do to my hips. when you blow me outside. and then suck me like this. i love what you do to my hips. it's the best, oh yeah. . you're the only one i cry for. the only one i try to please. you're the only one i sigh for. the only one i die to squeeze. and it gets better everyday, i play. with you it's such a scream. yeah it gets better everyday, i say. with you it's so extreme. yeah it gets wetter everyday, i stay. with you it's like a dream. . oh i love, oh i love, oh i love. what you do to my skin. please slip me on. and slide me in. i love what you do to my skin. it's a passion oh yeah. oh i love, love, love, love. what you do to my bones. when you slide me up. and take me home. i love what you do to my bones. it's the crush oh yeah. . you're the only one i cry for. the only one i try to please. you're the only one i sigh for. the only one i die to squeeze. and it gets better everyday, i play. with you it's such a scream. yeah it gets better everyday, i say. with you it's so extreme. yeah it gets wetter everyday, i stay. with you it's like a dream. . oh i love, oh i love, oh i love. what you do to me",https://genius.com/The-cure-the-only-one-lyrics,0.405,0.534,0.061,0.939,0.672
The Cure,The Reasons Why,4:13 Dream,2008,"i won't try to bring you down about my suicide. got no need to understand about my big surprise. oh i am falling through the sky. you remember this?. i am falling in their eyes. you remember the kiss?. . i won't try to bring you down about my suicide. got no need to understand about my big surprise. i won't beg to hang you up about my love of life. if you promise not to sing about the reasons why. . i am writing you a letter. getting better. can i see you?. when.... all the lights go out together. blame the weather. yeah the cold again. in the darkness for a second. i am sure i see them smiling then. i feel them calling me. yeah they are calling me. . and i am falling through the stars. you remember now?. yeah i am falling in their arms. you remember how?. oh i am falling through the sky. you remember this ?. i am falling in their eyes. you remember the kiss?. . i won't try to bring you down about my suicide. got no need to understand about my big surprise. i won't beg to hang you up about my love of life. if you promise not to sing about the reasons why. . i am calling you at midnight. feeling alright...can i tell you?. when?. on the line no sound but my words. must be night birds on the wire again. in the silence for a second. i am sure i hear them laughing then. i feel them calling me. yeah they are calling me. . and i am falling through the stars. you remember now?. yeah i am falling in their arms. you remember how?. oh i am falling through the sky. you remember this ?. i am falling in their eyes. you remember the kiss?. . ""we know"". they said. ""you're holding on. to nothing left of something gone. we know. they said. in letting go. of fear and dread. and all you know. you'll lose the need of certainty. and make-believe eternity. to find the true reality. in beautiful infinity. . but i won't try to bring you down about my suicide. if you promise not to sing about the reasons why",https://genius.com/The-cure-the-reasons-why-lyrics,0.131,0.746,0.123,0.877,0.504
The Cure,The Hungry Ghost,4:13 Dream,2008,all the things we never know we need. . looks like we get them in the end. measure time in leisure time and greed. and by the time we get to spend. a floating bed. a head of stone. a home plugged into every phone. kimono coral floral print. exclusive tint and cut reclusive. no it doesn't come for free. but it's the price. we pay for happiness. no don't talk about more to life than this. dream a world maybe no one owns. no don't think about all the life we miss. swallow doubt as the hunger grows. make believe its like no one knows. even if we turn more to most. we'll never satisfy the hungry ghost. all the stuff we know we never want. seems like we get it anyway. safe to say it isn't really wrong. not when we know we only. throw it all away. yeah all of this we never know we want. its like we get it anyway. safe to say it isn't ever wrong. better to get than to delay. a 3d screen. a cleaner fit. a bit pulled out of every hit. addicted latest greatest piece. design caprice and make the headline. no it doesn't come for free. but it's the price. we pay for happiness. no don't talk about more to life than this. dream a world maybe no one owns. no don't think about all the life we miss. swallow doubt as the hunger grows. make believe its like no one knows. even if we turn more to most. we'll never satisfy the hungry ghost. and all of this. we know we never need. . well it's the price. we pay for happiness,https://genius.com/The-cure-the-hungry-ghost-lyrics,0.178,0.607,0.215,0.785,0.4815
The Cure,The Perfect Boy,4:13 Dream,2008,"you and me are the world, she said. nothing else is real. the two of us is all there is. the rest is just a dream. . always meant to be, i can feel it. like a destiny thing written in the stars. inescapable fate, yeah, it's out of my hands. falling into your arms. and i don't want to get innocent. but i would love you to take my time. we're on the edge of a beautiful thing, she said. come on, let's stay here for awhile. . ooh girl, he is the one for sure. ooh girl, he is the perfect boy. . yeah, me and you are a world, he said. but not the only one i need. the two of us is never all there is. that doesn't happen for real. . if it was meant to be us, it was meant to be now. don't see the sense in wasting time. if you're so sure about this. (long kismet hearty thing). you know tonight you're mine. and i don't want to get obvious. but i have to be gone by three. we're on the edge of a beautiful thing, he said. so come on, jump with me. . ooh girl, he's not the one for sure. ooh girl, he's not so wonderful. ooh girl, he's not the one for sure. ooh girl, he's not the perfect boy at all. . you and me are the world, she said. nothing else is real. the two of us is all there is. the rest is just a dream. . and her heart may be broken a hundred times. but the hurt will never destroy. her hope, the happy ever after girl. one day finds the perfect boy",https://genius.com/The-cure-the-perfect-boy-lyrics,0.193,0.734,0.073,0.927,0.56
The Cure,This. Here and Now. With You,4:13 Dream,2008,this. here and now. with you. . oh please don't ask me who i am. or when and where my life began. or why i ended up like this or how. don't ask me what i was before. if i was anything at all. its nothing you can know. about me now. you hold my spinning head to stare. and strip me bare of memory. your black eyes burning into me. so slow. the sounds and lights and others fade. and fall away in symmetry. your black eyes burning hungrily. and unafraid i know. . everything i ever dared forget is here. too scared before i never let. tonight be all i need. everywhere i never tried to get is here. too tired before to ever let. tonight be all i feel. every time i ever thought regret is here. too caught before i never let. tonight be all i dream. there isn't any yesterday. tomorrow starts a day away. . this. here and now. with you. . i can't believe this is coming true. i'm up so close to kissing you. a breathe away from never going home. i don't remember getting here. it seems to be sometime next year. i hope you won't be. leaving me alone?. no please don't tell me who i am. or when and where my life began. or why i ended up like this or how. don't ask me what i was before. if i was anything at all. its nothing you can know. about me now. you pull my shaking body close. to make the most of tangency. i bite your mouth so fearfully. and slow. the taste of summers yet to shine. a perfect time to change the scene. i bite your mouth in urgency. and terrified i know. . everything i ever dared forget is here. too scared before i never let. tonight be all i need. everywhere i never tried to get is here. too tired before to ever let. tonight be all i feel. every time i ever thought regret is here. too caught before i never let. tonight be all i dream. there isn't any yesterday. tomorrow starts a day away. . this here and now with you is how. always should always be. . this. here and now. with you,https://genius.com/The-cure-this-here-and-now-with-you-lyrics,0.071,0.842,0.087,0.913,0.492
The Cure,It's Over,4:13 Dream,2008,"i get up. and it's over. it's always over. it's raining and i'm burned. and it's late and you're gone. and i can barely remember. anything i did or said. or how i lost another week. there must be something going on. a nagging sense of shame. i can't explain. an acrid taste of smoke and blood. and tears and drugs. and every inch of me is raw. and it's always fucking over. it's raining and i'm blind. and it's late and you're gone. i can't do this anymore. . keep getting there. it's over. it's always over. it's raining and i'm cracked. and it's late and you're out. and i can't quite remember. anything i did or said. or how i lost another year. there must be something coming down. a sweetly sour unease. it's like a tease. a broken dream of guilt and fear. and spit and steel. and every piece of me in pain. and it's always fucking over. it's raining and i'm cold. and it's late and you're out again. . run my head around it. like i know i really miss her. but i always want to do it now. she told me in a whisper. i try so hard to place it. wonder why i really feel it. when to send the pretty flowers. maybe helps her to believe it. run my tongue along it. oh the taste is something sicker. ""but you know you have to do it now. she told me in a whisper. it only takes a second. but the second lasts forever. close your eyes. and let me take you down. . and i get up. and it's over. it's always fucking over. it's raining and i'm wrecked. and it's late and you're. no i can't remember. anything i did or said. or how i lost another life. i lost another life. oh i can't do this anymore. . no. i can't do this anymore",https://genius.com/The-cure-its-over-lyrics,0.05,0.834,0.115,0.885,0.4675
The Cure,Sleep When I'm Dead,4:13 Dream,2008,"sleep when i'm dead, you angels. i'll sleep when i'm dead, i said. sleep when i'm dead, you angels. i'll sleep when i'm dead, i said. sleep when i'm dead, you angels. but until then. . they told me i would live forever. if i kept it clean. they said i would be the chosen one. if i took one for the team. yeah, it's the only way to be. never think it isn't fair. that's a green eyed panic climb. to the edge of nowhere. give it to the chicken and see if it ticks. yeah, give it to the kitten and see if it sicks. then give it to the wonderful, wonderful me. and i will tell on my return the way it is. . with all the happy boys and girls. yeah, the whole happy world. and the love they feel for me. yeah, the love they feel for me. . sleep when i'm dead, you angels. i'll sleep when i'm dead, i said. sleep when i'm dead, you angels. i'll sleep when i'm dead, i said. sleep when i'm dead, you angels. but until then. . they told me i could run the world. if i kept it quiet. they said i could be the man. if i took it out of sight. in a monkey suit again. having fun with all your friends. how a casual hour can pull. all this world to pieces. give it to the bunny and see if she kicks. yeah, give it to the puppy and see if he sticks. then give it to the wonderful, wonderful me. i'll let you know when i get back just how it is. . with all the other boys and girls. yeah, the whole. other world. . and the way it stirs inside. and the why it never burns at night. and the way they make the climb. and the why they never pray for time. and the way i show surprise. and the why i never close my eyes. yeah, just how it is. . sleep when i'm dead, you angels. i'll sleep when i'm dead, i said. sleep when i'm dead, you angels. i'll sleep when i'm dead, i said. sleep when i'm dead, you angels. but until then. sleep when i'm dead, you angels. i'll sleep when i'm dead, i said. sleep when i'm dead, you angels. i'll sleep when i'm dead, i said. sleep when i'm dead, you angels. but until then. but until then. . well, i should at least feel tired i think. before i lay me down to dream",https://genius.com/The-cure-sleep-when-im-dead-lyrics,0.151,0.639,0.209,0.791,0.471
The Cure,The Real Snow White,4:13 Dream,2008,you've got what i want. . oh yeah!. it's only for the night. and i will give it back tomorrow i swear. she can barely breathe. don't stare. i know the dress is tight. but it was all i had to wear. give me what i need. please share. you know it's only right. and i would never lie to you. i wouldn't dare. . i made a promise to myself. i wouldn't start with anyone else but. you know how it is with these promises. made in the heat of the moment. . they're made to be broken in two. sometimes the only thing to do. . oh no!. it's all coming back. how i came to in a sticky three-day hole. didn't see the sign. go slow. too busy tuning static on the radio. she hissed it in a song. don't go. it always fades to black. but that's why i love the trip. it's so inevitable. . i made a promise to myself. i wouldn't start with anyone else but. you know how it is with these promises. made in the heat of the moment. . they're made to be less than they seem. whenever you've got what i need. . and you've got what i need. aaaiiieee!. for service with a smile. i have to walk in on my hands. and roll for free. you say it's all the same. ennui. you're not the real snow white. the real snow white is on my knee. i didn't need to get id. it's simply minimum height. and getting all dressed up. in seven ways to please. . i made a promise to myself. i wouldn't start with anyone else but. you know how it is with these promises. made in the heat of the moment. . they're made to be broken one day. if there's no time to get away. . uh-oh!. she wasn't made to shine. she was really only ever made to glow. i left her in the dark. no show. quiet sucking on a line. it was a tricky gun to load. and i didn't get to fire. hi-ho!. she's off to work for time. i should have finished out with higher. up than low. . i made a promise to myself. i wouldn't start with anyone else but. you know how it is with these promises. made in the heat of the moment. they're made before right becomes wrong. whenever you've got what i want. . and you've got what i want. oh yeah!. it's only for the night. and i will give it back tomorrow. i swear,https://genius.com/The-cure-the-real-snow-white-lyrics,0.099,0.809,0.092,0.908,0.5035
The Cure,Freakshow,4:13 Dream,2008,"i can't believe it, i must be dreaming. she turns the sound down. says, ""i am heaving. this is a freakshow"". . and i am screaming. she spins the world round. i want to stop. bittersweet again. her opening move. down and out in black. soft shiny and smooth. looks like the alien. crowd got groove. she burns her name into my arm. but i can never get through. to play the game. she's trying to lose. her ultraviolet makes it. harder to choose. . looks like the edge. of the earth got moved. she blurs a way across the floor. i spin to swallow the view. and it's the same sway. yeah, it's the same slide. it's the same stare, oh. it's the same smile. yeah, it's the same but. it's not quite right. oh, it's insane. she shakes like a freak. stuck in the middle. of the room for a week. . looks like the only way. to get on the beat. is take her up on how to swing. but i am missing my feet. and it's the same sway. yeah, it's the same slide. it's the same stare, oh. it's the same smile. yeah, it's the same but. it's not quite right. i'm in a step, out. she two more steps down. for three steps up, clap. and go around, ow. . it makes my head buzz. she wants to come now. i try to stop. always infra dig her. finishing move. up and down in black. soft shiny and smooth. looks like the alien. crowd got groove. she cuts a number out my arm. but i can never get through. to play this game. she's trying to lose. the stuff from mars. makes it harder to choose. . looks like the final frontier got moved. she blurs a way across the floor. i spin to swallow the view. and it's the same sway. yeah, it's the same slide. it's the same strip, oh. it's the same smile. yeah, it's the same. but it's not quite right. i can't believe it, i must be dreaming. she turns the lights up. says she is leaving. this is a freakshow. . and i am beaten. she spins the world round",https://genius.com/The-cure-freakshow-lyrics,0.133,0.783,0.084,0.916,0.5245
