Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
The National,Mr. November,Alligator,2005,"this is nothing like it was in my room. in my best clothes. trying to think of you. this is nothing like it was in my room. in my best clothes. the english are waiting. and i don't know what to do. in my best clothes. this is when i need you. the english are waiting. and i don't know what to do. in my best clothes. . i'm the new blue blood, i'm the great white hope. i'm the new blue blood. i won't fuck us over, i'm mr. november. i'm mr. november, i won't fuck us over. i won't fuck us over, i'm mr. november. i'm mr. november, i won't fuck us over. . i wish that i believed in fate. i wish i didn't sleep so late. i used to be carried in the arms of cheerleaders. i used to be carried in the arms of cheerleaders. i used to be carried in the arms of cheerleaders. . i'm the new blue blood, i'm the great white hope. i'm the new blue blood. i won't fuck us over, i'm mr. november. i'm mr. november, i won't fuck us over. i won't fuck us over, i'm mr. november. i'm mr. november, i won't fuck us over. i won't fuck us over, i won't fuck us over. i won't fuck us over, i'm mr. november. . i wish that i believed in fate. i wish i didn't sleep so late. i used to be carried in the arms of cheerleaders. i used to be carried in the arms of cheerleaders. i used to be carried in the arms of cheerleaders. . i'm the new blue blood, i'm the great white hope. i'm the new blue blood. i won't fuck us over, i'm mr. november. i'm mr. november, i won't fuck us over",https://genius.com/The-national-mr-november-lyrics,0.294,0.693,0.013,0.987,0.6405
The National,Karen,Alligator,2005,"karen, i'm not taking sides. i don't think i'll ever do that again. i'll end up winning and i won't know why. i'm really trying to shine here, i'm really trying. you're changing clothes and closing windows on me all the time. . well whatever you do, listen, you'd better wait for me. no i wouldn't go out alone into america. whatever you do, listen, you'd better wait for me. no i wouldn't go out alone. . karen, we should call your father, maybe it's just a phase. he'll know the trick to get a wayward soul to change his ways. it's a common fetish, for a doting man, to ballerina on the coffee table cock in hand. . well whatever you do, listen, you'd better wait for me. no i wouldn't go out alone into america. whatever you do, listen, you'd better wait for me. no i wouldn't go out alone. . without warm water in my head. all i see is black and white and red. i feel mechanical and thin. hear me play my violin again. i'm living in the target's shoes. all i see is black and white and blue. idle, idle, idle, idle, protect the nest, protect the title. . karen put me in a chair, fuck me and make me a drink. i lost direction and i'm past my peak. i'm telling you, this isn't me, no this isn't me. karen believe me, you just haven't seen my good side yet. . well whatever you do, listen, you'd better wait for me. no i wouldn't go out alone into america. whatever you do, listen, you'd better wait for me. no i wouldn't go out alone. . without warm water in my head. all i see is black and white and red. i feel mechanical and thin. hear me play my violin again. i'm living in the target's shoes. all i see is black and white and blue. idle, idle, idle, idle, protect the nest, protect the title. . i must be me, i'm in my head. black birds are circling my bed. i must be me, i must be me. black feathers are falling on my feet. idle, idle, idle, idle, protect the nest, protect the title. idle, idle, idle, idle, protect the nest, protect the title",https://genius.com/The-national-karen-lyrics,0.163,0.76,0.077,0.923,0.543
The National,Secret Meeting,Alligator,2005,"i think this place is full of spies. i think they're onto me. didn't anybody, didn't anybody tell you?. didn't anybody tell you how to gracefully disappear in a room?. . i know you put in the hours to keep me in sunglasses. i know. and so, and now, i'm sorry i missed you. i had a secret meeting in the basement of my brain. it went the dull and wicked ordinary way. it went the dull and wicked ordinary way. and now, i'm sorry i missed you. i had a secret meeting in the basement of my brain. . i think this place is full of spies. i think i'm ruined. didn't anybody, didn't anybody tell you?. didn't anybody tell you this river's full of lost sharks?. . i know you put in the hours to keep me in sunglasses. i know. and so, and now, i'm sorry i missed you. i had a secret meeting in the basement of my brain. it went the dull and wicked ordinary way. it went the dull and wicked ordinary way. and now, i'm sorry i missed you. i had a secret meeting in the basement of my brain. (i'm talking ace this morning). . and now, i'm sorry i missed you. i had a secret meeting in the basement of my brain. it went the dull and wicked ordinary way. it went the dull and wicked ordinary way. it went the dull and wicked ordinary way. it went the dull and wicked ordinary way. it went the dull and wicked ordinary way. it went the dull and wicked ordinary way",https://genius.com/The-national-secret-meeting-lyrics,0.011,0.697,0.292,0.708,0.3595
The National,The Geese of Beverly Road,Alligator,2005,"we'll take ourselves out in the street. and wear the blood in our cheeks. like red roses. we'll go from car to sleeping car. and whisper in their sleeping ears. we were here, we were here. we'll set off the geese of beverly road. . hey, love, we'll get away with it. we'll run like we're awesome, totally genius. hey, love, we'll get away with it. we'll run like we're awesome. . we won't be disappointed. we'll fight like girls for our place at the table. our room on the floor. we'll set off the geese of beverly road. . hey, love, we'll get away with it. we'll run like we're awesome, totally genius. hey, love, we'll get away with it. we'll run like we're awesome. . we're the heirs to the glimmering world. we're the heirs to the glimmering world. . we're drunk and sparking, our legs are open. our hands are covered in cake. but i swear we didn't have any. i swear we didn't have any. . hey, love, we'll get away with it. we'll run like we're awesome, totally genius. hey, love, we'll get away with it. we'll run like we're awesome. . we're the heirs to the glimmering world. we're the heirs to the glimmering world. . oh, come, come be my waitress and serve me tonight. serve me the sky tonight. oh, come, come be my waitress and serve me tonight. serve me the sky with a big slice of lemon. . we're the heirs to the glimmering world. we're the heirs to the glimmering world. . oh, come, come be my waitress and serve me tonight. serve me the sky tonight. oh, come, come be my waitress and serve me tonight. serve me the sky with a big slice of lemon",https://genius.com/The-national-the-geese-of-beverly-road-lyrics,0.19,0.791,0.019,0.981,0.5855
The National,City Middle,Alligator,2005,"karen, take me to the nearest famous city middle where they hang the lights. where it's random and it's common versus common. karen, take me to the nearest famous city middle where they hang the lights. where it's random and it's common versus common. . i got 500 in twenties, and i've got a ton of great ideas. i'm really worked up. i'm on a good mixture, i don't want to waste it. i'm on a good mixture, i do not want to waste it. i want to go gator around the warm beds of beginners. i'm really worked up. . karen, take me to the nearest famous city middle where they hang the lights. where it's random and it's common versus common. karen, take me to the nearest famous city middle where they hang the lights. where it's random and it's common versus common. . i have weird memories of you wearing long red socks and red shoes. i have weird memories. i have weird memories of you pissing in a sink, i think. i have weird memories of you. . i want to go gator around the warm beds of beginners. i'm really worked up. i want to go gator around the warm beds of beginners. i'm really worked up. . karen, take me to the nearest famous city middle where they hang the lights. where it's random and it's common versus common. karen, take me to the nearest famous city middle where they hang the lights. where it's random and it's common versus common. . i have weird memories of you wearing long red socks and red shoes. i have weird memories. i have weird memories of you pissing in a sink, i think. i have weird memories of you. . i want to go gator around the warm beds of beginners. i'm really worked up. i want to go gator around the warm beds of beginners. i'm really worked up. . karen, take me to the nearest famous city middle where they hang the lights. where it's random and it's common versus common. karen, take me to the nearest famous city middle where they hang the lights. where it's random and it's common versus common. . i have weird memories of you wearing long red socks and red shoes. i have weird memories. i have weird memories of you pissing in a sink, i think. i have weird memories of you. . parking your car, you said ""i'm overwhelmed"". you were thinking out loud, you said ""i'm overwhelmed"". you were parking your car, you said ""i'm overwhelmed"". you were thinking out loud, you said ""i'm overwhelmed"". you said ""i think i'm like tennessee williams"". i wait for the click. i wait, but it doesn't kick in. i think i'm like tennessee williams. i wait for the click. i wait, but it doesn't kick in. . i have weird memories of you wearing long red socks and red shoes. i have weird memories. i have weird memories of you pissing in a sink, i think. i have weird memories of you. i have weird memories of you",https://genius.com/The-national-city-middle-lyrics,0.045,0.868,0.088,0.912,0.4785
The National,Abel,Alligator,2005,"well, my mind's not right, my mind's not right. my mind's not right, my mind's not right. my mind's not right, my mind's not right. my mind's not right, my mind's not right. . abel, come on, give me the keys, man. everything has all gone down wrong. abel, come on, give me the keys, man. everything has all gone down wrong. . i see water on the bridge. well, you better hold my hand through this. turn around, turn around, take me back, i can't calm down. turn around, turn around, take me back, i can't calm down. . well, my mind's not right, my mind's not right. my mind's not right, my mind's not right. my mind's not right, my mind's not right. my mind's not right, my mind's not right. . abel, come on, give me a reason. i am not as bright as i could be. abel, come on, take me with you. everything has all gone down wrong. . you turn me good and god-fearing. well, tell me what am i supposed to do with that?. i'm missing something. yeah, i'm missing something. . my mind's gone loose inside its shell. my mind's gone loose inside the shell. well, i'm missing something, yeah i'm missing something. abel, my mind's gone loose inside the shell. . well, my mind's not right, my mind's not right. my mind's not right, my mind's not right. my mind's not right, my mind's not right. my mind's not right, my mind's not right",https://genius.com/The-national-abel-lyrics,0.095,0.789,0.115,0.885,0.49
The National,"Baby, We'll Be Fine",Alligator,2005,"all night i lay on my pillow and pray. for my boss to stop me in the hallway. lay my head on his shoulder and say. ""son, i've been hearing good things"". . i wake up without warning. and go flying around the house. in my sauvignon, fierce, freaking out. take a forty-five minute shower and kiss the mirror. . say, ""look at me. baby, we'll be fine. all we gotta do is be brave. and be kind"". . i put on an argyle sweater and put on a smile. i don't know how to do this. . i'm so sorry for everything. i'm so sorry for everything. i'm so sorry for everything. i'm so sorry for everything. . baby come over, i need entertaining. i had a stilted, pretending day. lay me down and say something pretty. lay me back down where i wanted to stay. . just say something perfect. something i can steal. . say, ""look at me. baby, we'll be fine. all we gotta do is be brave. and be kind"". i pull off your jeans. and you spill jack and coke in my collar. i melt like a witch and scream. . i'm so sorry for everything. i'm so sorry for everything. i'm so sorry for everything. i'm so sorry for everything. i'm so sorry for everything. i'm so sorry for everything. i'm so sorry for everything. i'm so sorry for everything",https://genius.com/The-national-baby-well-be-fine-lyrics,0.144,0.722,0.135,0.865,0.5045
The National,Daughters of the Soho Riots,Alligator,2005,i have your good clothes in the car. so cut your hair so no one knows. i have your dreams and your teethmarks. and all my fingernails are painted. i'm here to take you now. you were right about the end. it didn't make a difference. everything i can remember. i remember wrong. how can anybody know. how they got to be this way?. you must have known. i'd do this someday. break my arms around the one i love and be forgiven by the time my lover comes. break my arms around my love. break my arms around the one i love and be forgiven by the time my lover comes. break my arms around my love. i don't have any questions. i don't think it's gonna rain. you were right about the end. it didn't make a difference. i'm here to take you now. out among the missing sons and daughters of the soho riots. out among the missing sons and daughters of the soho riots. i'm here to take you now. how can anybody know. how they got to be this way?. you must have known. i'd do this someday. break my arms around the one i love and be forgiven by the time my lover comes. break my arms around my love. break my arms around the one i love and be forgiven by the time my lover comes. break my arms around my love. break my arms around the one i love,https://genius.com/The-national-daughters-of-the-soho-riots-lyrics,0.233,0.7,0.066,0.934,0.5835
The National,Val Jester,Alligator,2005,build a fire for val jester. build a room for your love. take your time when you tell her. how she lives in your blood. you should have looked after her better. you should have looked after her more. you should have locked the door. fill her coat with weapons. and help her get it on. cause one day when she goes. she's gone. you should have held onto her better. you should have held onto her more. you should have locked the door. all the most important people in new york are nineteen. all the most important people in new york. all the most important people in new york are nineteen. all the most important people in new york,https://genius.com/The-national-val-jester-lyrics,0.157,0.804,0.039,0.961,0.559
The National,Lit Up,Alligator,2005,"my bodyguard shows her revolver to anyone who asks. and yeah, she comes to attention when you come up to me too fast. for a little while you'll be here, the only good part of me. for a little while you'll be here. . so lit up, lit up, lit up alright. i try to untie manhattan. lit up, lit up, lit up alright. i try to untie. . you wear your skirt like a flag. and everything surrounds you, and it doesn't fade. nothing like this sound i make. that only lasts the season. and only heard by bedroom kids who buy it for that reason. 'cause you're the low life of the party, bad blood. bad blood for everybody. i'm in control and i believe. . so lit up, lit up, lit up alright. i try to untie manhattan. lit up, lit up, lit up alright. i try to untie from your bad blood. from your bad blood. . 'cause you're the low life of the party, bad blood. bad blood for everybody. i'm in control and i believe. . so lit up, lit up, lit up, lit up alright. i try to untie manhattan. lit up, lit up, lit up, lit up alright. i try to untie",https://genius.com/The-national-lit-up-lyrics,0.122,0.767,0.112,0.888,0.505
