Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Tom Waits,Alice,Alice,2001,"it's dreamy weather we're on. you wave your crooked wand. along an icy pond. with a frozen moon. a murder of silhouette crows i saw.... and the tears on my face. and the skates on the pond they spell alice. i'll disappear in your name. but you must wait for me. somewhere across the sea. there's the wreck of a ship. your hair is like meadow grass on the tide. and the raindrops on my window. and the ice in my drink. baby, all that i can think of is alice. arithmetic arithmetock. i turn the hands back on the clock. how does the ocean rock the boat. how did the razor find my throat. the only strings that hold me here. are tangled up around the pier. and so a secret kiss. brings madness with the bliss. and i will think of this. when i'm dead in my grave. set me adrift and i'm lost over there. but i must be insane. to go skating on your name. and by tracing it twice. i fell through the ice of alice. and so a secret kiss. brings madness with the bliss. and i will think of this. when i'm dead in my grave. set me adrift and i'm lost over there. but i must be insane. to go skating on your name. and by tracing it twice. i fell through the ice of alice. there's only alice",https://genius.com/Tom-waits-alice-lyrics,0.079,0.743,0.178,0.822,0.4505
Tom Waits,Poor Edward,Alice,2001,did you hear the news about edward?. on the back of his head. he had another face. was it a woman's face. or a young girl. they said to remove it would kill him. so poor edward was doomed. the face could laugh and cry. it was his devil twin. and at night she spoke to him. of things heard only in hell. they were impossible to separate. chained together for life. finally the bell tolled his doom. he took a suite of rooms. and hung himself and her. from the balcony irons. some still believe he was freed from her. but i knew her too well. i say she drove him to suicide. and took poor edward to hell,https://genius.com/Tom-waits-poor-edward-lyrics,0.048,0.713,0.24,0.76,0.404
Tom Waits,Fish & Bird,Alice,2001,they bought a round for the sailor. and they heard his tale. of a world that was so far away. and a song that we'd never heard. a song of a little bird. that fell in love with a whale. he said: you cannot live in the ocean. and she said to him: you never can live in the sky. but the ocean is filled with tears. and the sea turns into a mirror. and there's a whale in the moon when it's clear. and a bird on the tide. please don't cry. let me dry. your eyes. so tell me that you will wait for me. hold me in your arms. i promise we never will part. i'll never sail back to the time. but i'll always pretend you're mine. though i know that we both must part. you can live in my heart,https://genius.com/Tom-waits-fish-and-bird-lyrics,0.094,0.878,0.027,0.973,0.5335
Tom Waits,I'm Still Here,Alice,2001,you haven't looked at me that way in years. you dreamed me up and left me here. how long was i dreaming for. what was it you wanted me for. you haven't looked at me that way in years. your watch has stopped and the pond is clear. someone turn the lights back on. i'll love you til all time is gone. you haven't looked at me that way in years. but i'm still here,https://genius.com/Tom-waits-im-still-here-lyrics,0.057,0.924,0.019,0.981,0.519
Tom Waits,Watch Her Disappear,Alice,2001,last night i dreamed that i was dreaming of you. and from a window across the lawn i watched you undress. wearing your sunset of purple tightly woven around your hair. that rose in strangled ebony curls. moving in a yellow bedroom light. the air is wet with sound. the faraway yelping of a wounded dog. and the ground is drinking a slow faucet leak. your house is so soft and fading as it soaks the black summer heat. a light goes on and the door opens. and a yellow cat runs out on the stream of hall light and into the yard. a wooden cherry scent is faintly breathing the air. i hear your champagne laugh. you wear two lavender orchids. one in your hair and one on your hip. a string of yellow carnival lights comes on with the dusk. circling the lake with a slowly dipping halo. and i hear a banjo tango. and you dance into the shadow of a black poplar tree. and i watched you as you disappeared. i watched you as you disappeared. i watched you as you disappeared. i watched you as you disappeared,https://genius.com/Tom-waits-watch-her-disappear-lyrics,0.032,0.895,0.074,0.926,0.479
Tom Waits,Table Top Joe,Alice,2001,"well, my mama didn't want me. on the day i was born. born without a body. i got nothin' but scorn. but i always loved music. all i had was my hands. and i dreamed i'd be famous. and i'd work at the sands. tabletop joe tabletop joe. everyone knows tabletop joe. i had trouble with the pedals. but i had a strong left hand. and i could play stravinsky. on a baby grand. i said i'm gonna join the circus. 'cause that's where i belong. and i went to coney island. singing this song. tabletop joe tabletop joe. everyone knows tabletop joe. and they gave me top billing. in the dreamland show. i had my own orchestra. starring tabletop joe. and the man without a body. proved everyone wrong. i was rich and i was famous. and i was where i belonged. singing tabletop joe. tabletop joe. everyone knows tabletop joe",https://genius.com/Tom-waits-table-top-joe-lyrics,0.199,0.726,0.075,0.925,0.562
Tom Waits,Flower's Grave,Alice,2001,someday the silver moon and i. will go to dreamland. i will close my eyes. and wake up there in dreamland. but tell me who will put flowers. on a flower's grave. who will say a prayer. will i meet a china rose there in dreamland. or does love lie bleeding in dreamland. are these days gone forever and always. and if we are to die tonight. is there moonlight up ahead. and if we are to die tonight. another rose will bloom. for a faded rose. will i be the one that you save. i love when it showers. but no one puts flowers. on a flower's grave. as one rose blooms another dies. it's always been that way. i remember the showers. but no one puts flowers. on a flower's grave,https://genius.com/Tom-waits-flowers-grave-lyrics,0.103,0.725,0.172,0.828,0.4655
Tom Waits,We're All Mad Here,Alice,2001,hang me in a bottle like a cat. let the crows pick me clean but for my hat. where the wailing of a baby. meets the footsteps of the dead. we're all mad here. as the devil sticks his flag into the mud. mrs. carroll has run off with reverend judd. hell is such a lonely place. and your big expensive face. will never last. and you'll die with the rose still on your lips. and in the time the heart-shaped bone. that was your hips. and all the worms they will climb. the rugged ladder of your spine. we're all mad here. and my eyeballs roll this terrible terrain. we're all inside a decomposing train. and your eyes will die like fish. and the shore of your face will turn to bone,https://genius.com/Tom-waits-were-all-mad-here-lyrics,0.041,0.687,0.272,0.728,0.3845
Tom Waits,No One Knows I'm Gone,Alice,2001,"hell above and heaven below. all the trees are gone. the rain makes such a lovely sound. to those who are six feet under ground. the leaves will bury every year. and no one knows i'm gone. live me golden, tell me dark. hide from graveyard john. but the moon is full here every night. and i can bathe here in his light. the leaves will bury every year. and no one knows i'm gone",https://genius.com/Tom-waits-no-one-knows-im-gone-lyrics,0.056,0.818,0.126,0.874,0.465
Tom Waits,Lost in the Harbour,Alice,2001,"over here the ladies. all want sweet perfume. but there's never a rose. and over there. the roses are frightened to bloom. so they never can grow. and over here they need wool. for weaving their baby's new clothes. but nobody has any wool. and the sheep are all lost in the harbour. and over here. they want diamonds to wear. but there aren't any here. and over there. everyone's hiding their tears. but they're crying inside. and the wall won't come down. til they're no longer afraid of themselves. if you don't believe me, ask yourselves. and i can come down to the harbour. and then i will fill the ocean. back up with my tears. i still have a couple more years. and then i can come back to the harbour",https://genius.com/Tom-waits-lost-in-the-harbour-lyrics,0.032,0.819,0.149,0.851,0.4415
