Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Wilco,Hummingbird,A Ghost Is Born,2004,"his goal in life was to be an echo. riding alone, town after town, toll after toll. a fixed bayonet through the great southwest to forget her. she appears in his dreams. but in his car and in his arms. a dream can mean anything. a cheap sunset on a television set can upset her. but he never could. . remember to remember me. standing still in your past. floating fast like a hummingbird. . his goal in life was to be an echo. the type of sound that floats around and then back down. like a feather. but in the deep chrome canyons of the loudest manhattans. no one could hear him. or anything. so he slept on a mountain. in a sleeping bag underneath the stars. he would lie awake and count them. and the gray fountain spray of the great milky way. would never let him. die alone. . . a hummingbird",https://genius.com/Wilco-hummingbird-lyrics,0.141,0.788,0.071,0.929,0.535
Wilco,At Least That's What You Said,A Ghost Is Born,2004,"when i sat down on the bed next to you. you started to cry. i said, maybe if i leave, you'll want me. to come back home. or maybe all you mean is ""leave me alone"". at least that's what you said. . you're irresistible when you get mad. isn't it sad? i'm immune. i thought it was cute. for you to kiss. my purple black eye. even though i caught it from you. i still think we're serious. at least that's what you said",https://genius.com/Wilco-at-least-thats-what-you-said-lyrics,0.156,0.734,0.11,0.89,0.523
Wilco,Handshake Drugs,A Ghost Is Born,2004,"i was chewing gum for something to do. the blinds were being pulled down on the dew. inside, out of love, what a laugh. i was looking for you. . saxophones started blowing me down. i was buried in sound. taxicabs were driving me around. to the handshake drugs i bought downtown. . they were translating poorly, i felt like a clown. i looked like someone i used to know. i felt alright. and if i ever was myself. i wasn't that night. . oh it's okay for you to say. what you want from me. i believe that's the only. way for me to be, exactly. what you want me to be. . oh it's okay for you to say. what you want from me. i believe that's the only. way for me to be. exactly what you want me to be. . . . oh it's okay for you to say. what you want from me. i believe that's the only. way for me to be. exactly what do you want me to be?",https://genius.com/Wilco-handshake-drugs-lyrics,0.168,0.832,0,1,0.584
Wilco,Theologians,A Ghost Is Born,2004,"theologians don't know nothing. about my soul. about my soul. i'm an ocean. and this emotion. slow motion, slow motion. illiterati lumen fidei. god is with us everyday. that illiterate light. is with us every night. theologians they don't know nothing. about my soul. oh they don't know. they thin my heart with little things. and my life with change. oh in so many ways. i find more missing every day. theologians. i'm going away. where you will look for me. where i'm going you cannot come. no one's ever gonna take my life from me. i lay it down. a ghost is born. a ghost is born. a ghost is born. i am a notion. i am all emotion. i am a cherry ghost. cherry ghost. hey i'm a cherry ghost. a cherry ghost",https://genius.com/Wilco-theologians-lyrics,0.029,0.833,0.137,0.863,0.446
Wilco,Company in My Back,A Ghost Is Born,2004,"i attack with love, pure bug beauty, i curl my lips and crawl up to you. i attack with love, pure bug beauty, i curl my lips and crawl up to you. and your afternoon. and i've been puking. i move so slow, steady crushing hand; holy shit! there's a company in my back. i move so slow, steady crushing hand; holy shit! there's a company in my back. hide your soft skin; your sorrow is sunshine; listen to my eyes. hide your soft skin; your sorrow is sunshine; listen to my eyes. they are hissing radiator tunes. i move so slow, steady crushing hand; holy shit! there's a company in my back. i move so slow, steady crushing hand; holy shit! there's a company in my back. you learn so slow, old radiant beauty; i'll curve my flight. you learn so slow, old radiant beauty; i'll curve my flight. under your bended knee. and i will always die. i will always die. i will always die, so you can remember me. i move so slow, steady crushing hand; holy shit! there's a company in my back. i move so slow, steady crushing hand; holy shit! there's a company in my back. there's a company in my back",https://genius.com/Wilco-company-in-my-back-lyrics,0.203,0.543,0.254,0.746,0.4745
Wilco,Spiders (Kidsmoke),A Ghost Is Born,2004,"spiders are singing in the salty breeze. spiders are filling out tax returns. spinning out webs of deductions and melodies. on a private beach in michigan. why can't we wish their kisses good. why do they miss when their kisses should. fly like winging birds fighting for the keys. on a private beach in michigan. this recent rash of kidsmoke. all these telescopic poems. it's good to be alone. why can't they say what they want. why can't they just say what they need. come clean, listen and talk. hello private caller. i.d. blocked. the sun will rise, we'll climb into cars. the future has a valley and a shortcut around. who will wear the crown of drowning award. hold a private light. on the michigan shore. fool me with a kiss of kidsmoke. from a microscopic home. it's good to be alone. i'll be in my bed. you can be the stone. that raises from the dead. and carries us all home. there's no blood on my hands. i just do as i am told",https://genius.com/Wilco-spiders-kidsmoke-lyrics,0.141,0.736,0.123,0.877,0.509
Wilco,Hell Is Chrome,A Ghost Is Born,2004,"when the devil came. he was not red. he was chrome, and he said. come with me. . you must go. so i went. where everything was clean. so precise and towering. . i was welcomed. with open arms. i received so much help in every way. i felt no fear . . the air was crisp. like sunny late winter days. a springtime yawning high in the haze. and i felt like i belonged. come with me. . come with me",https://genius.com/Wilco-hell-is-chrome-lyrics,0.183,0.704,0.113,0.887,0.535
Wilco,Muzzle of Bees,A Ghost Is Born,2004,there's a random painted highway. and a muzzle of bees. my sleeves have come unstitched. from climbing your tree. when dogs laugh some say they're barking. i don't think they're mean. some people get so frightened. the fences in between. the sun gets passed from tree to tree. silently. then back to me. with the breeze blown through. pushed up against the sea. finally back to me. i'm assuming you got my message. on your machine. i'm assuming you love me. and you know what that means. the sun gets passed from sea to sea. silently. and back to me. with a breeze blown through. pushed up above the leaves. with a breeze blowing through. my head upon your knee. half of it's you. half is me,https://genius.com/Wilco-muzzle-of-bees-lyrics,0.06,0.912,0.029,0.971,0.5155
Wilco,The Late Greats,A Ghost Is Born,2004,"the greatest lost track of all time. the late greats' ""turpentine"". you can't hear it on the radio. you can't hear it anywhere you go. . the best band will never get signed. k-settes starring butcher's blind. are so good, you won't ever know. they never even played a show. you can't hear them on the radio. . the greatest singer in rock and roll. would have to be romeo. his vocal chords are made of gold. he just looks a little too old. . the best song will never get sung. the best life never leaves your lungs. so good, you won't ever know. i never hear it on the radio. can't hear it on the radio",https://genius.com/Wilco-the-late-greats-lyrics,0.201,0.748,0.052,0.948,0.5745
Wilco,Wishful Thinking,A Ghost Is Born,2004,fill up your mind with all it can know. don't forget that your body will let it all go. fill up your mind with all it can know. what would we be without wishful thinking. . chambers of chains. with red plastic mouths. the inside of outside. no one has found. how to unring the bell. it's just as well. the turntable sizzles. casting the spells. the pressure devices. hell in a nutshell. is any song worth singing. if it doesn't help. . fill up your mind with all it can know. don't forget that your body will let it all go. fill up your mind with all it can know. 'cause what would love be without wishful thinking. . open your arms as far as they will go. we take off your dress. an embarrassing poem. was written when i was alone. in love with you. i shook down those lines. to shine up the streets. i got up off my hands and knees. to thank my lucky stars that you're not me. . what would we be without wishful thinking,https://genius.com/Wilco-wishful-thinking-lyrics,0.107,0.806,0.087,0.913,0.51
